# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.351
metadata : {}


# id : NWRW1800000044.351.1.1
안철수계, 수도권 기초단체장 공천 ‘벼랑’

안철수계,	안철수/NNP+계/XSN+,/SP
수도권	수도/NNG+권/XSN
기초단체장	기초/NNG+단체장/NNG
공천	공천/NNG
‘벼랑’	‘/SS+벼랑/NNG+’/SS


# id : NWRW1800000044.351.2.1
[한겨레] 심사 마무리 44곳중 겨우 5곳 포함

[한겨레]	[/SS+한겨레/NNP+]/SS
심사	심사/NNG
마무리	마무리/NNG
44곳중	44/SN+곳/NNG+중/NNB
겨우	겨우/MAG
5곳	5/SN+곳/NNG
포함	포함/NNG


# id : NWRW1800000044.351.3.1
공천폐지론 영향에다 인지도 낮아

공천폐지론	공천/NNG+폐지/NNG+론/XSN
영향에다	영향/NNG+에다/JKB
인지도	인지도/NNG
낮아	낮/VA+아/EF


# id : NWRW1800000044.351.4.1
“한곳도 공천받지 못할 수도”

“한곳도	“/SS+한/MMN+곳/NNG+도/JX
공천받지	공천/NNG+받/XSV+지/EC
못할	못하/VX+ㄹ/ETM
수도”	수/NNB+도/JX+”/SS


# id : NWRW1800000044.351.5.1
새정치민주연합 수도권 기초단체장 공천 과정에서 안철수 대표 쪽 인사들이 고전을 면치 못하고 있다.

새정치민주연합	새정치민주연합/NNP
수도권	수도/NNG+권/XSN
기초단체장	기초/NNG+단체장/NNG
공천	공천/NNG
과정에서	과정/NNG+에서/JKB
안철수	안철수/NNP
대표	대표/NNG
쪽	쪽/NNB
인사들이	인사/NNG+들/XSN+이/JKS
고전을	고전/NNG+을/JKO
면치	면하/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.351.5.2
안철수 대표 쪽 인사들은 △지역 내 조직력과 인지도가 기존 민주당계 후보들에 비해 대부분 뒤처지는데 △기초선거 공천 폐지 논란부터 세월호 참사 등으로 경선 규칙 확정까지 늦어 준비를 제대로 못한 상황에서 △곳곳에서 현역 단체장과 경선을 치러야 할 처지이기 때문이다.

안철수	안철수/NNP
대표	대표/NNG
쪽	쪽/NNB
인사들은	인사/NNG+들/XSN+은/JX
△지역	△/SW+지역/NNG
내	내/NNB
조직력과	조직력/NNG+과/JC
인지도가	인지도/NNG+가/JKS
기존	기존/NNG
민주당계	민주당/NNP+계/XSN
후보들에	후보/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
대부분	대/XPN+부분/NNG
뒤처지는데	뒤처지/VV+는데/EC
△기초선거	△/SW+기초/NNG+선거/NNG
공천	공천/NNG
폐지	폐지/NNG
논란부터	논란/NNG+부터/JX
세월호	세월호/NNP
참사	참사/NNG
등으로	등/NNB+으로/JKB
경선	경선/NNG
규칙	규칙/NNG
확정까지	확정/NNG+까지/JX
늦어	늦/VA+어/EC
준비를	준비/NNG+를/JKO
제대로	제대로/MAG
못한	못/MAG+하/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
△곳곳에서	△/SW+곳곳/NNG+에서/JKB
현역	현역/NNG
단체장과	단체장/NNG+과/JKB
경선을	경선/NNG+을/JKO
