# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.30
metadata : {}


# id : NWRW1800000034.30.1.1
기고자: 日 민주당도 몬주 고속증식로(핵무기 전용 가능한 플루토늄 생산) 유지 시사

기고자:	기고자/NNG+:/SP
日	日/SH
민주당도	민주당/NNP+도/JX
몬주	몬주/NNP
고속증식로(핵무기	고속/NNG+증식로/NNG+(/SS+핵무기/NNG
전용	전용/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
플루토늄	플루토늄/NNG
생산)	생산/NNG+)/SS
유지	유지/NNG
시사	시사/NNG


# id : NWRW1800000034.30.2.1
민주당이 '후쿠시마(福島) 제1원전 사고 후 에너지정책 수정 방안'이라는 보고서를 통해 핵무기용으로 전용이 가능한 고순도 플루토늄을 생산하는 고속증식로 '몬주'의 유지를 시사하는 내용을 포함시켰다.

민주당이	민주당/NNP+이/JKS
'후쿠시마(福島)	'/SS+후쿠시마/NNP+(/SS+福島/SH+)/SS
제1원전	제/XPN+1/SN+원전/NNG
사고	사고/NNG
후	후/NNG
에너지정책	에너지/NNG+정책/NNG
수정	수정/NNG
방안'이라는	방안/NNG+'/SS+이/VCP+라는/ETM
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
핵무기용으로	핵무기/NNG+용/XSN+으로/JKB
전용이	전용/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
고순도	고/XPN+순도/NNG
플루토늄을	플루토늄/NNG+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
고속증식로	고속/NNG+증식로/NNG
'몬주'의	'/SS+몬주/NNP+'/SS+의/JKG
유지를	유지/NNG+를/JKO
시사하는	시사/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
포함시켰다.	포함/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000034.30.3.1
도쿄(東京)신문은 5일 민주당 정책조사회가 만든 보고서에 '일본이 국제적으로 맡아야 할 역할 등을 고려해 원자력 기술의 계승을 도모한다'는 표현도 포함돼 있으며 이는 몬주의 존속을 염두에 둔 것으로 해석할 수 있다고 보도했다.

도쿄(東京)신문은	도쿄/NNP+(/SS+東京/SH+)/SS+신문/NNG+은/JX
5일	5/SN+일/NNB
민주당	민주당/NNP
정책조사회가	정책/NNG+조사회/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
보고서에	보고서/NNG+에/JKB
'일본이	'/SS+일본/NNP+이/JKS
국제적으로	국제/NNG+적/XSN+으로/JKB
맡아야	맡/VV+아야/EC
할	하/VX+ㄹ/ETM
역할	역할/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
원자력	원자력/NNG
기술의	기술/NNG+의/JKG
계승을	계승/NNG+을/JKO
도모한다'는	도모/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
표현도	표현/NNG+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있으며	있/VX+으며/EC
이는	이/NP+는/JX
몬주의	몬주/NNP+의/JKG
존속을	존속/NNG+을/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석할	해석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.30.3.2
민주당 정책조사회는 정책 결정에 민주당의 의견을 반영하도록 하기 위해 만든 기구로 차기 총리로 유력한 마에하라 세이지(前原誠司) 의원이 회장을 맡고 있다.

민주당	민주당/NNP
정책조사회는	정책/NNG+조사회/NNG+는/JX
정책	정책/NNG
결정에	결정/NNG+에/JKB
민주당의	민주당/NNP+의/JKG
의견을	의견/NNG+을/JKO
반영하도록	반영/NNG+하/XSV+도록/EC
하기	하/VV+기/ETN
위해	위하/VV+아/EC
만든	만들/VV+ㄴ/ETM
기구로	기구/NNG+로/JKB
차기	차기/NNG
총리로	총리/NNG+로/JKB
유력한	유력/NNG+하/XSA+ㄴ/ETM
마에하라	마에하라/NNP
세이지(前原誠司)	세이지/NNP+(/SS+前原誠司/SH+)/SS
의원이	의원/NNG+이/JKS
회장을	회장/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000034.30.4.1
도쿄신문은 보고서의 원안에 '우리나라의 안전 보장에 미치는 영향도 고려한다'는 표현이 포함돼 있었다고 밝혔다.

