# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.296
metadata : {}


# id : NWRW1800000021.296.1.1
“맡은 배역은 느끼한 남자지만 뮤지컬 꿈 펼치는 행복한 남자”

“맡은	“/SS+맡/VV+은/ETM
배역은	배역/NNG+은/JX
느끼한	느끼하/VA+ㄴ/ETM
남자지만	남자/NNG+이/VCP+지만/EC
뮤지컬	뮤지컬/NNG
꿈	꿈/NNG
펼치는	펼치/VV+는/ETM
행복한	행복/NNG+하/XSA+ㄴ/ETM
남자”	남자/NNG+”/SS


# id : NWRW1800000021.296.2.1
방글방글 선한 웃음이 먼저 떠오르는 그가 기름진 ‘육식남’으로 변신했다.

방글방글	방글방글/MAG
선한	선/NNG+하/XSA+ㄴ/ETM
웃음이	웃음/NNG+이/JKS
먼저	먼저/MAG
떠오르는	떠오르/VV+는/ETM
그가	그/NP+가/JKS
기름진	기름지/VA+ㄴ/ETM
‘육식남’으로	‘/SS+육식남/NNG+’/SS+으로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.296.2.2
오토바이, 보잉 선글라스, 가죽 재킷, 징 박은 벨트, 반질반질 빗어 넘긴 머리에 건들건들 흔드는 다리.

오토바이,	오토바이/NNG+,/SP
보잉	보잉/NNG
선글라스,	선글라스/NNG+,/SP
가죽	가죽/NNG
재킷,	재킷/NNG+,/SP
징	징/NNG
박은	박/VV+은/ETM
벨트,	벨트/NNG+,/SP
반질반질	반질반질/MAG
빗어	빗/VV+어/EC
넘긴	넘기/VV+ㄴ/ETM
머리에	머리/NNG+에/JKB
건들건들	건들건들/MAG
흔드는	흔들/VV+는/ETM
다리.	다리/NNG+./SF


# id : NWRW1800000021.296.3.1
뮤지컬 ‘올슉업’에서 손호영 씨(29)는 그렇게 ‘채드’로 변해 있었다.

뮤지컬	뮤지컬/NNG
‘올슉업’에서	‘/SS+올슉업/NNG+’/SS+에서/JKB
손호영	손호영/NNP
씨(29)는	씨/NNB+(/SS+29/SN+)/SS+는/JX
그렇게	그렇/VA+게/EC
‘채드’로	‘/SS+채드/NNP+’/SS+로/JKB
변해	변하/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.296.3.2
서울 중구 흥인동 충무아트홀에서 15일 그를 만났다.

서울	서울/NNP
중구	중구/NNP
흥인동	흥인동/NNP
충무아트홀에서	충무아트홀/NNP+에서/JKB
15일	15/SN+일/NNB
그를	그/NP+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.296.3.3
1999년 그룹 ‘god’로 데뷔한 그는 3년 전부터 솔로 가수로 활동하고 있다.

1999년	1999/SN+년/NNB
그룹	그룹/NNG
‘god’로	‘/SS+god/SL+’/SS+로/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
3년	3/SN+년/NNB
전부터	전/NNG+부터/JX
솔로	솔로/NNG
가수로	가수/NNG+로/JKB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.296.4.1
