# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.336
metadata : {}


# id : NWRW1800000033.336.1.1
현대아산, 김정은체제 이후 첫 방북

현대아산,	현대아산/NNP+,/SP
김정은체제	김정은/NNP+체제/NNG
이후	이후/NNG
첫	첫/MMN
방북	방북/NNG


# id : NWRW1800000033.336.2.1
3일 금강산서 故정몽헌 회장 추모식… 현정은 회장은 불참

3일	3/SN+일/NNB
금강산서	금강산/NNP+서/JKB
故정몽헌	故/SH+정몽헌/NNP
회장	회장/NNG
추모식…	추모식/NNG+…/SE
현정은	현정은/NNP
회장은	회장/NNG+은/JX
불참	불참/NNG


# id : NWRW1800000033.336.3.1
현대아산은 금강산 현지에서 고 정몽헌 현대그룹 회장의 9주기(8월 4일) 추모식을 열겠다는 요청을 북한이 수용했다고 31일 밝혔다.

현대아산은	현대아산/NNP+은/JX
금강산	금강산/NNP
현지에서	현지/NNG+에서/JKB
고	고/MMA
정몽헌	정몽헌/NNP
현대그룹	현대그룹/NNP
회장의	회장/NNG+의/JKG
9주기(8월	9/SN+주기/NNB+(/SS+8/SN+월/NNB
4일)	4/SN+일/NNB+)/SS
추모식을	추모식/NNG+을/JKO
열겠다는	열/VV+겠/EP+다는/ETM
요청을	요청/NNG+을/JKO
북한이	북한/NNP+이/JKS
수용했다고	수용/NNG+하/XSV+았/EP+다고/EC
31일	31/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.336.4.1
현대아산은 “지난주 금강산에서 정몽헌 회장 추모행사를 하겠다는 의견을 보냈는데 북측이 28일 ‘와도 좋다’는 취지의 답변을 보내왔다”고 전했다.

현대아산은	현대아산/NNP+은/JX
“지난주	“/SS+지난주/NNG
금강산에서	금강산/NNP+에서/JKB
정몽헌	정몽헌/NNP
회장	회장/NNG
추모행사를	추모/NNG+행사/NNG+를/JKO
하겠다는	하/VV+겠/EP+다는/ETM
의견을	의견/NNG+을/JKO
보냈는데	보내/VV+었/EP+는데/EC
북측이	북측/NNG+이/JKS
28일	28/SN+일/NNB
‘와도	‘/SS+오/VV+아도/EC
좋다’는	좋/VA+다/EF+’/SS+는/ETM
취지의	취지/NNG+의/JKG
답변을	답변/NNG+을/JKO
보내왔다”고	보내오/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


