# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.158
metadata : {}


# id : NWRW1800000029.158.1.1
美동북부 ‘10월 폭설’… 230만가구 정전사태

美동북부	美/SH+동북부/NNG
‘10월	‘/SS+10/SN+월/NNB
폭설’…	폭설/NNG+’/SS+…/SE
230만가구	230/SN+만/NR+가구/NNG
정전사태	정전/NNG+사태/NNG


# id : NWRW1800000029.158.2.1
뉴저지 등 4개주 비상 선포

뉴저지	뉴저지/NNP
등	등/NNB
4개주	4/SN+개/NNB+주/NNG
비상	비상/NNG
선포	선포/NNG


# id : NWRW1800000029.158.3.1
29일(현지 시간) 미국 동북부 지역에 때 이른 겨울 눈폭풍이 불어 최소 3명이 숨지고 230만 가구가 정전 피해를 보았다.

29일(현지	29/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국	미국/NNP
동북부	동북부/NNG
지역에	지역/NNG+에/JKB
때	때/NNG
이른	이르/VA+ㄴ/ETM
겨울	겨울/NNG
눈폭풍이	눈/NNG+폭풍/NNG+이/JKS
불어	불/VV+어/EC
최소	최소/NNG
3명이	3/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
230만	230/SN+만/NR
가구가	가구/NNG+가/JKS
정전	정전/NNG
피해를	피해/NNG+를/JKO
보았다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.158.4.1
버지니아에서 메인 주에 이르는 동북부에 몰아닥친 이번 폭설로 매사추세츠 서부지역에는 35cm 이상의 눈이 쌓였으며 뉴저지와 뉴욕 일부 지역에도 25cm 이상의 눈이 내렸다.

버지니아에서	버지니아/NNP+에서/JKB
메인	메인/NNP
주에	주/NNG+에/JKB
이르는	이르/VV+는/ETM
동북부에	동북부/NNG+에/JKB
몰아닥친	몰아닥치/VV+ㄴ/ETM
이번	이번/NNG
폭설로	폭설/NNG+로/JKB
매사추세츠	매사추세츠/NNP
서부지역에는	서부/NNG+지역/NNG+에/JKB+는/JX
35cm	35/SN+cm/SW
이상의	이상/NNG+의/JKG
눈이	눈/NNG+이/JKS
쌓였으며	쌓이/VV+었/EP+으며/EC
뉴저지와	뉴저지/NNP+와/JC
뉴욕	뉴욕/NNP
일부	일부/NNG
