# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.320
metadata : {}


# id : NWRW1800000049.320.1.1
야권 표 나뉜 15代, 여당표 잠식 14代

야권	야권/NNG
표	표/NNG
나뉜	나뉘/VV+ㄴ/ETM
15代,	15/SN+代/SH+,/SP
여당표	여당/NNG+표/NNG
잠식	잠식/NNG
14代	14/SN+代/SH


# id : NWRW1800000049.320.2.1
[총선 D-7/안갯속 접전]一與多野… 서울, 야권분열 과거사례 보니 15代 DJ 분당으로 與 어부지리… 14代땐 ‘與성향 야당’ 정주영 효과… 일각 “국민의당 의외 결과 낼수도”

[총선	[/SS+총선/NNG
D-7/안갯속	D/SL+-/SO+7/SN+//SP+안갯속/NNG
접전]一與多野…	접전/NNG+]/SS+一與多野/SH+…/SE
서울,	서울/NNP+,/SP
야권분열	야권/NNG+분열/NNG
과거사례	과거/NNG+사례/NNG
보니	보/VV+니/EC
15代	15/SN+代/SH
DJ	DJ/SL
분당으로	분당/NNG+으로/JKB
與	與/SH
어부지리…	어부지리/NNG+…/SE
14代땐	14/SN+代/SH+때/NNG+ㄴ/JX
‘與성향	‘/SS+與/SH+성향/NNG
야당’	야당/NNG+’/SS
정주영	정주영/NNP
효과…	효과/NNG+…/SE
일각	일각/NNG
“국민의당	“/SS+국민의당/NNP
의외	의외/NNG
결과	결과/NNG
낼수도”	내/VV+ㄹ/ETM+수/NNB+도/JX+”/SS


# id : NWRW1800000049.320.3.1
이번 4·13총선에서 서울 지역 선거 결과는 14대 총선과 비슷할까, 15대 총선과 비슷할까.

이번	이번/NNG
4·13총선에서	4/SN+·/SP+13/SN+총선/NNG+에서/JKB
서울	서울/NNP
지역	지역/NNG
선거	선거/NNG
결과는	결과/NNG+는/JX
14대	14/SN+대/NNB
총선과	총선/NNG+과/JKB
비슷할까,	비슷하/VA+ㄹ까/EF+,/SP
15대	15/SN+대/NNB
비슷할까.	비슷하/VA+ㄹ까/EF+./SF


# id : NWRW1800000049.320.3.2
1992년 14대 총선과 1996년 15대 총선, 그리고 이번 20대 총선은 야권에 중량감 있는 제3세력이 등장해 일여다야(一與多野) 구도를 만들었다는 공통점이 있다.

1992년	1992/SN+년/NNB
14대	14/SN+대/NNB
총선과	총선/NNG+과/JC
1996년	1996/SN+년/NNB
15대	15/SN+대/NNB
총선,	총선/NNG+,/SP
그리고	그리고/MAJ
이번	이번/NNG
20대	20/SN+대/NNB
총선은	총선/NNG+은/JX
야권에	야권/NNG+에/JKB
중량감	중량감/NNG
있는	있/VA+는/ETM
제3세력이	제/XPN+3/SN+세력/NNG+이/JKS
등장해	등장/NNG+하/XSV+아/EC
일여다야(一與多野)	일여다야/NNG+(/SS+一與多野/SH+)/SS
구도를	구도/NNG+를/JKO
만들었다는	만들/VV+었/EP+다는/ETM
공통점이	공통점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.320.4.1
14대 총선에서는 여당인 민주자유당, 야당인 민주당의 양자 구도에 당시 정주영 현대그룹 회장이 대선을 겨냥하며 창당한 통일국민당이 도전장을 내밀었다.

14대	14/SN+대/NNB
총선에서는	총선/NNG+에서/JKB+는/JX
