# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.275
metadata : {}


# id : NWRW1800000054.275.1.1
김시우 '배상문의 뒤땅' 설욕할까

김시우	김시우/NNP
'배상문의	'/SS+배상문/NNP+의/JKG
뒤땅'	뒤땅/NNG+'/SS
설욕할까	설욕/NNG+하/XSV+ㄹ까/EF


# id : NWRW1800000054.275.2.1
프레지던츠컵 세계팀에 발탁, 역대 전적 미국팀이 9승1무1패

프레지던츠컵	프레지던츠컵/NNG
세계팀에	세계/NNG+팀/NNG+에/JKB
발탁,	발탁/NNG+,/SP
역대	역대/NNG
전적	전적/NNG
미국팀이	미국/NNP+팀/NNG+이/JKS
9승1무1패	9/SN+승/NNB+1/SN+무/NNB+1/SN+패/NNB


# id : NWRW1800000054.275.3.1
2년 전 인천에서 열린 프레지던츠컵(유럽을 제외한 세계연합팀과 미국팀이 2년마다 맞붙는 골프 대항전)은 '역대 최고 명승부'로 기록될 만한 접전이 펼쳐졌다.

2년	2/SN+년/NNB
전	전/NNG
인천에서	인천/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
프레지던츠컵(유럽을	프레지던츠컵/NNG+(/SS+유럽/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
세계연합팀과	세계/NNG+연합/NNG+팀/NNG+과/JC
미국팀이	미국/NNP+팀/NNG+이/JKS
2년마다	2/SN+년/NNB+마다/JX
맞붙는	맞붙/VV+는/ETM
골프	골프/NNG
대항전)은	대항전/NNG+)/SS+은/JX
'역대	'/SS+역대/NNG
최고	최고/NNG
명승부'로	명승부/NNG+'/SS+로/JKB
기록될	기록/NNG+되/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
접전이	접전/NNG+이/JKS
펼쳐졌다.	펼쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.275.3.2
필 미켈슨(47)과 조던 스피스(24) 등 세계 정상급 골퍼를 보기 위해 대회 기간 갤러리 10만여 명이 인천 송도의 잭 니클라우스 골프클럽을 찾았다.

필	필/NNP
미켈슨(47)과	미켈슨/NNP+(/SS+47/SN+)/SS+과/JC
조던	조던/NNP
스피스(24)	스피스/NNP+(/SS+24/SN+)/SS
등	등/NNB
세계	세계/NNG
정상급	정상급/NNG
골퍼를	골퍼/NNG+를/JKO
보기	보/VV+기/ETN
위해	위하/VV+아/EC
대회	대회/NNG
기간	기간/NNG
갤러리	갤러리/NNG
10만여	10/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
인천	인천/NNP
송도의	송도/NNP+의/JKG
잭	잭/NNP
니클라우스	니클라우스/NNP
골프클럽을	골프클럽/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.275.3.3
대회 마지막 날 배상문(31)이 18번홀(파5) 세 번째 샷에서 뒤땅을 치는 실수를 저지른 탓에 세계연합팀이 미국팀과 공동 우승할 기회가 물 건너갔지만, 아시아 최초로 열린 프레지던츠컵은 어느 때보다 박진감이 넘쳤다.

대회	대회/NNG
마지막	마지막/NNG
날	날/NNG
배상문(31)이	배상문/NNP+(/SS+31/SN+)/SS+이/JKS
18번홀(파5)	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS
세	세/MMN
번째	번/NNB+째/XSN
샷에서	샷/NNG+에서/JKB
뒤땅을	뒤땅/NNG+을/JKO
치는	치/VV+는/ETM
실수를	실수/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
탓에	탓/NNG+에/JKB
세계연합팀이	세계/NNG+연합/NNG+팀/NNG+이/JKS
미국팀과	미국/NNP+팀/NNG+과/JKB
공동	공동/NNG
우승할	우승/NNG+하/XSV+ㄹ/ETM
기회가	기회/NNG+가/JKS
물	물/NNG
건너갔지만,	건너가/VV+았/EP+지만/EC+,/SP
아시아	아시아/NNP
최초로	최초/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
프레지던츠컵은	프레지던츠컵/NNG+은/JX
어느	어느/MMD
때보다	때/NNG+보다/JKB
박진감이	박진감/NNG+이/JKS
넘쳤다.	넘치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.275.4.1
12회를 맞은 올해 프레지던츠컵(미 뉴저지주 저지 시티의 리버티 내셔널 골프클럽)엔 갓 전역한 배상문 대신 김시우(22)가 한국 선수로는 유일하게 세계연합팀에 발탁됐다.

12회를	12/SN+회/NNB+를/JKO
맞은	맞/VV+은/ETM
올해	올해/NNG
프레지던츠컵(미	프레지던츠컵/NNG+(/SS+미/NNP
뉴저지주	뉴저지주/NNP
저지	저지/NNP
시티의	시티/NNP+의/JKG
리버티	리버티/NNP
내셔널	내셔널/NNP
골프클럽)엔	골프클럽/NNP+)/SS+에/JKB+ㄴ/JX
갓	갓/MAG
전역한	전역/NNG+하/XSV+ㄴ/ETM
배상문	배상문/NNP
대신	대신/NNG
김시우(22)가	김시우/NNP+(/SS+22/SN+)/SS+가/JKS
한국	한국/NNP
선수로는	선수/NNG+로/JKB+는/JX
유일하게	유일/NNG+하/XSA+게/EC
세계연합팀에	세계/NNG+연합/NNG+팀/NNG+에/JKB
발탁됐다.	발탁/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.275.4.2
28일(현지 시각)부터 나흘간 치러지는 이번 대회에서 김시우가 상대할 미국팀엔 2016~17시즌 미 프로골프(PGA) 투어를 양분했던 저스틴 토머스(24)와 조던 스피스를 포함해 리키 파울러(29), 브룩스 켑카(27), 맷 쿠차(39), 미켈슨 등 대형 스타가 모두 집합했다.

28일(현지	28/SN+일/NNB+(/SS+현지/NNG
시각)부터	시각/NNG+)/SS+부터/JX
나흘간	나흘/NNG+간/XSN
치러지는	치르/VV+어/EC+지/VX+는/ETM
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
김시우가	김시우/NNP+가/JKS
상대할	상대/NNG+하/XSV+ㄹ/ETM
미국팀엔	미국/NNP+팀/NNG+에/JKB+ㄴ/JX
2016~17시즌	2016/SN+~/SO+17/SN+시즌/NNG
미	미/NNP
프로골프(PGA)	프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS
투어를	투어/NNG+를/JKO
양분했던	양분/NNG+하/XSV+았/EP+던/ETM
저스틴	저스틴/NNP
토머스(24)와	토머스/NNP+(/SS+24/SN+)/SS+와/JC
조던	조던/NNP
스피스를	스피스/NNP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
리키	리키/NNP
파울러(29),	파울러/NNP+(/SS+29/SN+)/SS+,/SP
브룩스	브룩스/NNP
켑카(27),	켑카/NNP+(/SS+27/SN+)/SS+,/SP
맷	맷/NNP
쿠차(39),	쿠차/NNP+(/SS+39/SN+)/SS+,/SP
미켈슨	미켈슨/NNP
등	등/NNB
대형	대형/NNG
스타가	스타/NNG+가/JKS
모두	모두/MAG
집합했다.	집합/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.275.4.3
역대 전적은 미국팀이 9승1무1패로 압도적 우세를 보인다.

역대	역대/NNG
전적은	전적/NNG+은/JX
미국팀이	미국/NNP+팀/NNG+이/JKS
9승1무1패로	9/SN+승/NNB+1/SN+무/NNB+1/SN+패/NNB+로/JKB
압도적	압도/NNG+적/XSN
