# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.169
metadata : {}


# id : NWRW1800000044.169.1.1
양대노총, 공공기관 ‘정상화대책’ 강경 대응키로

양대노총,	양대/MMA+노총/NNG+,/SP
공공기관	공공/NNG+기관/NNG
‘정상화대책’	‘/SS+정상/NNG+화/XSN+대책/NNG+’/SS
강경	강경/NNG
대응키로	대응/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000044.169.2.1
[한겨레] “정부 책임회피…실효성 없어”

[한겨레]	[/SS+한겨레/NNP+]/SS
“정부	“/SS+정부/NNG
책임회피…실효성	책임/NNG+회피/NNG+…/SE+실효/NNG+성/XSN
없어”	없/VA+어/EF+”/SS


# id : NWRW1800000044.169.3.1
단체교섭 거부·총파업 논의

단체교섭	단체/NNG+교섭/NNG
거부·총파업	거부/NNG+·/SP+총파업/NNG
논의	논의/NNG


# id : NWRW1800000044.169.4.1
정부의 공공기관 정상화 대책과 관련해 노동계는 일체의 단체교섭을 거부하고 총파업 투쟁에 나서는 등 강경 대응하기로 했다.

정부의	정부/NNG+의/JKG
공공기관	공공/NNG+기관/NNG
정상화	정상/NNG+화/XSN
대책과	대책/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
노동계는	노동/NNG+계/XSN+는/JX
일체의	일체/NNG+의/JKG
단체교섭을	단체/NNG+교섭/NNG+을/JKO
거부하고	거부/NNG+하/XSV+고/EC
총파업	총파업/NNG
투쟁에	투쟁/NNG+에/JKB
나서는	나서/VV+는/ETM
등	등/NNB
강경	강경/NNG
대응하기로	대응/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.169.5.1
전국민주노동조합총연맹(민주노총)과 한국노동조합총연맹(한국노총)의 공공부문 노동조합이 모인 ‘양대 노총 공공부문 노동조합 공동대책위원회’(공대위)는 3일 보도자료를 내어 “정부의 공공기관 정상화 대책은 부채 등 공공기관의 문제를 제대로 해결할 수 있는 대안이 아니다.

전국민주노동조합총연맹(민주노총)과	전국민주노동조합총연맹/NNP+(/SS+민주노총/NNP+)/SS+과/JC
한국노동조합총연맹(한국노총)의	한국노동조합총연맹/NNP+(/SS+한국노총/NNP+)/SS+의/JKG
공공부문	공공/NNG+부문/NNG
노동조합이	노동조합/NNG+이/JKS
모인	모이/VV+ㄴ/ETM
‘양대	‘/SS+양대/MMA
노총	노총/NNG
노동조합	노동조합/NNG
공동대책위원회’(공대위)는	공동/NNG+대책/NNG+위원회/NNG+’/SS+(/SS+공대위/NNG+)/SS+는/JX
3일	3/SN+일/NNB
보도자료를	보도/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“정부의	“/SS+정부/NNG+의/JKG
공공기관	공공/NNG+기관/NNG
정상화	정상/NNG+화/XSN
대책은	대책/NNG+은/JX
부채	부채/NNG
등	등/NNB
공공기관의	공공/NNG+기관/NNG+의/JKG
문제를	문제/NNG+를/JKO
제대로	제대로/MAG
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대안이	대안/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000044.169.5.2
정부와 정치권이 책임 회피를 위해 공공기관과 그 종사자에게 책임을 전가하고 있다”고 밝혔다.

정부와	정부/NNG+와/JC
정치권이	정치/NNG+권/XSN+이/JKS
책임	책임/NNG
회피를	회피/NNG+를/JKO
위해	위하/VV+아/EC
공공기관과	공공/NNG+기관/NNG+과/JC
그	그/MMD
종사자에게	종사자/NNG+에게/JKB
