# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.369
metadata : {}


# id : NWRW1800000052.369.1.1
청와대, 중국의 사드 비판에 정면 반박

청와대,	청와대/NNP+,/SP
중국의	중국/NNP+의/JKG
사드	사드/NNG
비판에	비판/NNG+에/JKB
정면	정면/NNG
반박	반박/NNG


# id : NWRW1800000052.369.2.1
“북한 도발의 원인이 사드 배치라는 주장은 본말 전도…

“북한	“/SS+북한/NNP
도발의	도발/NNG+의/JKG
원인이	원인/NNG+이/JKS
사드	사드/NNG
배치라는	배치/NNG+이/VCP+라는/ETM
주장은	주장/NNG+은/JX
본말	본말/NNG
전도…	전도/NNG+…/SE


# id : NWRW1800000052.369.3.1
이웃나라 눈치보기가 국민들의 안보이해 앞설 수는 없어

이웃나라	이웃/NNG+나라/NNG
눈치보기가	눈치/NNG+보/VV+기/ETN+가/JKS
국민들의	국민/NNG+들/XSN+의/JKG
안보이해	안보/NNG+이해/NNG
앞설	앞서/VV+ㄹ/ETM
수는	수/NNB+는/JX
없어	없/VA+어/EF


# id : NWRW1800000052.369.4.1
중국은 사드 아닌 북핵을 문제 삼으라”

중국은	중국/NNP+은/JX
사드	사드/NNG
아닌	아니/VCN+ㄴ/ETM
북핵을	북핵/NNG+을/JKO
문제	문제/NNG
삼으라”	삼/VV+으라/EF+”/SS


# id : NWRW1800000052.369.5.1
더민주 의원 6명 방중에도 “재검토 강력 촉구”

더민주	더민주/NNP
의원	의원/NNG
6명	6/SN+명/NNB
방중에도	방중/NNG+에/JKB+도/JX
“재검토	“/SS+재/XPN+검토/NNG
강력	강력/NNG
촉구”	촉구/NNG+”/SS


# id : NWRW1800000052.369.6.1
청와대는 7일 중국이 사드(THAAD·고고도미사일방어) 체계의 주한미군 배치를 비판하는 데 대해 “북한의 탄도미사일 발사 등 지속적인 도발에 대해 중국 관영매체에서 사드 배치 결정이 이러한 도발의 원인이라고 주장하는 것 등은 본말이 전도된 것”이라고 밝혔다.

청와대는	청와대/NNP+는/JX
7일	7/SN+일/NNB
중국이	중국/NNP+이/JKS
사드(THAAD·고고도미사일방어)	사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG+미사일/NNG+방어/NNG+)/SS
체계의	체계/NNG+의/JKG
주한미군	주한/NNG+미군/NNG
배치를	배치/NNG+를/JKO
비판하는	비판/NNG+하/XSV+는/ETM
데	데/NNB
대해	대하/VV+아/EC
“북한의	“/SS+북한/NNP+의/JKG
탄도미사일	탄도/NNG+미사일/NNG
발사	발사/NNG
등	등/NNB
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
도발에	도발/NNG+에/JKB
중국	중국/NNP
관영매체에서	관영/NNG+매체/NNG+에서/JKB
사드	사드/NNG
배치	배치/NNG
결정이	결정/NNG+이/JKS
이러한	이러하/VA+ㄴ/ETM
도발의	도발/NNG+의/JKG
원인이라고	원인/NNG+이/VCP+라고/EC
주장하는	주장/NNG+하/XSV+는/ETM
것	것/NNB
등은	등/NNB+은/JX
본말이	본말/NNG+이/JKS
전도된	전도/NNG+되/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.369.6.2
최근 중국 공산당 기관지 <인민일보>와 관영 <신화통신> 등이 박근혜 대통령을 실명 비판한 뒤에도 정부는 “일방적 주장은 유감”이라는 비공식 코멘트로 대응했으나, 이날 청와대가 강도 높은 공식 반박을 내놓은 것이다.

최근	최근/MAG
중국	중국/NNP
공산당	공산당/NNP
기관지	기관지/NNG
<인민일보>와	</SS+인민일보/NNP+>/SS+와/JC
관영	관영/NNG
<신화통신>	</SS+신화통신/NNP+>/SS
등이	등/NNB+이/JKS
박근혜	박근혜/NNP
대통령을	대통령/NNG+을/JKO
실명	실명/NNG
비판한	비판/NNG+하/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
정부는	정부/NNG+는/JX
“일방적	“/SS+일방/NNG+적/XSN
주장은	주장/NNG+은/JX
유감”이라는	유감/NNG+”/SS+이/VCP+라는/ETM
비공식	비/XPN+공식/NNG
코멘트로	코멘트/NNG+로/JKB
대응했으나,	대응/NNG+하/XSV+았/EP+으나/EC+,/SP
이날	이날/NNG
청와대가	청와대/NNP+가/JKS
강도	강도/NNG
높은	높/VA+은/ETM
공식	공식/NNG
반박을	반박/NNG+을/JKO
내놓은	내놓/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.369.7.1
김성우 청와대 홍보수석은 춘추관에서 브리핑을 열어 “안보문제와 관련해 이웃국가의 눈치를 보는 것이 국민들의 위중한 안보이해를 앞설 수는 없는 것”이라며 이렇게 말했다.

김성우	김성우/NNP
청와대	청와대/NNP
홍보수석은	홍보/NNG+수석/NNG+은/JX
춘추관에서	춘추관/NNP+에서/JKB
브리핑을	브리핑/NNG+을/JKO
열어	열/VV+어/EC
“안보문제와	“/SS+안보/NNG+문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
이웃국가의	이웃/NNG+국가/NNG+의/JKG
눈치를	눈치/NNG+를/JKO
보는	보/VV+는/ETM
것이	것/NNB+이/JKS
국민들의	국민/NNG+들/XSN+의/JKG
위중한	위중하/VA+ㄴ/ETM
안보이해를	안보/NNG+이해/NNG+를/JKO
앞설	앞서/VV+ㄹ/ETM
수는	수/NNB+는/JX
없는	없/VA+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.369.7.2
김 수석은 “사드 배치 결정을 하게 된 근본 원인은 점증하는 북한의 핵과 미사일 위협”이라며 “중국 쪽은 우리의 순수한 방어적인 조치를 문제삼기 이전에 그간 네차례의 핵실험과 올해만도 10차례 이상 탄도미사일 발사를 통해 한반도와 동북아의 평화와 안정을 깨고 있는 북한에 대해서 보다 강력한 문제제기를 해야 할 것”이라고 요구했다.

김	김/NNP
수석은	수석/NNG+은/JX
“사드	“/SS+사드/NNG
배치	배치/NNG
결정을	결정/NNG+을/JKO
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
근본	근본/NNG
원인은	원인/NNG+은/JX
점증하는	점증/NNG+하/XSV+는/ETM
북한의	북한/NNP+의/JKG
핵과	핵/NNG+과/JC
미사일	미사일/NNG
위협”이라며	위협/NNG+”/SS+이/VCP+라며/EC
“중국	“/SS+중국/NNP
쪽은	쪽/NNB+은/JX
우리의	우리/NP+의/JKG
순수한	순수/NNG+하/XSA+ㄴ/ETM
방어적인	방어/NNG+적/XSN+이/VCP+ㄴ/ETM
