# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.214
metadata : {}


# id : NWRW1800000054.214.1.1
내년 서울 초등교사 385명 선발

내년	내년/NNG
서울	서울/NNP
초등교사	초등/NNG+교사/NNG
385명	385/SN+명/NNB
선발	선발/NNG


# id : NWRW1800000054.214.2.1
서울시교육청, 105명 뽑으려다 반발 커지자 280명 늘리기로… 발령 못받은 합격자 850명 있어

서울시교육청,	서울시교육청/NNP+,/SP
105명	105/SN+명/NNB
뽑으려다	뽑/VV+으려다/EC
반발	반발/NNG
커지자	커지/VV+자/EC
280명	280/SN+명/NNB
늘리기로…	늘리/VV+기/ETN+로/JKB+…/SE
발령	발령/NNG
못받은	못/MAG+받/VV+은/ETM
합격자	합격자/NNG
850명	850/SN+명/NNB
있어	있/VA+어/EF


# id : NWRW1800000054.214.3.1
서울시교육청이 2018학년도 초등교사 선발 인원을 385명으로 최종 확정했다.

서울시교육청이	서울시교육청/NNP+이/JKS
2018학년도	2018/SN+학년도/NNG
초등교사	초등/NNG+교사/NNG
선발	선발/NNG
인원을	인원/NNG+을/JKO
385명으로	385/SN+명/NNB+으로/JKB
최종	최종/NNG
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.214.3.2
사전 예고 인원(105명)보다 늘어났지만 지난해(813명) 절반에도 못 미쳐 '임용 대란'이 불가피해 보인다.

사전	사전/NNG
예고	예고/NNG
인원(105명)보다	인원/NNG+(/SS+105/SN+명/NNB+)/SS+보다/JKB
늘어났지만	늘어나/VV+았/EP+지만/EC
지난해(813명)	지난해/NNG+(/SS+813/SN+명/NNB+)/SS
절반에도	절반/NNG+에/JKB+도/JX
못	못/MAG
미쳐	미치/VV+어/EC
'임용	'/SS+임용/NNG
대란'이	대란/NNG+'/SS+이/JKS
불가피해	불가피하/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.214.4.1
13일 서울교육청은 '2018학년도 공립초등학교 교사 임용후보자 선정경쟁시험 시행계획'을 발표하고 "초등교사 선발 인원을 사전 예고한 105명보다 280명 늘어난 385명으로 확정했다"고 밝혔다.

13일	13/SN+일/NNB
서울교육청은	서울교육청/NNP+은/JX
'2018학년도	'/SS+2018/SN+학년도/NNG
공립초등학교	공립/NNG+초등학교/NNG
교사	교사/NNG
임용후보자	임용/NNG+후보자/NNG
선정경쟁시험	선정/NNG+경쟁/NNG+시험/NNG
시행계획'을	시행/NNG+계획/NNG+'/SS+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
"초등교사	"/SS+초등/NNG+교사/NNG
선발	선발/NNG
인원을	인원/NNG+을/JKO
사전	사전/NNG
예고한	예고/NNG+하/XSV+ㄴ/ETM
105명보다	105/SN+명/NNB+보다/JKB
280명	280/SN+명/NNB
늘어난	늘어나/VV+ㄴ/ETM
385명으로	385/SN+명/NNB+으로/JKB
확정했다"고	확정/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.214.4.2
조희연 서울교육감은 "제 명예를 걸고 고민을 거듭한 최대치가 이것"이라며 "교육부에 초등 교원 감축 규모를 완화해달라고 요청했지만 받아들여지지 않았다"고 말했다.

조희연	조희연/NNP
서울교육감은	서울/NNP+교육감/NNG+은/JX
"제	"/SS+저/NP+의/JKG
명예를	명예/NNG+를/JKO
걸고	걸/VV+고/EC
고민을	고민/NNG+을/JKO
거듭한	거듭/MAG+하/XSV+ㄴ/ETM
최대치가	최대/NNG+치/XSN+가/JKS
이것"이라며	이것/NP+"/SS+이/VCP+라며/EC
"교육부에	"/SS+교육부/NNG+에/JKB
초등	초등/NNG
교원	교원/NNG
감축	감축/NNG
규모를	규모/NNG+를/JKO
완화해달라고	완화/NNG+하/XSV+아/EC+달/VX+라고/EC
요청했지만	요청/NNG+하/XSV+았/EP+지만/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.214.5.1
서울교육청은 학령인구 감소 상황을 고려하지 않고 재작년 922명, 지난해 813명 등 양껏 뽑아오다 지난달 올해 선발 인원을 105명으로 사전 예고하면서 '임용 절벽' 논란을 불러일으켰다.

서울교육청은	서울교육청/NNP+은/JX
학령인구	학령/NNG+인구/NNG
감소	감소/NNG
상황을	상황/NNG+을/JKO
고려하지	고려/NNG+하/XSV+지/EC
않고	않/VX+고/EC
재작년	재/XPN+작년/NNG
922명,	922/SN+명/NNB+,/SP
지난해	지난해/NNG
813명	813/SN+명/NNB
등	등/NNB
양껏	양껏/MAG
뽑아오다	뽑/VV+아/EC+오/VX+다/EC
지난달	지난달/NNG
올해	올해/NNG
선발	선발/NNG
인원을	인원/NNG+을/JKO
105명으로	105/SN+명/NNB+으로/JKB
사전	사전/NNG
예고하면서	예고/NNG+하/XSV+면서/EC
'임용	'/SS+임용/NNG
절벽'	절벽/NNG+'/SS
논란을	논란/NNG+을/JKO
불러일으켰다.	불러일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.214.5.2
서울교육청은 앞으로 '학습연구년제' '자율연수휴직제'를 활용해 휴직 교사의 빈자리만큼 선발 인원을 늘리고, 학생교육 담당 직속기관과 교육청 산하 학생교육센터 등으로 교사 파견을 확대할 계획이다.

서울교육청은	서울교육청/NNP+은/JX
앞으로	앞/NNG+으로/JKB
'학습연구년제'	'/SS+학습/NNG+연구년/NNG+제/XSN+'/SS
'자율연수휴직제'를	'/SS+자율/NNG+연수/NNG+휴직/NNG+제/XSN+'/SS+를/JKO
활용해	활용/NNG+하/XSV+아/EC
휴직	휴직/NNG
교사의	교사/NNG+의/JKG
빈자리만큼	빈자리/NNG+만큼/JKB
선발	선발/NNG
인원을	인원/NNG+을/JKO
늘리고,	늘리/VV+고/EC+,/SP
학생교육	학생/NNG+교육/NNG
담당	담당/NNG
직속기관과	직속/NNG+기관/NNG+과/JC
교육청	교육청/NNG
산하	산하/NNG
학생교육센터	학생/NNG+교육/NNG+센터/NNG
등으로	등/NNB+으로/JKB
교사	교사/NNG
파견을	파견/NNG+을/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.214.5.3
자녀를 둔 교사가 일부 시간만 선택해 근무하는 '시간선택제교사'도 적극 활용한다는 방침이다.

자녀를	자녀/NNG+를/JKO
둔	두/VV+ㄴ/ETM
교사가	교사/NNG+가/JKS
일부	일부/NNG
시간만	시간/NNG+만/JX
선택해	선택/NNG+하/XSV+아/EC
근무하는	근무/NNG+하/XSV+는/ETM
'시간선택제교사'도	'/SS+시간/NNG+선택/NNG+제/XSN+교사/NNG+'/SS+도/JX
적극	적극/NNG
활용한다는	활용/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.214.6.1
현재 임용시험에 합격하고도 학교에 발령받지 못하는 대기자가 서울 지역만 851명에 달한다.

현재	현재/MAG
임용시험에	임용/NNG+시험/NNG+에/JKB
합격하고도	합격/NNG+하/XSV+고/EC+도/JX
학교에	학교/NNG+에/JKB
발령받지	발령/NNG+받/XSV+지/EC
못하는	못하/VX+는/ETM
대기자가	대기자/NNG+가/JKS
서울	서울/NNP
지역만	지역/NNG+만/JX
851명에	851/SN+명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.214.6.2
현행법상 임용시험에 합격하고도 3년 안에 발령을 못 받으면 합격이 취소된다.

현행법상	현행법/NNG+상/XSN
임용시험에	임용/NNG+시험/NNG+에/JKB
합격하고도	합격/NNG+하/XSV+고/EC+도/JX
3년	3/SN+년/NNB
안에	안/NNG+에/JKB
발령을	발령/NNG+을/JKO
못	못/MAG
받으면	받/VV+으면/EC
합격이	합격/NNG+이/JKS
취소된다.	취소/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.214.6.3
서울교육청 측은 "적어도 향후 3년간은 초등교사 선발 인원을 300명대로 유지할 수밖에 없다"고 밝혔다.

서울교육청	서울교육청/NNP
측은	측/NNB+은/JX
"적어도	"/SS+적어도/MAG
향후	향후/NNG
3년간은	3/SN+년/NNB+간/XSN+은/JX
초등교사	초등/NNG+교사/NNG
선발	선발/NNG
인원을	인원/NNG+을/JKO
300명대로	300/SN+명/NNB+대/XSN+로/JKB
유지할	유지/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.214.7.1
그러나 서울교육청이 교사 수요를 제대로 파악하지 않은 상태에서 "여론에 떠밀려 선발 인원부터 늘린 것 아니냐"는 지적도 나온다.

그러나	그러나/MAJ
서울교육청이	서울교육청/NNP+이/JKS
교사	교사/NNG
수요를	수요/NNG+를/JKO
제대로	제대로/MAG
파악하지	파악/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
"여론에	"/SS+여론/NNG+에/JKB
떠밀려	떠밀리/VV+어/EC
선발	선발/NNG
인원부터	인원/NNG+부터/JX
늘린	늘리/VV+ㄴ/ETM
것	것/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.214.7.2
교사 1인당 학생 수를 경제협력개발기구(OECD) 수준에 맞추겠다는 정부 방침까지 감안해 선발 인원을 무리하게 385명으로 늘려 잡았다는 것이다.

교사	교사/NNG
1인당	1/SN+인/NNG+당/XSN
학생	학생/NNG
수를	수/NNG+를/JKO
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
수준에	수준/NNG+에/JKB
맞추겠다는	맞추/VV+겠/EP+다는/ETM
정부	정부/NNG
방침까지	방침/NNG+까지/JX
감안해	감안/NNG+하/XSV+아/EC
선발	선발/NNG
인원을	인원/NNG+을/JKO
무리하게	무리/NNG+하/XSA+게/EC
385명으로	385/SN+명/NNB+으로/JKB
늘려	늘리/VV+어/EC
잡았다는	잡/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.214.7.3
윤오영 서울교육청 교육정책국장 스스로 "선발 인원 확대가 모험인 것은 사실"이라고 했다.

윤오영	윤오영/NNP
서울교육청	서울교육청/NNP
교육정책국장	교육/NNG+정책국장/NNG
스스로	스스로/MAG
"선발	"/SS+선발/NNG
인원	인원/NNG
확대가	확대/NNG+가/JKS
모험인	모험/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
사실"이라고	사실/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.214.8.1
한편 서울교육청은 다음 달 13일 발표할 공립 중등교사도 사전 예고 인원보다 120명가량 증원할 것으로 알려졌다.

한편	한편/MAG
서울교육청은	서울교육청/NNP+은/JX
다음	다음/NNG
달	달/NNG
13일	13/SN+일/NNB
발표할	발표/NNG+하/XSV+ㄹ/ETM
공립	공립/NNG
중등교사도	중등/NNG+교사/NNG+도/JX
사전	사전/NNG
예고	예고/NNG
인원보다	인원/NNG+보다/JKB
120명가량	120/SN+명/NNB+가량/XSN
증원할	증원/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.214.8.2
서울시 공립(국립) 유치원·초등학교·특수학교 교사 및 사립 초등학교 교사 시험 시행 계획은 14일 서울시교육청 홈페이지에 공고된다.

서울시	서울시/NNP
공립(국립)	공립/NNG+(/SS+국립/NNG+)/SS
유치원·초등학교·특수학교	유치원/NNG+·/SP+초등학교/NNG+·/SP+특수/NNG+학교/NNG
교사	교사/NNG
및	및/MAG
사립	사립/NNG
초등학교	초등학교/NNG
시험	시험/NNG
시행	시행/NNG
계획은	계획/NNG+은/JX
14일	14/SN+일/NNB
서울시교육청	서울시교육청/NNP
홈페이지에	홈페이지/NNG+에/JKB
공고된다.	공고/NNG+되/XSV+ㄴ다/EF+./SF


