# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.199
metadata : {}


# id : NWRW1800000037.199.1.1
[휴지통]애인에 차여 ‘여성혐오’하게 된 男, 히로뽕 취해 女명품 날치기

[휴지통]애인에	[/SS+휴지통/NNG+]/SS+애인/NNG+에/JKB
차여	차이/VV+어/EC
‘여성혐오’하게	‘/SS+여성/NNG+혐오/NNG+’/SS+하/VV+게/EC
된	되/VV+ㄴ/ETM
男,	男/SH+,/SP
히로뽕	히로뽕/NNG
취해	취하/VV+아/EC
女명품	女/SH+명품/NNG
날치기	날치기/NNG


# id : NWRW1800000037.199.2.1
송모 씨(42)는 2월경 사귄 지 6개월 된 여자친구에게 이별을 통보받았다.

송모	송/NNP+모/NP
씨(42)는	씨/NNB+(/SS+42/SN+)/SS+는/JX
2월경	2/SN+월/NNB+경/XSN
사귄	사귀/VV+ㄴ/ETM
지	지/NNB
6개월	6/SN+개월/NNB
된	되/VV+ㄴ/ETM
여자친구에게	여자/NNG+친구/NNG+에게/JKB
이별을	이별/NNG+을/JKO
통보받았다.	통보/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.199.2.2
마약 전과만 8범인 그는 감정 기복이 극도로 심했다.

마약	마약/NNG
전과만	전과/NNG+만/JX
8범인	8/SN+범/NNB+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
감정	감정/NNG
기복이	기복/NNG+이/JKS
극도로	극도/NNG+로/JKB
심했다.	심하/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.199.2.3
믿었던 애인이 떠나자 여성 전체를 혐오하게 됐다.

믿었던	믿/VV+었/EP+던/ETM
애인이	애인/NNG+이/JKS
떠나자	떠나/VV+자/EC
여성	여성/NNG
전체를	전체/NNG+를/JKO
혐오하게	혐오/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.199.3.1
마땅한 직업이 없는 마약중독자 송 씨는 돈이 필요해지자 평소 혐오해온 ‘여성’을 노렸다.

마땅한	마땅하/VA+ㄴ/ETM
직업이	직업/NNG+이/JKS
없는	없/VA+는/ETM
마약중독자	마약/NNG+중독자/NNG
송	송/NNP
