# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.391
metadata : {}


# id : NWRW1800000038.391.1.1
김원홍 SK해운 前고문, 先物투자로 한때 崔회장의 재산 1000억원대로 불려줘

김원홍	김원홍/NNP
SK해운	SK해운/NNP
前고문,	前/SH+고문/NNG+,/SP
先物투자로	先物/SH+투자/NNG+로/JKB
한때	한때/MAG
崔회장의	崔/SH+회장/NNG+의/JKG
재산	재산/NNG
1000억원대로	1000/SN+억/NR+원/NNB+대/XSN+로/JKB
불려줘	불리/VV+어/EC+주/VX+어/EF


# id : NWRW1800000038.391.2.1
김준홍 前베넥스인베스트 대표, 입사 3년만에 상무 승진한 'SK 오너의 금고지기'

김준홍	김준홍/NNP
前베넥스인베스트	前/SH+베넥스인베스트/NNP
대표,	대표/NNG+,/SP
입사	입사/NNG
3년만에	3/SN+년/NNB+만/NNB+에/JKB
상무	상무/NNG
승진한	승진/NNG+하/XSV+ㄴ/ETM
'SK	'/SS+SK/SL
오너의	오너/NNG+의/JKG
금고지기'	금고지기/NNG+'/SS


# id : NWRW1800000038.391.3.1
SK 재판 막바지에 제시된 녹취록을 만든 인물인 김원홍(52) SK해운 전 고문은 베일에 가려진 사람이다.

SK	SK/SL
재판	재판/NNG
막바지에	막바지/NNG+에/JKB
제시된	제시/NNG+되/XSV+ㄴ/ETM
녹취록을	녹취록/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
인물인	인물/NNG+이/VCP+ㄴ/ETM
김원홍(52)	김원홍/NNP+(/SS+52/SN+)/SS
SK해운	SK해운/NNP
전	전/MMD
고문은	고문/NNG+은/JX
베일에	베일/NNG+에/JKB
가려진	가려지/VV+ㄴ/ETM
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.391.3.2
이 사건 전까지 SK 임원들조차 김 전 고문의 존재를 잘 몰랐다고 한다.

이	이/MMD
사건	사건/NNG
전까지	전/NNG+까지/JX
SK	SK/SL
임원들조차	임원/NNG+들/XSN+조차/JX
김	김/NNP
전	전/MMD
고문의	고문/NNG+의/JKG
존재를	존재/NNG+를/JKO
잘	잘/MAG
몰랐다고	모르/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.391.4.1
경북 경주 출신인 김 전 고문은 증권사 영업사원을 하다 유명 무속인으로 변신한 것으로 알려져 있다.

경북	경북/NNP
경주	경주/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
김	김/NNP
전	전/MMD
고문은	고문/NNG+은/JX
증권사	증권사/NNG
영업사원을	영업/NNG+사원/NNG+을/JKO
하다	하/VV+다/EC
유명	유명/NNG
무속인으로	무속인/NNG+으로/JKB
변신한	변신/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.391.4.2
수리에 밝았다는 그는 주식 선물(先物) 투자로 재벌가들의 재산을 불려줬다.

수리에	수리/NNG+에/JKB
밝았다는	밝/VA+았/EP+다는/ETM
그는	그/NP+는/JX
주식	주식/NNG
선물(先物)	선물/NNG+(/SS+先物/SH+)/SS
투자로	투자/NNG+로/JKB
재벌가들의	재벌가/NNG+들/XSN+의/JKG
재산을	재산/NNG+을/JKO
불려줬다.	불리/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.391.5.1
그의 '고객' 중엔 손길승 전 SK 회장이 있었는데, 2000년 무렵 손 전 회장이 그를 최태원(53) 회장에게 소개한 것으로 알려져 있다.

그의	그/NP+의/JKG
'고객'	'/SS+고객/NNG+'/SS
중엔	중/NNB+에/JKB+ㄴ/JX
손길승	손길승/NNP
전	전/MMD
SK	SK/SL
회장이	회장/NNG+이/JKS
있었는데,	있/VA+었/EP+는데/EC+,/SP
2000년	2000/SN+년/NNB
무렵	무렵/NNB
손	손/NNP
그를	그/NP+를/JKO
최태원(53)	최태원/NNP+(/SS+53/SN+)/SS
회장에게	회장/NNG+에게/JKB
소개한	소개/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.391.5.2
김 전 고문은 당시 상속세로 고민하던 최 회장의 현금 재산을 단숨에 1000억원대로 불려줬다고 한다.

김	김/NNP
전	전/MMD
고문은	고문/NNG+은/JX
당시	당시/NNG
상속세로	상속세/NNG+로/JKB
고민하던	고민/NNG+하/XSV+던/ETM
최	최/NNP
회장의	회장/NNG+의/JKG
현금	현금/NNG
재산을	재산/NNG+을/JKO
단숨에	단숨에/MAG
1000억원대로	1000/SN+억/NR+원/NNB+대/XSN+로/JKB
불려줬다고	불리/VV+어/EC+주/VX+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.391.6.1
SK 관계자들은 "김 전 고문에 대한 최 회장의 신뢰는 상상을 초월한다"고 말한다.

SK	SK/SL
관계자들은	관계자/NNG+들/XSN+은/JX
"김	"/SS+김/NNP
전	전/MMD
고문에	고문/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최	최/NNP
회장의	회장/NNG+의/JKG
신뢰는	신뢰/NNG+는/JX
상상을	상상/NNG+을/JKO
초월한다"고	초월/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.391.6.2
김 전 고문이 선물 투자로 여러 해에 걸쳐 수천억원을 날린 2008년 이후에도 최 회장이 김 전 고문에게 돈을 맡길 정도로 신뢰했다는 것이다.

김	김/NNP
전	전/MMD
고문이	고문/NNG+이/JKS
선물	선물/NNG
투자로	투자/NNG+로/JKB
여러	여러/MMN
해에	해/NNB+에/JKB
걸쳐	걸치/VV+어/EC
수천억원을	수천억/NR+원/NNB+을/JKO
날린	날리/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
이후에도	이후/NNG+에/JKB+도/JX
최	최/NNP
회장이	회장/NNG+이/JKS
고문에게	고문/NNG+에게/JKB
돈을	돈/NNG+을/JKO
맡길	맡기/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
신뢰했다는	신뢰/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.391.6.3
또 2010년 김 전 고문이 부친상을 당했을 때 최 회장은 경주의 빈소를 찾았으며, 49재 때도 갔다고 한다.

또	또/MAG
2010년	2010/SN+년/NNB
김	김/NNP
전	전/MMD
고문이	고문/NNG+이/JKS
부친상을	부친상/NNG+을/JKO
당했을	당하/VV+았/EP+을/ETM
때	때/NNG
최	최/NNP
회장은	회장/NNG+은/JX
경주의	경주/NNP+의/JKG
빈소를	빈소/NNG+를/JKO
찾았으며,	찾/VV+았/EP+으며/EC+,/SP
49재	49/SN+재/NNG
때도	때/NNG+도/JX
갔다고	가/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.391.7.1
그러나 최 회장 측은 1심 재판에서도 김 전 고문의 역할을 부각시키지 않았다.

그러나	그러나/MAJ
최	최/NNP
회장	회장/NNG
측은	측/NNB+은/JX
1심	1심/NNG
재판에서도	재판/NNG+에서/JKB+도/JX
김	김/NNP
전	전/MMD
고문의	고문/NNG+의/JKG
역할을	역할/NNG+을/JKO
부각시키지	부각/NNG+시키/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.391.7.2
김 전 고문과의 관계가 공개되면 최 회장 입장에선 유무죄를 떠나 경영인으로서 타격을 입기 때문이었다.

김	김/NNP
전	전/MMD
고문과의	고문/NNG+과/JKB+의/JKG
관계가	관계/NNG+가/JKS
공개되면	공개/NNG+되/XSV+면/EC
최	최/NNP
회장	회장/NNG
입장에선	입장/NNG+에서/JKB+ㄴ/JX
유무죄를	유무죄/NNG+를/JKO
떠나	떠나/VV+아/EC
경영인으로서	경영인/NNG+으로서/JKB
타격을	타격/NNG+을/JKO
입기	입/VV+기/ETN
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.391.7.3
SK 관계자는 "최 회장은 1심에서 무죄가 나올 줄 알았다"면서 "이젠 상황이 달라져 김 전 고문을 거론할 수밖에 없게 됐다"고 했다.

SK	SK/SL
관계자는	관계자/NNG+는/JX
"최	"/SS+최/NNP
회장은	회장/NNG+은/JX
1심에서	1심/NNG+에서/JKB
무죄가	무죄/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
줄	줄/NNB
알았다"면서	알/VV+았/EP+다/EF+"/SS+면서/EC
"이젠	"/SS+이제/NNG+ㄴ/JX
상황이	상황/NNG+이/JKS
달라져	달라지/VV+어/EC
김	김/NNP
전	전/MMD
