# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.193
metadata : {}


# id : NWRW1800000021.193.1.1
생이별 47년 北남편 죽었다니…

생이별	생/XPN+이별/NNG
47년	47/SN+년/NNB
北남편	北/SH+남편/NNG
죽었다니…	죽/VV+었/EP+다니/EC+…/SE


# id : NWRW1800000021.193.2.1
북한 남자와 결혼했다가 소식이 끊긴 뒤 40년 넘게 생사 확인에 애를 태웠던 루마니아 할머니가 결국 남편의 사망 통보를 받았다.

북한	북한/NNP
남자와	남자/NNG+와/JKB
결혼했다가	결혼/NNG+하/XSV+았/EP+다가/EC
소식이	소식/NNG+이/JKS
끊긴	끊기/VV+ㄴ/ETM
뒤	뒤/NNG
40년	40/SN+년/NNB
넘게	넘/VV+게/EC
생사	생사/NNG
확인에	확인/NNG+에/JKB
애를	애/NNG+를/JKO
태웠던	태우/VV+었/EP+던/ETM
루마니아	루마니아/NNP
할머니가	할머니/NNG+가/JKS
결국	결국/NNG
남편의	남편/NNG+의/JKG
사망	사망/NNG
통보를	통보/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.193.3.1
17일 미국 자유아시아방송(RFA)에 따르면 루마니아 제오르제타 미르치오이우 할머니는 3월 북한 당국으로부터 남편 조정호 씨가 사망했다는 통보를 받았다.

17일	17/SN+일/NNB
미국	미국/NNP
자유아시아방송(RFA)에	자유아시아방송/NNP+(/SS+RFA/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
루마니아	루마니아/NNP
제오르제타	제오르제타/NNP
미르치오이우	미르치오이우/NNP
할머니는	할머니/NNG+는/JX
3월	3/SN+월/NNB
북한	북한/NNP
당국으로부터	당국/NNG+으로부터/JKB
남편	남편/NNG
조정호	조정호/NNP
씨가	씨/NNB+가/JKS
사망했다는	사망/NNG+하/XSV+았/EP+다는/ETM
통보를	통보/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.193.3.2
방송에 따르면 3월 17일자로 발행된 북한 인민보안성 대외사업국 사망확인서에도 함경남도 정평군 용흥리에 살던 조 씨가 2004년 8월 사망했다고 적혀 있다.

방송에	방송/NNG+에/JKB
따르면	따르/VV+면/EC
3월	3/SN+월/NNB
17일자로	17/SN+일/NNB+자/NNG+로/JKB
발행된	발행/NNG+되/XSV+ㄴ/ETM
북한	북한/NNP
인민보안성	인민/NNG+보안/NNG+성/XSN
대외사업국	대외/NNG+사업국/NNG
사망확인서에도	사망/NNG+확인서/NNG+에/JKB+도/JX
함경남도	함경남도/NNP
정평군	정평군/NNP
용흥리에	용흥리/NNP+에/JKB
살던	살/VV+던/ETM
조	조/NNP
씨가	씨/NNB+가/JKS
2004년	2004/SN+년/NNB
8월	8/SN+월/NNB
사망했다고	사망/NNG+하/XSV+았/EP+다고/EC
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.193.4.1
미르치오이우 할머니는 1952년 전쟁고아 3000명을 인솔하고 루마니아에 파견된 조 씨를 만나 1957년 결혼했다.

미르치오이우	미르치오이우/NNP
할머니는	할머니/NNG+는/JX
1952년	1952/SN+년/NNB
전쟁고아	전쟁고아/NNG
3000명을	3000/SN+명/NNB+을/JKO
인솔하고	인솔/NNG+하/XSV+고/EC
루마니아에	루마니아/NNP+에/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
조	조/NNP
씨를	씨/NNB+를/JKO
만나	만나/VV+아/EC
1957년	1957/SN+년/NNB
결혼했다.	결혼/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.193.4.2
두 사람은 2년 뒤 평양으로 거처를 옮겼지만 1962년 미르치오이우 할머니가 생후 한 살 반 된 딸의 병을 치료하기 위해 잠깐 루마니아에 갔다가 북한에 들어가려 했으나 입국비자를 받지 못하는 바람에 생이별했다.

두	두/MMN
사람은	사람/NNG+은/JX
2년	2/SN+년/NNB
뒤	뒤/NNG
평양으로	평양/NNP+으로/JKB
거처를	거처/NNG+를/JKO
옮겼지만	옮기/VV+었/EP+지만/EC
1962년	1962/SN+년/NNB
미르치오이우	미르치오이우/NNP
할머니가	할머니/NNG+가/JKS
생후	생후/NNG
한	한/MMN
살	살/NNB
반	반/NNG
된	되/VV+ㄴ/ETM
딸의	딸/NNG+의/JKG
병을	병/NNG+을/JKO
치료하기	치료/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
잠깐	잠깐/MAG
루마니아에	루마니아/NNP+에/JKB
갔다가	가/VV+았/EP+다가/EC
북한에	북한/NNP+에/JKB
들어가려	들어가/VV+려/EC
했으나	하/VX+았/EP+으나/EC
입국비자를	입국/NNG+비자/NNG+를/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
바람에	바람/NNB+에/JKB
생이별했다.	생/XPN+이별/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.193.4.3
그는 “남편도 내가 자신을 그리워한 것처럼 나와 딸을 그리워했는지 알고 싶다”며 “죽기 전에 북한을 방문해 남편의 흔적을 직접 찾아보고 싶다”고 말했다.

그는	그/NP+는/JX
“남편도	“/SS+남편/NNG+도/JX
내가	내/NP+가/JKS
자신을	자신/NNG+을/JKO
그리워한	그리워하/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
나와	나/NP+와/JC
딸을	딸/NNG+을/JKO
그리워했는지	그리워하/VV+았/EP+는지/EC
알고	알/VV+고/EC
싶다”며	싶/VX+다/EF+”/SS+며/EC
