# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.90
metadata : {}


# id : NWRW1800000046.90.1.1
32년 외길… "내 車는 멈추지 않는다"

32년	32/SN+년/NNB
외길…	외길/NNG+…/SE
"내	"/SS+나/NP+의/JKG
車는	車/SH+는/JX
멈추지	멈추/VV+지/EC
않는다"	않/VX+는다/EF+"/SS


# id : NWRW1800000046.90.2.1
자동차산업 개척 정세영 10주기… 현대家 200명 참석 조형물 제막

자동차산업	자동차/NNG+산업/NNG
개척	개척/NNG
정세영	정세영/NNP
10주기…	10/SN+주기/NNG+…/SE
현대家	현대/NNP+家/SH
200명	200/SN+명/NNB
참석	참석/NNG
조형물	조형물/NNG
제막	제막/NNG


# id : NWRW1800000046.90.3.1
현대자동차 초대 사장이자 국내 자동차 산업의 개척자인 고(故) 정세영 현대산업개발 명예회장이 21일로 타계 10주기(周忌)를 맞는다.

현대자동차	현대자동차/NNP
초대	초대/NNG
사장이자	사장/NNG+이/VCP+자/EC
국내	국내/NNG
자동차	자동차/NNG
산업의	산업/NNG+의/JKG
개척자인	개척자/NNG+이/VCP+ㄴ/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
정세영	정세영/NNP
현대산업개발	현대산업개발/NNP
명예회장이	명예/NNG+회장/NNG+이/JKS
21일로	21/SN+일/NNB+로/JKB
타계	타계/NNG
10주기(周忌)를	10/SN+주기/NNG+(/SS+周忌/SH+)/SS+를/JKO
맞는다.	맞/VV+는다/EF+./SF


# id : NWRW1800000046.90.3.2
아들인 정몽규 회장이 이끄는 현대산업개발은 20일 경기도 양수리 선영에서 추모 조형물 제막식을 열었다.

아들인	아들/NNG+이/VCP+ㄴ/ETM
정몽규	정몽규/NNP
회장이	회장/NNG+이/JKS
이끄는	이끌/VV+는/ETM
현대산업개발은	현대산업개발/NNP+은/JX
20일	20/SN+일/NNB
경기도	경기도/NNP
양수리	양수리/NNP
선영에서	선영/NNG+에서/JKB
추모	추모/NNG
