# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.277
metadata : {}


# id : NWRW1800000053.277.1.1
[오늘과 내일/서영아]초장수사회 일본에 넘쳐나는 공포

[오늘과	[/SS+오늘/NNG+과/JC
내일/서영아]초장수사회	내일/NNG+//SP+서영아/NNP+]/SS+초/XPN+장수/NNG+사회/NNG
일본에	일본/NNP+에/JKB
넘쳐나는	넘치/VV+어/EC+나/VX+는/ETM
공포	공포/NNG


# id : NWRW1800000053.277.2.1
일본 노인 22.3%는 65세가 넘어서도 일한다.

일본	일본/NNP
노인	노인/NNG
22.3%는	22/SN+./SP+3/SN+%/SW+는/JX
65세가	65/SN+세/NNB+가/JKS
넘어서도	넘어서/VV+어/EC+도/JX
일한다.	일/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.2.2
남성의 경우 70세 넘어서도 일하는 사람이 근 20%에 이른다.

남성의	남성/NNG+의/JKG
경우	경우/NNG
70세	70/SN+세/NNB
넘어서도	넘어서/VV+어/EC+도/JX
일하는	일/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
근	근/MMA
20%에	20/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.2.3
인구 중 65세 이상 고령자 비중은 27.7%로 세계 최고다.

인구	인구/NNG
중	중/NNB
65세	65/SN+세/NNB
이상	이상/NNG
고령자	고령자/NNG
비중은	비중/NNG+은/JX
27.7%로	27/SN+./SP+7/SN+%/SW+로/JKB
세계	세계/NNG
최고다.	최고/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.277.2.4
일본 총무성이 18일 ‘경로의 날’을 기해 발표한 내용이다.

일본	일본/NNP
총무성이	총무성/NNP+이/JKS
18일	18/SN+일/NNB
‘경로의	‘/SS+경로/NNG+의/JKG
날’을	날/NNG+’/SS+을/JKO
기해	기하/VV+아/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.277.3.1
15일 해외 언론을 대상으로 한 사전 기자회견장에서는 외신기자들에게서 각이 선 질문이 빗발쳤다.

15일	15/SN+일/NNB
해외	해외/NNG
언론을	언론/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
사전	사전/NNG
기자회견장에서는	기자/NNG+회견장/NNG+에서/JKB+는/JX
외신기자들에게서	외신/NNG+기자/NNG+들/XSN+에게서/JKB
각이	각/NNG+이/JKS
선	서/VV+ㄴ/ETM
질문이	질문/NNG+이/JKS
빗발쳤다.	빗발치/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.277.3.2
많은 노인이 일하는 이유에 대해 특히 유럽 기자들은 고령자들이 저임금에 시달리기 때문 아니냐, 사회복지가 불충분하기 때문 아니냐고 물었다.

많은	많/VA+은/ETM
노인이	노인/NNG+이/JKS
일하는	일/NNG+하/XSV+는/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
특히	특히/MAG
유럽	유럽/NNP
기자들은	기자/NNG+들/XSN+은/JX
고령자들이	고령자/NNG+들/XSN+이/JKS
저임금에	저/XPN+임금/NNG+에/JKB
시달리기	시달리/VV+기/ETN
때문	때문/NNB
아니냐,	아니/VCN+냐/EF+,/SP
사회복지가	사회/NNG+복지/NNG+가/JKS
불충분하기	불충분/NNG+하/XSA+기/ETN
아니냐고	아니/VCN+냐고/EC
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.277.3.3
고용 고령자 4명 중 3명이 비정규직인 것에 대해서도 일본 정부는 ‘본인이 일하고 싶은 시간대에 일하고 싶어서’가 1위를 차지한 설문 결과를 소개했지만 기자들은 수긍하지 못하는 듯했다.

고용	고용/NNG
고령자	고령자/NNG
4명	4/SN+명/NNB
중	중/NNB
3명이	3/SN+명/NNB+이/JKS
비정규직인	비/XPN+정규직/NNG+이/VCP+ㄴ/ETM
것에	것/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
일본	일본/NNP
정부는	정부/NNG+는/JX
‘본인이	‘/SS+본인/NNG+이/JKS
일하고	일/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
시간대에	시간대/NNG+에/JKB
싶어서’가	싶/VX+어서/EC+’/SS+가/JKS
1위를	1/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
설문	설문/NNG
결과를	결과/NNG+를/JKO
소개했지만	소개/NNG+하/XSV+았/EP+지만/EC
기자들은	기자/NNG+들/XSN+은/JX
수긍하지	수긍/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000053.277.4.1
노년 근로를 보는 시각은 엇갈린다.

노년	노년/NNG
근로를	근로/NNG+를/JKO
보는	보/VV+는/ETM
시각은	시각/NNG+은/JX
엇갈린다.	엇갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.277.4.2
일손 부족으로 허덕이는 일본의 경우 노인들이 일을 해줘야 사회가 돌아간다는 현실도 있다.

일손	일손/NNG
부족으로	부족/NNG+으로/JKB
허덕이는	허덕이/VV+는/ETM
일본의	일본/NNP+의/JKG
경우	경우/NNG
노인들이	노인/NNG+들/XSN+이/JKS
일을	일/NNG+을/JKO
해줘야	하/VV+아/EC+주/VX+어야/EC
사회가	사회/NNG+가/JKS
돌아간다는	돌아가/VV+ㄴ다는/ETM
현실도	현실/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.277.4.3
지난해 아베 신조 총리가 ‘1억 총활약 사회’를 내걸고 노인과 여성이 활약하는 사회를 주창하자 일각에서는 “죽을 때까지 일하란 말이냐”는 반발도 들려왔다.

지난해	지난해/NNG
아베	아베/NNP
신조	신조/NNP
총리가	총리/NNG+가/JKS
‘1억	‘/SS+1/SN+억/NR
총활약	총활약/NNG
사회’를	사회/NNG+’/SS+를/JKO
내걸고	내걸/VV+고/EC
노인과	노인/NNG+과/JC
여성이	여성/NNG+이/JKS
활약하는	활약/NNG+하/XSV+는/ETM
사회를	사회/NNG+를/JKO
주창하자	주창/NNG+하/XSV+자/EC
일각에서는	일각/NNG+에서/JKB+는/JX
“죽을	“/SS+죽/VV+을/ETM
때까지	때/NNG+까지/JX
일하란	일/NNG+하/XSV+란/ETM
말이냐”는	말/NNG+이/VCP+냐/EF+”/SS+는/ETM
반발도	반발/NNG+도/JX
들려왔다.	들려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.277.5.1
하지만 나이가 들어도 일을 통해 삶의 보람을 찾고 싶은 것은 인간의 본능이기도 하다.

하지만	하지만/MAJ
나이가	나이/NNG+가/JKS
들어도	들/VV+어도/EC
일을	일/NNG+을/JKO
통해	통하/VV+아/EC
삶의	삶/NNG+의/JKG
보람을	보람/NNG+을/JKO
찾고	찾/VV+고/EC
싶은	싶/VX+은/ETM
것은	것/NNB+은/JX
인간의	인간/NNG+의/JKG
본능이기도	본능/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000053.277.5.2
일본 정부가 11일 출범시킨 ‘인생 100년 시대 구상회의’도 장수사회 일본의 좌표를 찾기 위한 시도다.

일본	일본/NNP
정부가	정부/NNG+가/JKS
11일	11/SN+일/NNB
출범시킨	출범/NNG+시키/XSV+ㄴ/ETM
‘인생	‘/SS+인생/NNG
100년	100/SN+년/NNB
시대	시대/NNG
구상회의’도	구상/NNG+회의/NNG+’/SS+도/JX
장수사회	장수/NNG+사회/NNG
일본의	일본/NNP+의/JKG
좌표를	좌표/NNG+를/JKO
찾기	찾/VV+기/ETN
위한	위하/VV+ㄴ/ETM
시도다.	시도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.277.5.3
이 회의 멤버로 초빙된 ‘라이프 시프트(100세 시대)’의 저자 린다 그래턴 런던비즈니스스쿨 교수는 “100세 시대에는 60, 65세 은퇴란 있을 수 없다”며 일하는 방식의 설계를 바꿔야 한다고 주장했다.

이	이/MMD
회의	회의/NNG
멤버로	멤버/NNG+로/JKB
초빙된	초빙/NNG+되/XSV+ㄴ/ETM
‘라이프	‘/SS+라이프/NNP
시프트(100세	시프트/NNP+(/SS+100/SN+세/NNB
시대)’의	시대/NNG+)/SS+’/SS+의/JKG
저자	저자/NNG
린다	린다/NNP
그래턴	그래턴/NNP
런던비즈니스스쿨	런던비즈니스스쿨/NNP
교수는	교수/NNG+는/JX
“100세	“/SS+100/SN+세/NNB
시대에는	시대/NNG+에/JKB+는/JX
60,	60/SN+,/SP
65세	65/SN+세/NNB
은퇴란	은퇴/NNG+란/JX
있을	있/VA+을/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
일하는	일/NNG+하/XSV+는/ETM
방식의	방식/NNG+의/JKG
설계를	설계/NNG+를/JKO
바꿔야	바꾸/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.277.5.4
취업 뒤에도 새로 공부할 기회가 주어져 생애를 통해 배우고 일해야 한다는 것이다.

취업	취업/NNG
뒤에도	뒤/NNG+에/JKB+도/JX
새로	새로/MAG
공부할	공부/NNG+하/XSV+ㄹ/ETM
기회가	기회/NNG+가/JKS
주어져	주어지/VV+어/EC
생애를	생애/NNG+를/JKO
통해	통하/VV+아/EC
배우고	배우/VV+고/EC
일해야	일/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.277.6.1
