# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.99
metadata : {}


# id : NWRW1800000049.99.1.1
“최상위권대 자연계-의대 가려면 수학 5.9%- 과탐 4.1%內 들어야”

“최상위권대	“/SS+최/XPN+상위권대/NNG
자연계-의대	자연/NNG+계/XSN+-/SO+의대/NNG
가려면	가/VV+려면/EC
수학	수학/NNG
5.9%-	5/SN+./SP+9/SN+%/SW+-/SO
과탐	과탐/NNG
4.1%內	4/SN+./SP+1/SN+%/SW+內/SH
들어야”	들/VV+어야/EC+”/SS


# id : NWRW1800000049.99.2.1
2017학년도 자연계 수시-정시 대비법

2017학년도	2017/SN+학년도/NNG
자연계	자연/NNG+계/XSN
수시-정시	수시/NNG+-/SO+정시/NNG
대비법	대비법/NNG


# id : NWRW1800000049.99.3.1
2017학년도에 주요 대학 자연계열과 의학계열 선발 인원이 늘어난다.

2017학년도에	2017/SN+학년도/NNG+에/JKB
주요	주요/NNG
대학	대학/NNG
자연계열과	자연/NNG+계열/NNG+과/JC
의학계열	의학/NNG+계열/NNG
선발	선발/NNG
인원이	인원/NNG+이/JKS
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.99.3.2
서울대 연세대 고려대 KAIST 포스텍 자연계열과 전체 의학계열(의예과 치의예과 한의예과) 선발 인원이 9374명으로 2016학년도(9161명)나 2015학년도(9193명)보다 많다.

서울대	서울대/NNP
연세대	연세대/NNP
고려대	고려대/NNP
KAIST	KAIST/SL
포스텍	포스텍/NNP
자연계열과	자연/NNG+계열/NNG+과/JC
전체	전체/NNG
의학계열(의예과	의학/NNG+계열/NNG+(/SS+의예과/NNG
치의예과	치의예과/NNG
한의예과)	한의/NNG+예과/NNG+)/SS
선발	선발/NNG
인원이	인원/NNG+이/JKS
9374명으로	9374/SN+명/NNB+으로/JKB
2016학년도(9161명)나	2016/SN+학년도/NNG+(/SS+9161/SN+명/NNB+)/SS+나/JC
2015학년도(9193명)보다	2015/SN+학년도/NNG+(/SS+9193/SN+명/NNB+)/SS+보다/JKB
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.99.3.3
