# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.161
metadata : {}


# id : NWRW1800000038.161.1.1
탈주 막는 '스마트 수갑' 일선 경찰은 외면

탈주	탈주/NNG
막는	막/VV+는/ETM
'스마트	'/SS+스마트/NNG
수갑'	수갑/NNG+'/SS
일선	일선/NNG
경찰은	경찰/NNG+은/JX
외면	외면/NNG


# id : NWRW1800000038.161.2.1
"사용내역 기록 번거롭고 기존 수갑집 안들어가 휴대 불편"

"사용내역	"/SS+사용/NNG+내역/NNG
기록	기록/NNG
번거롭고	번거롭/VA+고/EC
기존	기존/NNG
수갑집	수갑/NNG+집/NNG
안들어가	안/MAG+들어가/VV+아/EC
휴대	휴대/NNG
불편"	불편/NNG+"/SS


# id : NWRW1800000038.161.3.1
지난달 17일 오전 3시쯤 주한 미군 E(19)일병은 서울 마포구 한 호프집에서 난동을 부리다 출동한 경찰의 얼굴을 주먹으로 때렸다.

지난달	지난달/NNG
17일	17/SN+일/NNB
오전	오전/NNG
3시쯤	3/SN+시/NNB+쯤/XSN
주한	주한/NNG
미군	미군/NNG
E(19)일병은	E/SL+(/SS+19/SN+)/SS+일병/NNG+은/JX
서울	서울/NNP
마포구	마포구/NNP
한	한/MMN
호프집에서	호프집/NNG+에서/JKB
난동을	난동/NNG+을/JKO
부리다	부리/VV+다/EC
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰의	경찰/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
주먹으로	주먹/NNG+으로/JKB
때렸다.	때리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.161.3.2
E일병은 서울 마포경찰서 경찰관들에게 제압당한 뒤에도 순찰차에 타지 않으려고 격렬히 저항했다.

E일병은	E/SL+일병/NNG+은/JX
서울	서울/NNP
마포경찰서	마포경찰서/NNP
경찰관들에게	경찰관/NNG+들/XSN+에게/JKB
제압당한	제압/NNG+당하/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
순찰차에	순찰차/NNG+에/JKB
타지	타/VV+지/EC
않으려고	않/VX+으려고/EC
격렬히	격렬히/MAG
저항했다.	저항/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.161.3.3
경찰관들은 E일병에게 '지능형 수갑'이 아니라 일반 수갑을 채웠다.

경찰관들은	경찰관/NNG+들/XSN+은/JX
E일병에게	E/SL+일병/NNG+에게/JKB
'지능형	'/SS+지능/NNG+형/XSN
수갑'이	수갑/NNG+'/SS+이/JKC
아니라	아니/VCN+라/EC
일반	일반/NNG
수갑을	수갑/NNG+을/JKO
채웠다.	채우/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.161.3.4
'스마트 수갑'이라고도 불리는 지능형 수갑은 블루투스 센서를 장착해 수갑을 풀고 도주하면 경보가 울리고 도주로를 차단할 수 있도록 고안된 신형 수갑이다.

'스마트	'/SS+스마트/NNG
수갑'이라고도	수갑/NNG+'/SS+이/VCP+라고/EC+도/JX
불리는	불리/VV+는/ETM
지능형	지능/NNG+형/XSN
수갑은	수갑/NNG+은/JX
블루투스	블루투스/NNG
센서를	센서/NNG+를/JKO
장착해	장착/NNG+하/XSV+아/EC
수갑을	수갑/NNG+을/JKO
풀고	풀/VV+고/EC
도주하면	도주/NNG+하/XSV+면/EC
경보가	경보/NNG+가/JKS
울리고	울리/VV+고/EC
도주로를	도주로/NNG+를/JKO
차단할	차단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
고안된	고안/NNG+되/XSV+ㄴ/ETM
신형	신형/NNG
수갑이다.	수갑/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.161.3.5
홍익지구대가 소속된 마포경찰서는 서울시내 31개 경찰서 중 최초로 지능형 수갑을 시범 사용하고 있는 경찰서였다.

홍익지구대가	홍익지구대/NNP+가/JKS
소속된	소속/NNG+되/XSV+ㄴ/ETM
마포경찰서는	마포경찰서/NNP+는/JX
서울시내	서울/NNP+시내/NNG
31개	31/SN+개/NNB
경찰서	경찰서/NNG
중	중/NNB
최초로	최초/NNG+로/JKB
지능형	지능/NNG+형/XSN
수갑을	수갑/NNG+을/JKO
시범	시범/NNG
