# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.64
metadata : {}


# id : NWRW1800000033.64.1.1
뉴욕은 지금 / ‘美 자존심’ 메트로폴리탄뮤지엄 4년만에 재개장

뉴욕은	뉴욕/NNP+은/JX
지금	지금/MAG
/	//SP
‘美	‘/SS+美/SH
자존심’	자존심/NNG+’/SS
메트로폴리탄뮤지엄	메트로폴리탄뮤지엄/NNP
4년만에	4/SN+년/NNB+만/NNB+에/JKB
재개장	재/XPN+개장/NNG


# id : NWRW1800000033.64.2.1
16일 미국 뉴욕시 맨해튼 센트럴파크 인근에 위치한 세계적인 박물관 메트로폴리탄뮤지엄.

16일	16/SN+일/NNB
미국	미국/NNP
뉴욕시	뉴욕시/NNP
맨해튼	맨해튼/NNP
센트럴파크	센트럴파크/NNP
인근에	인근/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
박물관	박물관/NNG
메트로폴리탄뮤지엄.	메트로폴리탄뮤지엄/NNP+./SF


# id : NWRW1800000033.64.2.2
공휴일인 마틴루서킹데이를 맞아 모인 많은 미국인 관람객들에게 이날은 특별한 날이다.

공휴일인	공휴일/NNG+이/VCP+ㄴ/ETM
마틴루서킹데이를	마틴루서킹데이/NNG+를/JKO
맞아	맞/VV+아/EC
모인	모이/VV+ㄴ/ETM
많은	많/VA+은/ETM
미국인	미국인/NNG
관람객들에게	관람객/NNG+들/XSN+에게/JKB
이날은	이날/NNG+은/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
날이다.	날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.64.2.3
미국인들이 가장 아끼는 전시관 중 하나인 메트로폴리탄뮤지엄 미국관(아메리칸 윙)이 4년 만에 이날 재개장을 했기 때문이다.

미국인들이	미국인/NNG+들/XSN+이/JKS
가장	가장/MAG
아끼는	아끼/VV+는/ETM
전시관	전시관/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
메트로폴리탄뮤지엄	메트로폴리탄뮤지엄/NNP
미국관(아메리칸	미국관/NNG+(/SS+아메리칸/NNP
윙)이	윙/NNG+)/SS+이/JKS
4년	4/SN+년/NNB
만에	만/NNB+에/JKB
이날	이날/NNG
재개장을	재/XPN+개장/NNG+을/JKO
했기	하/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.64.2.4
뮤지엄은 18세기부터 현대까지의 미국의 역사를 고스란히 담았다.

뮤지엄은	뮤지엄/NNP+은/JX
18세기부터	18/SN+세기/NNG+부터/JX
현대까지의	현대/NNG+까지/JX+의/JKG
미국의	미국/NNP+의/JKG
역사를	역사/NNG+를/JKO
고스란히	고스란히/MAG
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.64.3.1
미국관 중앙홀에 들어서면 천장에 달린 금 독수리가 관람객을 압도한다.

미국관	미국관/NNG
중앙홀에	중앙/NNG+홀/NNG+에/JKB
들어서면	들어서/VV+면/EC
천장에	천장/NNG+에/JKB
달린	달리/VV+ㄴ/ETM
금	금/NNG
독수리가	독수리/NNG+가/JKS
관람객을	관람객/NNG+을/JKO
압도한다.	압도/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.64.3.2
미 신고전주의 학파 조각가인 윌리엄 러시의 1800년대 초반 작품인 금 독수리 아래 미국관이 자랑하는 3개의 회화 작품이 한자리에 모였다.

미	미/NNP
신고전주의	신/XPN+고전주의/NNG
학파	학파/NNG
조각가인	조각가/NNG+이/VCP+ㄴ/ETM
윌리엄	윌리엄/NNP
러시의	러시/NNP+의/JKG
1800년대	1800/SN+년대/NNB
초반	초반/NNG
작품인	작품/NNG+이/VCP+ㄴ/ETM
금	금/NNG
독수리	독수리/NNG
아래	아래/NNG
미국관이	미국관/NNG+이/JKS
자랑하는	자랑/NNG+하/XSV+는/ETM
3개의	3/SN+개/NNB+의/JKG
회화	회화/NNG
작품이	작품/NNG+이/JKS
한자리에	한자리/NNG+에/JKB
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.64.3.3
영국군을 기습하기 위해 얼어붙은 델라웨어 강을 건너는 미 초대 대통령 조지 워싱턴을 묘사한 ‘델라웨어 강을 건너는 워싱턴’(에마누엘 로이체·1851년 작)이 가장 눈길을 끈다.

영국군을	영국군/NNG+을/JKO
기습하기	기습/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
얼어붙은	얼어붙/VV+은/ETM
델라웨어	델라웨어/NNP
