# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.363
metadata : {}


# id : NWRW1800000046.363.1.1
김일성大 유학한 '북한通' 中 장더장(전인대 상무위원장·서열 3위) "北核 반대… 한반도 평화통일은 큰 추세"

김일성大	김일성/NNP+大/SH
유학한	유학/NNG+하/XSV+ㄴ/ETM
'북한通'	'/SS+북한/NNP+通/SH+'/SS
中	中/SH
장더장(전인대	장더장/NNP+(/SS+전인대/NNP
상무위원장·서열	상무/NNG+위원장/NNG+·/SP+서열/NNG
3위)	3/SN+위/NNB+)/SS
"北核	"/SS+北核/SH
반대…	반대/NNG+…/SE
한반도	한반도/NNP
평화통일은	평화/NNG+통일/NNG+은/JX
큰	크/VA+ㄴ/ETM
추세"	추세/NNG+"/SS


# id : NWRW1800000046.363.2.1
北보다 한국 먼저 방문… 朴대통령과 北核 등 논의 "韓, 메르스 반드시 극복할 것"

北보다	北/SH+보다/JKB
한국	한국/NNP
먼저	먼저/MAG
방문…	방문/NNG+…/SE
朴대통령과	朴/SH+대통령/NNG+과/JKB
北核	北核/SH
등	등/NNB
논의	논의/NNG
"韓,	"/SS+韓/SH+,/SP
메르스	메르스/NNG
반드시	반드시/MAG
극복할	극복/NNG+하/XSV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000046.363.3.1
박근혜 대통령은 11일 청와대에서 장더장(張德江) 중국 전국인민대표대회 상무위원장을 만나 북한 핵 문제 등을 논의했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
11일	11/SN+일/NNB
청와대에서	청와대/NNP+에서/JKB
장더장(張德江)	장더장/NNP+(/SS+張德江/SH+)/SS
중국	중국/NNP
전국인민대표대회	전국인민대표대회/NNP
상무위원장을	상무/NNG+위원장/NNG+을/JKO
만나	만나/VV+아/EC
북한	북한/NNP
핵	핵/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.4.1
박 대통령은 최근 중국 여객선 전복사고에 대해 유가족들에게 애도를 표했고, 장 위원장은 "사고 직후 시진핑 주석에게 위로 전문을 보내주신 것에 대해 감사드린다"고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
최근	최근/MAG
중국	중국/NNP
여객선	여객선/NNG
전복사고에	전복/NNG+사고/NNG+에/JKB
대해	대하/VV+아/EC
유가족들에게	유가족/NNG+들/XSN+에게/JKB
애도를	애도/NNG+를/JKO
표했고,	표/NNG+하/XSV+았/EP+고/EC+,/SP
장	장/NNP
위원장은	위원장/NNG+은/JX
"사고	"/SS+사고/NNG
직후	직후/NNG
시진핑	시진핑/NNP
주석에게	주석/NNG+에게/JKB
위로	위로/NNG
전문을	전문/NNG+을/JKO
보내주신	보내/VV+어/EC+주/VX+시/EP+ㄴ/ETM
것에	것/NNB+에/JKB
감사드린다"고	감사/NNG+드리/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.4.2
박 대통령은 "북핵 문제 해결을 위해 한·중(韓中)이 소통하며 함께 노력해 나가자"고 했고, 장 위원장은 "중국은 북한의 핵무기 개발을 반대한다"고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"북핵	"/SS+북핵/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+아/EC
한·중(韓中)이	한·중/NNP+(/SS+韓中/SH+)/SS+이/JKS
소통하며	소통/NNG+하/XSV+며/EC
함께	함께/MAG
노력해	노력/NNG+하/XSV+아/EC
나가자"고	나가/VX+자/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
장	장/NNP
위원장은	위원장/NNG+은/JX
"중국은	"/SS+중국/NNP+은/JX
북한의	북한/NNP+의/JKG
핵무기	핵무기/NNG
개발을	개발/NNG+을/JKO
반대한다"고	반대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.363.5.1
우리 국회의장에 해당하는 장 위원장은 중국 권력 서열 3위로, 김일성 종합대학 경제학부에서 유학했으며 우리말에 능통하다.

우리	우리/NP
국회의장에	국회/NNG+의장/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
장	장/NNP
위원장은	위원장/NNG+은/JX
중국	중국/NNP
권력	권력/NNG
서열	서열/NNG
3위로,	3/SN+위/NNB+로/JKB+,/SP
김일성	김일성/NNP
종합대학	종합/NNG+대학/NNG
경제학부에서	경제학부/NNG+에서/JKB
