# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.280
metadata : {}


# id : NWRW1800000026.280.1.1
고종, 1910년 6월 러 망명하려 했다

고종,	고종/NNP+,/SP
1910년	1910/SN+년/NNB
6월	6/SN+월/NNB
러	러/NNP
망명하려	망명/NNG+하/XSV+려/EC
했다	하/VX+았/EP+다/EF


# id : NWRW1800000026.280.2.1
고종이 일본의 한국 강제병합 직전인 1910년 6월 러시아 블라디보스토크에 망명, 항일투쟁 거점을 만들려고 했다는 사실이 러시아 외교문서를 통해 처음 밝혀졌다.

고종이	고종/NNP+이/JKS
일본의	일본/NNP+의/JKG
한국	한국/NNP
강제병합	강제/NNG+병합/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
1910년	1910/SN+년/NNB
6월	6/SN+월/NNB
러시아	러시아/NNP
블라디보스토크에	블라디보스토크/NNP+에/JKB
망명,	망명/NNG+,/SP
항일투쟁	항일/NNG+투쟁/NNG
거점을	거점/NNG+을/JKO
만들려고	만들/VV+려고/EC
했다는	하/VX+았/EP+다는/ETM
사실이	사실/NNG+이/JKS
외교문서를	외교/NNG+문서/NNG+를/JKO
통해	통하/VV+아/EC
처음	처음/NNG
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.280.2.2
관련기사A25면

관련기사A25면	관련/NNG+기사/NNG+A/SL+25/SN+면/NNG


# id : NWRW1800000026.280.3.1
상하이 주재 러시아 상무관 고이에르가 1910년 6월 22일자로 작성, 주일 러시아대사 말렙스키 말레비치에게 보낸 보고서는 "고종이 간도관리사 이범윤과 함경도 의병의 도움을 받을 수 있는 북쪽으로 도망쳐서 러시아 국경을 넘어 블라디보스토크에 머물고자 한다고 전해왔다"고 적었다.

상하이	상하이/NNP
주재	주재/NNG
러시아	러시아/NNP
상무관	상무관/NNG
고이에르가	고이에르/NNP+가/JKS
1910년	1910/SN+년/NNB
6월	6/SN+월/NNB
22일자로	22/SN+일/NNB+자/NNG+로/JKB
작성,	작성/NNG+,/SP
주일	주일/NNG
러시아대사	러시아/NNP+대사/NNG
말렙스키	말렙스키/NNP
말레비치에게	말레비치/NNP+에게/JKB
보낸	보내/VV+ㄴ/ETM
보고서는	보고서/NNG+는/JX
"고종이	"/SS+고종/NNP+이/JKS
간도관리사	간도/NNP+관리사/NNG
이범윤과	이범윤/NNP+과/JC
함경도	함경도/NNP
의병의	의병/NNG+의/JKG
도움을	도움/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
북쪽으로	북쪽/NNG+으로/JKB
도망쳐서	도망치/VV+어서/EC
국경을	국경/NNG+을/JKO
넘어	넘/VV+어/EC
블라디보스토크에	블라디보스토크/NNP+에/JKB
머물고자	머물/VV+고자/EC
한다고	하/VX+ㄴ다고/EC
전해왔다"고	전하/VV+아/EC+오/VX+았/EP+다/EF+"/SS+고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.280.3.2
고이에르는 그해 6월 중순 자신을 찾아온 한국군 대위 현상건(玄尙健)과 애국계몽단체 서북학회(西北學會) 간부 이갑(李甲)으로부터 고종의 친서(親書)를 러시아 황제에게 전달해달라고 부탁받는 자리에서 고종의 망명 계획을 들었다고 했다.

고이에르는	고이에르/NNP+는/JX
그해	그해/NNG
6월	6/SN+월/NNB
중순	중순/NNG
자신을	자신/NNG+을/JKO
찾아온	찾아오/VV+ㄴ/ETM
한국군	한국군/NNG
대위	대위/NNG
현상건(玄尙健)과	현상건/NNP+(/SS+玄尙健/SH+)/SS+과/JC
애국계몽단체	애국/NNG+계몽/NNG+단체/NNG
서북학회(西北學會)	서북/NNG+학회/NNG+(/SS+西北學會/SH+)/SS
간부	간부/NNG
이갑(李甲)으로부터	이갑/NNP+(/SS+李甲/SH+)/SS+으로부터/JKB
고종의	고종/NNP+의/JKG
친서(親書)를	친서/NNG+(/SS+親書/SH+)/SS+를/JKO
러시아	러시아/NNP
황제에게	황제/NNG+에게/JKB
전달해달라고	전달/NNG+하/XSV+아/EC+달/VX+라고/EC
부탁받는	부탁/NNG+받/XSV+는/ETM
자리에서	자리/NNG+에서/JKB
망명	망명/NNG
계획을	계획/NNG+을/JKO
들었다고	듣/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.280.3.3
고종은 이에 앞서 1909년 2월 노청(露淸)은행 블라디보스토크 지점에 예치한 자신의 비자금을 일본측이 인출하는 것을 막아달라고 주한러시아총영사 소모프를 통해 요청했다.

고종은	고종/NNP+은/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
1909년	1909/SN+년/NNB
2월	2/SN+월/NNB
노청(露淸)은행	노청/NNP+(/SS+露淸/SH+)/SS+은행/NNG
블라디보스토크	블라디보스토크/NNP
지점에	지점/NNG+에/JKB
예치한	예치/NNG+하/XSV+ㄴ/ETM
자신의	자신/NNG+의/JKG
비자금을	비자금/NNG+을/JKO
일본측이	일본/NNP+측/NNB+이/JKS
인출하는	인출/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
