# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.485
metadata : {}


# id : NWRW1800000024.485.1.1
농구계의 산타클로스

농구계의	농구/NNG+계/XSN+의/JKG
산타클로스	산타클로스/NNP


# id : NWRW1800000024.485.2.1
최근 프로농구 서울 에스케이(SK) 새 사령탑에 오른 신선우(54) 감독은 2년 가까운 ‘야인’ 시절 종종 두툼한 서류 봉투를 들고 다녔다.

최근	최근/MAG
프로농구	프로/NNG+농구/NNG
서울	서울/NNP
에스케이(SK)	에스케이/NNP+(/SS+SK/SL+)/SS
새	새/MMA
사령탑에	사령탑/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
신선우(54)	신선우/NNP+(/SS+54/SN+)/SS
감독은	감독/NNG+은/JX
2년	2/SN+년/NNB
가까운	가깝/VA+ㄴ/ETM
‘야인’	‘/SS+야인/NNG+’/SS
시절	시절/NNG
종종	종종/MAG
두툼한	두툼하/VA+ㄴ/ETM
서류	서류/NNG
봉투를	봉투/NNG+를/JKO
들고	들/VV+고/EC
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.485.2.2
그 봉투 안에는 각종 유소년 농구와 관련된 자료가 담겨 있었다.

그	그/MMD
봉투	봉투/NNG
안에는	안/NNG+에/JKB+는/JX
각종	각종/NNG
유소년	유소년/NNG
농구와	농구/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
자료가	자료/NNG+가/JKS
담겨	담기/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.485.2.3
그는 “청소년들이 농구를 쉽게 접할 수 있도록 전국 각 지역에 청소년 농구클럽을 만드는 게 꿈”이라고 했다.

그는	그/NP+는/JX
“청소년들이	“/SS+청소년/NNG+들/XSN+이/JKS
농구를	농구/NNG+를/JKO
쉽게	쉽/VA+게/EC
접할	접하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
전국	전국/NNG
각	각/MMD
지역에	지역/NNG+에/JKB
청소년	청소년/NNG
농구클럽을	농구/NNG+클럽/NNG+을/JKO
만드는	만들/VV+는/ETM
게	거/NNB+이/JKS
꿈”이라고	꿈/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.485.2.4
해마다 크리스마스 때 사회복지단체에 거액을 기부하고 있는 그는, 그 가운데서도 보육원 어린이 농구클럽 ‘드림팀’에 애정이 많다.

해마다	해마다/MAG
크리스마스	크리스마스/NNG
때	때/NNG
사회복지단체에	사회/NNG+복지/NNG+단체/NNG+에/JKB
거액을	거액/NNG+을/JKO
기부하고	기부/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
그는,	그/NP+는/JX+,/SP
그	그/MMD
가운데서도	가운데/NNG+서/JKB+도/JX
보육원	보육원/NNG
어린이	어린이/NNG
농구클럽	농구/NNG+클럽/NNG
‘드림팀’에	‘/SS+드림팀/NNG+’/SS+에/JKB
애정이	애정/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000024.485.2.5
그는 “보육원 아이들이 중학교 농구부에 한두 명씩 들어간다는 얘기를 들을 때 가장 기쁘다”고 했다.

그는	그/NP+는/JX
“보육원	“/SS+보육원/NNG
아이들이	아이/NNG+들/XSN+이/JKS
중학교	중학교/NNG
농구부에	농구부/NNG+에/JKB
한두	한두/MMN
명씩	명/NNB+씩/XSN
들어간다는	들어가/VV+ㄴ다는/ETM
얘기를	얘기/NNG+를/JKO
들을	듣/VV+을/ETM
때	때/NNG
가장	가장/MAG
기쁘다”고	기쁘/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.485.3.1
천수길(50) 대한농구협회 특별사업본부장은 장애 청소년, 보육원 어린이, 다문화가정 어린이 등 소외된 어린이와 청소년을 위한 농구팀을 무려 6개나 만들었다.

천수길(50)	천수길/NNP+(/SS+50/SN+)/SS
대한농구협회	대한농구협회/NNP
특별사업본부장은	특별/NNG+사업/NNG+본부장/NNG+은/JX
장애	장애/NNG
청소년,	청소년/NNG+,/SP
보육원	보육원/NNG
어린이,	어린이/NNG+,/SP
다문화가정	다문화/NNG+가정/NNG
어린이	어린이/NNG
등	등/NNB
소외된	소외/NNG+되/XSV+ㄴ/ETM
어린이와	어린이/NNG+와/JC
청소년을	청소년/NNG+을/JKO
