# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.179
metadata : {}


# id : NWRW1800000022.179.1.1
[부산ㆍ경남] 부산에서 '자율형 사립고' 몇개 나올까

[부산ㆍ경남]	[/SS+부산/NNP+ㆍ/SP+경남/NNP+]/SS
부산에서	부산/NNP+에서/JKB
'자율형	'/SS+자율/NNG+형/XSN
사립고'	사립고/NNG+'/SS
몇개	몇/NR+개/NNB
나올까	나오/VV+ㄹ까/EF


# id : NWRW1800000022.179.2.1
정부가 자율형 사립고에 관한 초·중등 교육법 시행령을 최근 확정한 가운데 부산지역에서도 모집에 나서는 등 자율형 사립고 전환 준비가 본격화되고 있다.

정부가	정부/NNG+가/JKS
자율형	자율/NNG+형/XSN
사립고에	사립고/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
초·중등	초·중등/NNG
교육법	교육법/NNG
시행령을	시행령/NNG+을/JKO
최근	최근/MAG
확정한	확정/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
부산지역에서도	부산지역/NNP+에서/JKB+도/JX
모집에	모집/NNG+에/JKB
나서는	나서/VV+는/ETM
등	등/NNB
사립고	사립고/NNG
전환	전환/NNG
준비가	준비/NNG+가/JKS
본격화되고	본격/NNG+화/XSN+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.179.3.1
부산시교육청은 내달 4일까지 부산지역 사립고를 대상으로 '자율형 사립고' 지정을 위한 신청을 받는다고 19일 밝혔다.

부산시교육청은	부산시교육청/NNP+은/JX
내달	내달/NNG
4일까지	4/SN+일/NNB+까지/JX
부산지역	부산지역/NNP
사립고를	사립고/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
'자율형	'/SS+자율/NNG+형/XSN
사립고'	사립고/NNG+'/SS
지정을	지정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
신청을	신청/NNG+을/JKO
받는다고	받/VV+는다고/EC
19일	19/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.179.4.1
자율형 사립고로 지정되면 교과운영을 50% 정도 자율적으로 할 수 있어 학생들에게 교육 활동을 시킬 수 있는 폭이 넓어지고, 학생 모집단위를 부산 전역으로 확대할 수 있다.

자율형	자율/NNG+형/XSN
사립고로	사립고/NNG+로/JKB
지정되면	지정/NNG+되/XSV+면/EC
교과운영을	교과/NNG+운영/NNG+을/JKO
50%	50/SN+%/SW
정도	정도/NNG
자율적으로	자율/NNG+적/XSN+으로/JKB
할	하/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
학생들에게	학생/NNG+들/XSN+에게/JKB
교육	교육/NNG
활동을	활동/NNG+을/JKO
시킬	시키/VV+ㄹ/ETM
있는	있/VA+는/ETM
폭이	폭/NNG+이/JKS
넓어지고,	넓어지/VV+고/EC+,/SP
학생	학생/NNG
모집단위를	모집/NNG+단위/NNG+를/JKO
부산	부산/NNP
전역으로	전역/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.179.4.2
다만 학생 수업료 및 입학금 총액의 5% 이상을 법인전입금으로 부담하고, 인건비와 학교운영비 등 재정결함지원금을 받지 않아야 한다.

다만	다만/MAG
학생	학생/NNG
수업료	수업료/NNG
및	및/MAG
입학금	입학금/NNG
총액의	총액/NNG+의/JKG
5%	5/SN+%/SW
이상을	이상/NNG+을/JKO
법인전입금으로	법인/NNG+전입금/NNG+으로/JKB
부담하고,	부담/NNG+하/XSV+고/EC+,/SP
인건비와	인건비/NNG+와/JC
학교운영비	학교/NNG+운영비/NNG
등	등/NNB
재정결함지원금을	재정/NNG+결함/NNG+지원금/NNG+을/JKO
받지	받/VV+지/EC
않아야	않/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.179.4.3
30학급을 기준으로 할 때 자율형 사립고의 재단전입금 규모는 2~3억원가량 된다.

30학급을	30/SN+학급/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
할	하/VV+ㄹ/ETM
때	때/NNG
자율형	자율/NNG+형/XSN
사립고의	사립고/NNG+의/JKG
재단전입금	재단/NNG+전입금/NNG
규모는	규모/NNG+는/JX
2~3억원가량	2/SN+~/SO+3/SN+억/NR+원/NNB+가량/XSN
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.179.5.1
시교육청은 신청한 학교들을 대상으로 심사를 거쳐 7월 초 학교를 최종 지정하고, 일반계 고교보다 앞선 11월에 학생을 선발할 예정이다.

시교육청은	시/NNG+교육청/NNG+은/JX
신청한	신청/NNG+하/XSV+ㄴ/ETM
학교들을	학교/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
7월	7/SN+월/NNB
초	초/NNB
학교를	학교/NNG+를/JKO
최종	최종/NNG
지정하고,	지정/NNG+하/XSV+고/EC+,/SP
일반계	일반/NNG+계/XSN
고교보다	고교/NNG+보다/JKB
앞선	앞서/VV+ㄴ/ETM
11월에	11/SN+월/NNB+에/JKB
학생을	학생/NNG+을/JKO
선발할	선발/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.179.5.2
학생 선발은 과도한 입시 경쟁을 막기 위해 필기고사 또는 교과 지식을 구술하는 방식의 면접을 금지하고, 추첨 방식으로 진행될 예정이다.

학생	학생/NNG
선발은	선발/NNG+은/JX
과도한	과도/NNG+하/XSA+ㄴ/ETM
입시	입시/NNG
경쟁을	경쟁/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
필기고사	필기/NNG+고사/NNG
또는	또는/MAG
교과	교과/NNG
지식을	지식/NNG+을/JKO
구술하는	구술/NNG+하/XSV+는/ETM
방식의	방식/NNG+의/JKG
면접을	면접/NNG+을/JKO
금지하고,	금지/NNG+하/XSV+고/EC+,/SP
추첨	추첨/NNG
방식으로	방식/NNG+으로/JKB
진행될	진행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.179.6.1
자율형 사립고 지정이 학교와 지역의 교육 수준을 높일 수 있는 가능성이 있다고 보고 서부산권에서는 유치에 많은 관심을 갖고 있으며, 부산지역 각 구에서도 한 개씩 자율형 사립고를 유치하겠다는 의향을 나타내고 있다.

자율형	자율/NNG+형/XSN
사립고	사립고/NNG
지정이	지정/NNG+이/JKS
학교와	학교/NNG+와/JC
지역의	지역/NNG+의/JKG
교육	교육/NNG
수준을	수준/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
보고	보/VV+고/EC
서부산권에서는	서부산/NNP+권/XSN+에서/JKB+는/JX
유치에	유치/NNG+에/JKB
많은	많/VA+은/ETM
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
부산지역	부산지역/NNP
각	각/MMD
구에서도	구/NNG+에서/JKB+도/JX
한	한/MMN
개씩	개/NNB+씩/XSN
사립고를	사립고/NNG+를/JKO
유치하겠다는	유치/NNG+하/XSV+겠/EP+다는/ETM
의향을	의향/NNG+을/JKO
나타내고	나타내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.179.7.1
