# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.380
metadata : {}


# id : NWRW1800000052.380.1.1
고위 공직자 병역면제 비율 ‘일반인의 33배’

고위	고위/NNG
공직자	공직자/NNG
병역면제	병역/NNG+면제/NNG
비율	비율/NNG
‘일반인의	‘/SS+일반인/NNG+의/JKG
33배’	33/SN+배/NNG+’/SS


# id : NWRW1800000052.380.2.1
김중로 의원, 병무청 자료 공개

김중로	김중로/NNP
의원,	의원/NNG+,/SP
병무청	병무청/NNG
자료	자료/NNG
공개	공개/NNG


# id : NWRW1800000052.380.3.1
상반기 징병검사 대상자 면제 비율 0.3%

상반기	상반기/NNG
징병검사	징병/NNG+검사/NNG
대상자	대상자/NNG
면제	면제/NNG
비율	비율/NNG
0.3%	0/SN+./SP+3/SN+%/SW


# id : NWRW1800000052.380.4.1
4급 이상 공직자 10%, 아들 4.4% 군대 안가

4급	4/SN+급/NNG
이상	이상/NNG
공직자	공직자/NNG
10%,	10/SN+%/SW+,/SP
아들	아들/NNG
4.4%	4/SN+./SP+4/SN+%/SW
군대	군대/NNG
안가	안/MAG+가/VV+아/EF


# id : NWRW1800000052.380.5.1
고위공직자 10명 가운데 1명은 병역을 면제받은 것으로 나타났다.

고위공직자	고위/NNG+공직자/NNG
10명	10/SN+명/NNB
가운데	가운데/NNG
1명은	1/SN+명/NNB+은/JX
병역을	병역/NNG+을/JKO
면제받은	면제/NNG+받/XSV+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.380.5.2
일반인들의 경우 100명 중 채 1명도 병역 면제 판정을 받지 못 하는 사실과 견줘보면 고위공직자들의 병역 면제 비율이 지나치게 높다는 비판이 나온다.

일반인들의	일반인/NNG+들/XSN+의/JKG
경우	경우/NNG
100명	100/SN+명/NNB
중	중/NNB
채	채/MAG
1명도	1/SN+명/NNB+도/JX
병역	병역/NNG
면제	면제/NNG
판정을	판정/NNG+을/JKO
받지	받/VV+지/EC
못	못/MAG
하는	하/VV+는/ETM
사실과	사실/NNG+과/JKB
견줘보면	견주/VV+어/EC+보/VX+면/EC
고위공직자들의	고위/NNG+공직자/NNG+들/XSN+의/JKG
비율이	비율/NNG+이/JKS
지나치게	지나치/VA+게/EC
높다는	높/VA+다는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.380.6.1
김중로 국민의당 의원이 병무청으로 제출받아 11일 공개한 자료를 보면, 병역의무가 있는 4급 이상 고위공직자 2만5388명 가운데 병역 면제자는 2520명(9.9%)인 것으로 집계됐다.

김중로	김중로/NNP
국민의당	국민의당/NNP
의원이	의원/NNG+이/JKS
병무청으로	병무청/NNG+으로/JKB
제출받아	제출/NNG+받/XSV+아/EC
11일	11/SN+일/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
병역의무가	병역/NNG+의무/NNG+가/JKS
있는	있/VA+는/ETM
4급	4/SN+급/NNG
이상	이상/NNG
고위공직자	고위/NNG+공직자/NNG
2만5388명	2/SN+만/NR+5388/SN+명/NNB
가운데	가운데/NNG
병역	병역/NNG
면제자는	면제자/NNG+는/JX
2520명(9.9%)인	2520/SN+명/NNB+(/SS+9/SN+./SP+9/SN+%/SW+)/SS+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.380.6.2
병역 의무가 있는 고위공직자의 직계비속 1만7689명 중에서도 병역 면제를 받은 이들은 785명(4.4%)에 달했다.

병역	병역/NNG
의무가	의무/NNG+가/JKS
있는	있/VA+는/ETM
고위공직자의	고위/NNG+공직자/NNG+의/JKG
직계비속	직계/NNG+비속/NNG
1만7689명	1/SN+만/NR+7689/SN+명/NNB
중에서도	중/NNB+에서/JKB+도/JX
면제를	면제/NNG+를/JKO
받은	받/VV+은/ETM
이들은	이/NNB+들/XSN+은/JX
785명(4.4%)에	785/SN+명/NNB+(/SS+4/SN+./SP+4/SN+%/SW+)/SS+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.380.7.1
올해 상반기 전체 징병검사 대상자 가운데 병역면제 판정을 받은 이들의 비율이 0.3%에 그친 것과 비교하면 고위공직자와 이들 자녀의 면제 비율은 일반인들보다 각각 33배, 15배가량 높았던 셈이다.

올해	올해/NNG
상반기	상반기/NNG
전체	전체/NNG
징병검사	징병/NNG+검사/NNG
대상자	대상자/NNG
가운데	가운데/NNG
병역면제	병역/NNG+면제/NNG
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
이들의	이/NNB+들/XSN+의/JKG
비율이	비율/NNG+이/JKS
0.3%에	0/SN+./SP+3/SN+%/SW+에/JKB
그친	그치/VV+ㄴ/ETM
것과	것/NNB+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
고위공직자와	고위/NNG+공직자/NNG+와/JC
이들	이/NP+들/XSN
자녀의	자녀/NNG+의/JKG
면제	면제/NNG
비율은	비율/NNG+은/JX
일반인들보다	일반인/NNG+들/XSN+보다/JKB
각각	각각/MAG
33배,	33/SN+배/NNG+,/SP
15배가량	15/SN+배/NNG+가량/XSN
높았던	높/VA+았/EP+던/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.380.7.2
병역면제를 받은 고위공직자와 자녀들의 면제 사유는 고도근시나 수핵탈출증(디스크) 등 질병이 가장 많았다.

병역면제를	병역/NNG+면제/NNG+를/JKO
받은	받/VV+은/ETM
고위공직자와	고위/NNG+공직자/NNG+와/JC
자녀들의	자녀/NNG+들/XSN+의/JKG
면제	면제/NNG
사유는	사유/NNG+는/JX
고도근시나	고도근시/NNG+나/JC
수핵탈출증(디스크)	수핵/NNG+탈출증/NNG+(/SS+디스크/NNG+)/SS
등	등/NNB
질병이	질병/NNG+이/JKS
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000052.380.8.1
현역으로 군에 입대하는 대신 보충역으로 병역을 마친 고위공직자들도 10명 가운데 2명꼴(22.5%·5722명)로 나타났다.

현역으로	현역/NNG+으로/JKB
군에	군/NNG+에/JKB
입대하는	입대/NNG+하/XSV+는/ETM
대신	대신/NNG
보충역으로	보충역/NNG+으로/JKB
병역을	병역/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
고위공직자들도	고위/NNG+공직자/NNG+들/XSN+도/JX
10명	10/SN+명/NNB
가운데	가운데/NNG
2명꼴(22.5%·5722명)로	2/SN+명/NNB+꼴/XSN+(/SS+22/SN+./SP+5/SN+%/SW+·/SP+5722/SN+명/NNB+)/SS+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.380.8.2
상반기 징병검사에서 보충역 판정을 받은 이들의 비중이 전체의 10.2%인 점을 감안하면 두배가량 높은 수치다.

상반기	상반기/NNG
징병검사에서	징병/NNG+검사/NNG+에서/JKB
보충역	보충역/NNG
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
이들의	이/NNB+들/XSN+의/JKG
비중이	비중/NNG+이/JKS
전체의	전체/NNG+의/JKG
10.2%인	10/SN+./SP+2/SN+%/SW+이/VCP+ㄴ/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
두배가량	두/MMN+배/NNG+가량/XSN
높은	높/VA+은/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.380.9.1
김중로 의원은 “모범을 보여야 할 고위공직자와 그 자녀들이 병역 회피 의혹을 살만한 질병으로 면제 판정을 받는 것은 병역 의무를 충실히 이행하는 청년들에게 박탈감을 줄 수 있다”고 지적했다.

김중로	김중로/NNP
의원은	의원/NNG+은/JX
“모범을	“/SS+모범/NNG+을/JKO
보여야	보이/VV+어야/EC
할	하/VX+ㄹ/ETM
고위공직자와	고위/NNG+공직자/NNG+와/JC
그	그/MMD
자녀들이	자녀/NNG+들/XSN+이/JKS
병역	병역/NNG
회피	회피/NNG
의혹을	의혹/NNG+을/JKO
살만한	살/VV+ㄹ/ETM+만/NNB+하/XSA+ㄴ/ETM
질병으로	질병/NNG+으로/JKB
면제	면제/NNG
판정을	판정/NNG+을/JKO
받는	받/VV+는/ETM
것은	것/NNB+은/JX
의무를	의무/NNG+를/JKO
충실히	충실히/MAG
이행하는	이행/NNG+하/XSV+는/ETM
청년들에게	청년/NNG+들/XSN+에게/JKB
박탈감을	박탈감/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


