# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.341
metadata : {}


# id : NWRW1800000053.341.1.1
北, 한미훈련에 민감반응… 줄곧 중단 요구

北,	北/SH+,/SP
한미훈련에	한미/NNP+훈련/NNG+에/JKB
민감반응…	민감/NNG+반응/NNG+…/SE
줄곧	줄곧/MAG
중단	중단/NNG
요구	요구/NNG


# id : NWRW1800000053.341.2.1
제네바합의땐 ‘팀스피릿 훈련’ 중단

제네바합의땐	제네바/NNP+합의/NNG+때/NNG+ㄴ/JX
‘팀스피릿	‘/SS+팀/NNG+스피릿/NNG
훈련’	훈련/NNG+’/SS
중단	중단/NNG


# id : NWRW1800000053.341.3.1
한미 양국은 매년 3∼4월 미군 2만 명, 한국군 30만 명 안팎이 참가하는 야외 기동훈련인 독수리 훈련(FE)과 컴퓨터 시뮬레이션 훈련인 키리졸브 연습(KR)을 실시하고 있다.

한미	한미/NNP
양국은	양국/NNG+은/JX
매년	매년/MAG
3∼4월	3/SN+∼/SO+4/SN+월/NNB
미군	미군/NNG
2만	2/SN+만/NR
명,	명/NNB+,/SP
한국군	한국군/NNG
30만	30/SN+만/NR
명	명/NNB
안팎이	안팎/NNG+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
야외	야외/NNG
기동훈련인	기동/NNG+훈련/NNG+이/VCP+ㄴ/ETM
독수리	독수리/NNG
훈련(FE)과	훈련/NNG+(/SS+FE/SL+)/SS+과/JC
컴퓨터	컴퓨터/NNG
시뮬레이션	시뮬레이션/NNG
훈련인	훈련/NNG+이/VCP+ㄴ/ETM
키리졸브	키리졸브/NNG
연습(KR)을	연습/NNG+(/SS+KR/SL+)/SS+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.341.3.2
이 밖에도 을지프리덤가디언(UFG), 공군 ‘맥스선더’ 등 다양한 훈련을 연중 진행한다.

이	이/MMD
밖에도	밖/NNG+에/JKB+도/JX
을지프리덤가디언(UFG),	을지/NNP+프리덤가디언/NNG+(/SS+UFG/SL+)/SS+,/SP
공군	공군/NNG
‘맥스선더’	‘/SS+맥스선더/NNP+’/SS
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
훈련을	훈련/NNG+을/JKO
연중	연중/NNG
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.341.4.1
북한이 가장 민감하게 여기는 훈련은 FE와 KR다.

북한이	북한/NNP+이/JKS
가장	가장/MAG
민감하게	민감/NNG+하/XSA+게/EC
여기는	여기/VV+는/ETM
훈련은	훈련/NNG+은/JX
FE와	FE/SL+와/JC
KR다.	KR/SL+이/VCP+다/EF+./SF


# id : NWRW1800000053.341.4.2
올해 두 훈련이 진행되는 기간에 미군은 핵항공모함 칼빈슨함 등 최첨단 전략자산과 미군 최정예 특수부대를 투입했다.

올해	올해/NNG
두	두/MMN
훈련이	훈련/NNG+이/JKS
진행되는	진행/NNG+되/XSV+는/ETM
기간에	기간/NNG+에/JKB
미군은	미군/NNG+은/JX
