# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.259
metadata : {}


# id : NWRW1800000022.259.1.1
['워킹푸어' 300만명 시대](6ㆍ끝)전문가 좌담; "중산층·빈곤층 사이 외줄타기… '안전망'이 없다"

['워킹푸어'	[/SS+'/SS+워킹푸어/NNG+'/SS
300만명	300/SN+만/NR+명/NNB
시대](6ㆍ끝)전문가	시대/NNG+]/SS+(/SS+6/SN+ㆍ/SP+끝/NNG+)/SS+전문가/NNG
좌담;	좌담/NNG+;/SP
"중산층·빈곤층	"/SS+중산/NNG+층/XSN+·/SP+빈곤/NNG+층/XSN
사이	사이/NNG
외줄타기…	외줄/NNG+타/VV+기/ETN+…/SE
'안전망'이	'/SS+안전망/NNG+'/SS+이/JKS
없다"	없/VA+다/EF+"/SS


# id : NWRW1800000022.259.2.1
밤낮없이 부지런히 일해도 소득이 최저생계비(4인 가족 기준 월 132만6609원)에 못 미치는 '워킹푸어(Working Poor·근로빈곤층)'가 300만명을 헤아린다.

밤낮없이	밤낮없이/MAG
부지런히	부지런히/MAG
일해도	일/NNG+하/XSV+아도/EC
소득이	소득/NNG+이/JKS
최저생계비(4인	최저/NNG+생계비/NNG+(/SS+4/SN+인/NNG
가족	가족/NNG
기준	기준/NNG
월	월/NNG
132만6609원)에	132/SN+만/NR+6609/SN+원/NNB+)/SS+에/JKB
못	못/MAG
미치는	미치/VV+는/ETM
'워킹푸어(Working	'/SS+워킹푸어/NNG+(/SS+Working/SL
Poor·근로빈곤층)'가	Poor/SL+·/SP+근로/NNG+빈곤/NNG+층/XSN+)/SS+'/SS+가/JKS
300만명을	300/SN+만/NR+명/NNB+을/JKO
헤아린다.	헤아리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.259.2.2
이들은 알뜰살뜰 아껴도 식비, 방값, 자녀들 학비를 내고 나면 통장 잔고가 '0원'이 된다.

이들은	이/NP+들/XSN+은/JX
알뜰살뜰	알뜰살뜰/MAG
아껴도	아끼/VV+어도/EC
식비,	식비/NNG+,/SP
방값,	방/NNG+값/NNG+,/SP
자녀들	자녀/NNG+들/XSN
학비를	학비/NNG+를/JKO
내고	내/VV+고/EC
나면	나/VX+면/EC
통장	통장/NNG
잔고가	잔고/NNG+가/JKS
'0원'이	'/SS+0/SN+원/NNB+'/SS+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.259.2.3
'억척스레 일하면 잘살 수 있다'는 믿음, '없는 집 자식도 본인만 똑똑하면 명문대에 간다'는 희망이 이들에겐 '남의 얘기'다.

'억척스레	'/SS+억척스레/MAG
일하면	일/NNG+하/XSV+면/EC
잘살	잘살/VV+ㄹ/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/ETM
믿음,	믿음/NNG+,/SP
'없는	'/SS+없/VA+는/ETM
집	집/NNG
자식도	자식/NNG+도/JX
본인만	본인/NNG+만/JX
똑똑하면	똑똑하/VA+면/EC
명문대에	명문대/NNG+에/JKB
간다'는	가/VV+ㄴ다/EF+'/SS+는/ETM
희망이	희망/NNG+이/JKS
이들에겐	이/NP+들/XSN+에게/JKB+ㄴ/JX
'남의	'/SS+남/NNG+의/JKG
얘기'다.	얘기/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.259.3.1
당장은 간신히 중산층 살림을 유지하고 있지만, 가족 중 한 사람이 실직하거나 몸이 아프면 언제든 워킹푸어로 떨어질 수 있는 '워킹푸어 예비군'도 불어나고 있다.

당장은	당장/NNG+은/JX
간신히	간신히/MAG
중산층	중산/NNG+층/XSN
살림을	살림/NNG+을/JKO
