# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.32
metadata : {}


# id : NWRW1800000038.32.1.1
곤충이 식량의 미래다

곤충이	곤충/NNG+이/JKS
식량의	식량/NNG+의/JKG
미래다	미래/NNG+이/VCP+다/EF


# id : NWRW1800000038.32.2.1
UN "번식 빠르고 영양 풍부… 기아·환경 문제 해결할 대안"

UN	UN/SL
"번식	"/SS+번식/NNG
빠르고	빠르/VA+고/EC
영양	영양/NNG
풍부…	풍부/XR+…/SE
기아·환경	기아/NNG+·/SP+환경/NNG
문제	문제/NNG
해결할	해결/NNG+하/XSV+ㄹ/ETM
대안"	대안/NNG+"/SS


# id : NWRW1800000038.32.3.1
유엔이 세계적인 기아 문제에 대처하기 위한 새로운 식량원으로 곤충을 추천했다.

유엔이	유엔/NNP+이/JKS
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
기아	기아/NNG
문제에	문제/NNG+에/JKB
대처하기	대처/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
식량원으로	식량원/NNG+으로/JKB
곤충을	곤충/NNG+을/JKO
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.32.4.1
유엔식량농업기구(FAO)는 13일 발표한 보고서에서 "곤충은 단백질·지방·미네랄 함량이 높은 훌륭한 식량"이라면서 "곤충 섭취는 특히 영양부족에 시달리는 어린이들에게 도움이 된다"고 밝혔다.

유엔식량농업기구(FAO)는	유엔식량농업기구/NNP+(/SS+FAO/SL+)/SS+는/JX
13일	13/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
보고서에서	보고서/NNG+에서/JKB
"곤충은	"/SS+곤충/NNG+은/JX
단백질·지방·미네랄	단백질/NNG+·/SP+지방/NNG+·/SP+미네랄/NNG
함량이	함량/NNG+이/JKS
높은	높/VA+은/ETM
훌륭한	훌륭하/VA+ㄴ/ETM
식량"이라면서	식량/NNG+"/SS+이/VCP+라면서/EC
"곤충	"/SS+곤충/NNG
섭취는	섭취/NNG+는/JX
특히	특히/MAG
영양부족에	영양/NNG+부족/NNG+에/JKB
시달리는	시달리/VV+는/ETM
어린이들에게	어린이/NNG+들/XSN+에게/JKB
도움이	도움/NNG+이/JKC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.32.5.1
미국 몬태나주립대 자료에 따르면 메뚜기 100g에는 단백질 20.6g, 칼슘 35.2㎎, 철분 5㎎이 함유돼 있다.

미국	미국/NNP
몬태나주립대	몬태나주립대/NNP
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
메뚜기	메뚜기/NNG
100g에는	100/SN+g/SW+에/JKB+는/JX
단백질	단백질/NNG
20.6g,	20/SN+./SP+6/SN+g/SW+,/SP
칼슘	칼슘/NNG
35.2㎎,	35/SN+./SP+2/SN+㎎/SW+,/SP
철분	철분/NNG
5㎎이	5/SN+㎎/SW+이/JKS
함유돼	함유/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.32.5.2
이는 같은 양의 소고기에 단백질 27.4g, 철분 3.5㎎이 함유된 것과 비교할 때 높거나 비슷한 수치라고 BBC가 보도했다.

이는	이/NP+는/JX
같은	같/VA+은/ETM
양의	양/NNG+의/JKG
소고기에	소고기/NNG+에/JKB
단백질	단백질/NNG
27.4g,	27/SN+./SP+4/SN+g/SW+,/SP
철분	철분/NNG
3.5㎎이	3/SN+./SP+5/SN+㎎/SW+이/JKS
함유된	함유/NNG+되/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
때	때/NNG
높거나	높/VA+거나/EC
비슷한	비슷하/VA+ㄴ/ETM
수치라고	수치/NNG+이/VCP+라고/EC
BBC가	BBC/SL+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.32.5.3
애벌레 100g의 경우 단백질 28.2g, 철분 35.5㎎이 들어 있다.

애벌레	애벌레/NNG
100g의	100/SN+g/SW+의/JKG
경우	경우/NNG
단백질	단백질/NNG
28.2g,	28/SN+./SP+2/SN+g/SW+,/SP
철분	철분/NNG
35.5㎎이	35/SN+./SP+5/SN+㎎/SW+이/JKS
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.32.5.4
보고서는 애벌레·딱정벌레·메뚜기 등 식용 곤충을 기르는 것이 식량문제를 해결하는 방법이 될 수 있다고 전했다.

보고서는	보고서/NNG+는/JX
애벌레·딱정벌레·메뚜기	애벌레/NNG+·/SP+딱정벌레/NNG+·/SP+메뚜기/NNG
등	등/NNB
식용	식용/NNG
곤충을	곤충/NNG+을/JKO
기르는	기르/VV+는/ETM
것이	것/NNB+이/JKS
식량문제를	식량/NNG+문제/NNG+를/JKO
해결하는	해결/NNG+하/XSV+는/ETM
방법이	방법/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.32.6.1
곤충 섭취는 환경에도 도움이 된다.

곤충	곤충/NNG
섭취는	섭취/NNG+는/JX
환경에도	환경/NNG+에/JKB+도/JX
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.32.6.2
보고서에 따르면 식용 곤충 양식은 소·돼지 등 가축 사육보다 이산화탄소 및 암모니아 가스 배출량이 훨씬 적어 지구온난화를 막는 데 유리하다.

보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
식용	식용/NNG
곤충	곤충/NNG
양식은	양식/NNG+은/JX
소·돼지	소/NNG+·/SP+돼지/NNG
등	등/NNB
가축	가축/NNG
사육보다	사육/NNG+보다/JKB
이산화탄소	이산화/NNG+탄소/NNG
및	및/MAG
암모니아	암모니아/NNG
가스	가스/NNG
배출량이	배출량/NNG+이/JKS
훨씬	훨씬/MAG
적어	적/VA+어/EC
지구온난화를	지구/NNG+온난/NNG+화/XSN+를/JKO
막는	막/VV+는/ETM
데	데/NNB
유리하다.	유리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.32.7.1
곤충은 어떤 환경에서든 서식이 가능하고 번식도 빠르다.

곤충은	곤충/NNG+은/JX
어떤	어떤/MMD
환경에서든	환경/NNG+에서/JKB+든/JX
서식이	서식/NNG+이/JKS
가능하고	가능/NNG+하/XSA+고/EC
번식도	번식/NNG+도/JX
빠르다.	빠르/VA+다/EF+./SF


# id : NWRW1800000038.32.7.2
같은 양의 단백질을 생산하는 데 드는 사료비는 귀뚜라미의 경우 소의 12분의 1이다.

