# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.381
metadata : {}


# id : NWRW1800000041.381.1.1
[수도권]이필운 경기 안양시장 “구도심 재개발, 전면 철거방식 탈피”

[수도권]이필운	[/SS+수도/NNG+권/XSN+]/SS+이필운/NNP
경기	경기/NNP
안양시장	안양시장/NNG
“구도심	“/SS+구/XPN+도심/NNG
재개발,	재/XPN+개발/NNG+,/SP
전면	전면/NNG
철거방식	철거/NNG+방식/NNG
탈피”	탈피/NNG+”/SS


# id : NWRW1800000041.381.2.1
[기초단체장에게 듣는다]

[기초단체장에게	[/SS+기초/NNG+단체장/NNG+에게/JKB
듣는다]	듣/VV+는다/EF+]/SS


# id : NWRW1800000041.381.3.1
이필운 경기 안양시장(59·새누리당·사진)은 “부정부패로 얼룩지고 방만한 운영으로 재정난을 심화시킨 공직사회를 개혁하고, 공무원들과 주민들의 소통도 강화하겠다”고 밝혔다.

이필운	이필운/NNP
경기	경기/NNP
안양시장(59·새누리당·사진)은	안양시장/NNG+(/SS+59/SN+·/SP+새누리당/NNP+·/SP+사진/NNG+)/SS+은/JX
“부정부패로	“/SS+부정부패/NNG+로/JKB
얼룩지고	얼룩지/VV+고/EC
방만한	방만하/VA+ㄴ/ETM
운영으로	운영/NNG+으로/JKB
재정난을	재정난/NNG+을/JKO
심화시킨	심화/NNG+시키/XSV+ㄴ/ETM
공직사회를	공직/NNG+사회/NNG+를/JKO
개혁하고,	개혁/NNG+하/XSV+고/EC+,/SP
공무원들과	공무원/NNG+들/XSN+과/JC
주민들의	주민/NNG+들/XSN+의/JKG
소통도	소통/NNG+도/JX
강화하겠다”고	강화/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.381.3.2
이 시장은 민선 4기 시장을 지내고 민선 5기에 패배했다가 이번에 시장에 재선됐다.

이	이/NNP
시장은	시장/NNG+은/JX
민선	민선/NNG
4기	4/SN+기/NNG
시장을	시장/NNG+을/JKO
지내고	지내/VV+고/EC
5기에	5/SN+기/NNG+에/JKB
패배했다가	패배/NNG+하/XSV+았/EP+다가/EC
이번에	이번/NNG+에/JKB
시장에	시장/NNG+에/JKB
재선됐다.	재선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.381.3.3
그는 부패와 방만한 행정을 문제로 보고 있다.

그는	그/NP+는/JX
부패와	부패/NNG+와/JC
방만한	방만하/VA+ㄴ/ETM
행정을	행정/NNG+을/JKO
문제로	문제/NNG+로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.381.3.4
민선 5기 때 시장 측근들이 각종 비리로 수사를 받아 구속됐다.

민선	민선/NNG
5기	5/SN+기/NNG
때	때/NNG
시장	시장/NNG
측근들이	측근/NNG+들/XSN+이/JKS
각종	각종/NNG
비리로	비리/NNG+로/JKB
수사를	수사/NNG+를/JKO
받아	받/VV+아/EC
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.381.3.5
또 청소년 육성재단, 인재육성재단 등 시 예산이 들어가는 조직도 늘어났다.

또	또/MAG
청소년	청소년/NNG
육성재단,	육성/NNG+재단/NNG+,/SP
인재육성재단	인재/NNG+육성/NNG+재단/NNG
등	등/NNB
시	시/NNG
예산이	예산/NNG+이/JKS
들어가는	들어가/VV+는/ETM
조직도	조직/NNG+도/JX
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.381.3.6
이 시장은 “조직을 늘리고 예산을 마구 집행해 시 재정자립도가 46% 수준으로 떨어졌다”며 “조직을 축소개혁하고 전시성 재정 지출과 이벤트성 행사를 줄여 임기 내에 재정자립도를 60% 수준까지 끌어올리겠다”고 말했다.

이	이/NNP
시장은	시장/NNG+은/JX
“조직을	“/SS+조직/NNG+을/JKO
늘리고	늘리/VV+고/EC
예산을	예산/NNG+을/JKO
마구	마구/MAG
집행해	집행/NNG+하/XSV+아/EC
시	시/NNG
재정자립도가	재정/NNG+자립도/NNG+가/JKS
46%	46/SN+%/SW
수준으로	수준/NNG+으로/JKB
떨어졌다”며	떨어지/VV+었/EP+다/EF+”/SS+며/EC
축소개혁하고	축소/NNG+개혁/NNG+하/XSV+고/EC
전시성	전시/NNG+성/XSN
재정	재정/NNG
지출과	지출/NNG+과/JC
이벤트성	이벤트/NNG+성/XSN
행사를	행사/NNG+를/JKO
줄여	줄이/VV+어/EC
임기	임기/NNG
내에	내/NNB+에/JKB
재정자립도를	재정/NNG+자립도/NNG+를/JKO
60%	60/SN+%/SW
수준까지	수준/NNG+까지/JX
끌어올리겠다”고	끌어올리/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.381.3.7
이 시장은 교수와 시민단체 시의원 등이 참여하는 공직비리척결위원회를 구성해 비리 없는 공조직을 만들고 시장 친인척 및 측근 비리도 근절하겠다는 구상이다.

이	이/NNP
시장은	시장/NNG+은/JX
교수와	교수/NNG+와/JC
시민단체	시민/NNG+단체/NNG
시의원	시/NNG+의원/NNG
등이	등/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
공직비리척결위원회를	공직/NNG+비리/NNG+척결/NNG+위원회/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
비리	비리/NNG
없는	없/VA+는/ETM
공조직을	공조직/NNG+을/JKO
만들고	만들/VV+고/EC
시장	시장/NNG
친인척	친인척/NNG
및	및/MAG
측근	측근/NNG
비리도	비리/NNG+도/JX
근절하겠다는	근절/NNG+하/XSV+겠/EP+다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.381.4.1
구도심 지역의 재개발이나 재건축은 전면 철거 후 개발하는 방식에서 탈피해 마을 가꾸기 수준에서 주민 의사를 최대한 반영해 추진할 계획이다.

구도심	구/XPN+도심/NNG
지역의	지역/NNG+의/JKG
재개발이나	재/XPN+개발/NNG+이나/JC
재건축은	재/XPN+건축/NNG+은/JX
전면	전면/NNG
철거	철거/NNG
후	후/NNG
개발하는	개발/NNG+하/XSV+는/ETM
방식에서	방식/NNG+에서/JKB
탈피해	탈피/NNG+하/XSV+아/EC
마을	마을/NNG
가꾸기	가꾸/VV+기/ETN
수준에서	수준/NNG+에서/JKB
주민	주민/NNG
의사를	의사/NNG+를/JKO
최대한	최대한/MAG
반영해	반영/NNG+하/XSV+아/EC
추진할	추진/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.381.4.2
주민들이 지구지정 취소를 원하면 신속히 해제할 방침이다.

주민들이	주민/NNG+들/XSN+이/JKS
지구지정	지구/NNG+지정/NNG
취소를	취소/NNG+를/JKO
원하면	원/NNG+하/XSV+면/EC
신속히	신속히/MAG
해제할	해제/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.381.4.3
아파트 리모델링도 추진하되 안전을 고려해 용적률을 적용할 계획이다.

아파트	아파트/NNG
리모델링도	리모델링/NNG+도/JX
추진하되	추진/NNG+하/XSV+되/EC
안전을	안전/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
용적률을	용적/NNG+률/XSN+을/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.381.4.4
동서균형 발전을 해친다며 추진해온 경부선 철도 지하화 사업은 현실성 있게 조정한다.

동서균형	동서/NNG+균형/NNG
발전을	발전/NNG+을/JKO
해친다며	해치/VV+ㄴ다며/EC
추진해온	추진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
경부선	경부선/NNP
철도	철도/NNG
지하화	지하/NNG+화/XSN
사업은	사업/NNG+은/JX
현실성	현실/NNG+성/XSN
있게	있/VA+게/EC
조정한다.	조정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.381.4.5
지하화는 막대한 예산이 소요돼 현실성이 부족하다고 판단, 소음 분진 진동 등 실제적으로 주민들이 고통받고 있는 환경을 개선하고 삶의 질을 높이는 방향으로 선회하다는 구상이다.

지하화는	지하/NNG+화/XSN+는/JX
막대한	막대하/VA+ㄴ/ETM
예산이	예산/NNG+이/JKS
소요돼	소요/NNG+되/XSV+어/EC
현실성이	현실/NNG+성/XSN+이/JKS
부족하다고	부족/NNG+하/XSA+다고/EC
판단,	판단/NNG+,/SP
소음	소음/NNG
분진	분진/NNG
진동	진동/NNG
등	등/NNB
실제적으로	실제/NNG+적/XSN+으로/JKB
주민들이	주민/NNG+들/XSN+이/JKS
고통받고	고통/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
환경을	환경/NNG+을/JKO
개선하고	개선/NNG+하/XSV+고/EC
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
높이는	높이/VV+는/ETM
방향으로	방향/NNG+으로/JKB
선회하다는	선회/NNG+하/XSV+다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.381.4.6
오랫동안 논란을 벌여온 안양교도소 이전 문제는 대법원에서 패소한 만큼, 법무부와 협의를 통해 현 부지에서 리모델링을 하더라도 지역 발전을 최대한 도모하는 방향으로 실시하겠다고 밝혔다.

오랫동안	오랫동안/NNG
논란을	논란/NNG+을/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
안양교도소	안양교도소/NNP
이전	이전/NNG
문제는	문제/NNG+는/JX
대법원에서	대/XPN+법원/NNG+에서/JKB
패소한	패소/NNG+하/XSV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
법무부와	법무부/NNG+와/JKB
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
현	현/MMD
부지에서	부지/NNG+에서/JKB
리모델링을	리모델링/NNG+을/JKO
하더라도	하/VV+더라도/EC
지역	지역/NNG
발전을	발전/NNG+을/JKO
최대한	최대한/MAG
도모하는	도모/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
실시하겠다고	실시/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.381.4.7
안양검역원 부지와 구 안양경찰서 부지 등 방치돼 있는 땅을 효율적으로 활용하는 방안도 찾을 방침이다.

안양검역원	안양검역원/NNP
부지와	부지/NNG+와/JC
구	구/MMA
안양경찰서	안양경찰서/NNP
부지	부지/NNG
등	등/NNB
방치돼	방치/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
땅을	땅/NNG+을/JKO
효율적으로	효율/NNG+적/XSN+으로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
찾을	찾/VV+을/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.381.4.8
소규모 동호회 중심의 생활체육을 활성화하고, 권역별 특색 있는 체육공원 조성을 통해 생활체육이 뿌리내리도록 할 계획이다.

