# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.115
metadata : {}


# id : NWRW1800000028.115.1.1
주가 오르는데 펀드 ‘썰물’

주가	주가/NNG
오르는데	오르/VV+는데/EC
펀드	펀드/NNG
‘썰물’	‘/SS+썰물/NNG+’/SS


# id : NWRW1800000028.115.2.1
주가는 1700대로 올라섰는데, 국내 주식형펀드 자금이 대량으로 빠져나가는 이른바 ‘펀드런’ 현상이 가속화하고 있다.

주가는	주가/NNG+는/JX
1700대로	1700/SN+대/XSN+로/JKB
올라섰는데,	올라서/VV+었/EP+는데/EC+,/SP
국내	국내/NNG
주식형펀드	주식/NNG+형/XSN+펀드/NNG
자금이	자금/NNG+이/JKS
대량으로	대량/NNG+으로/JKB
빠져나가는	빠져나가/VV+는/ETM
이른바	이른바/MAG
‘펀드런’	‘/SS+펀드런/NNG+’/SS
현상이	현상/NNG+이/JKS
가속화하고	가속/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.115.2.2
대량 환매에 충격을 받은 자산운용사들은 특별대책반을 구성해 대책 마련에 나섰다.

대량	대량/NNG
환매에	환매/NNG+에/JKB
충격을	충격/NNG+을/JKO
받은	받/VV+은/ETM
자산운용사들은	자산/NNG+운용사/NNG+들/XSN+은/JX
특별대책반을	특별/NNG+대책반/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
대책	대책/NNG
마련에	마련/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.115.3.1
6일 한국금융투자협회의 집계를 보면, 지난 5일 국내 주식형펀드에서 5307억원(상장지수펀드 제외)이 빠져나갔다.

6일	6/SN+일/NNB
한국금융투자협회의	한국금융투자협회/NNP+의/JKG
집계를	집계/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
국내	국내/NNG
주식형펀드에서	주식/NNG+형/XSN+펀드/NNG+에서/JKB
5307억원(상장지수펀드	5307/SN+억/NR+원/NNB+(/SS+상장/NNG+지수/NNG+펀드/NNG
제외)이	제외/NNG+)/SS+이/JKS
빠져나갔다.	빠져나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.115.3.2
펀드 유출입 통계 집계 이후 하루 순유출 기준으로 둘째로 많은 금액으로, 2006년 12월21일 9232억원 이후 3년3개월여 만에 최대치다.

펀드	펀드/NNG
유출입	유출입/NNG
통계	통계/NNG
집계	집계/NNG
이후	이후/NNG
하루	하루/NNG
순유출	순/MMA+유출/NNG
기준으로	기준/NNG+으로/JKB
둘째로	둘째/NR+로/JKB
많은	많/VA+은/ETM
금액으로,	금액/NNG+으로/JKB+,/SP
2006년	2006/SN+년/NNB
12월21일	12/SN+월/NNB+21/SN+일/NNB
9232억원	9232/SN+억/NR+원/NNB
3년3개월여	3/SN+년/NNB+3/SN+개월/NNB+여/XSN
만에	만/NNB+에/JKB
최대치다.	최대/NNG+치/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.115.3.3
지난달 하순 하루 1000억원대의 환매 규모가 갈수록 커지고 있는 것이다.

지난달	지난달/NNG
하순	하순/NNG
하루	하루/NNG
1000억원대의	1000/SN+억/NR+원/NNB+대/XSN+의/JKG
환매	환매/NNG
규모가	규모/NNG+가/JKS
갈수록	갈수록/MAG
커지고	커지/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.115.4.1
주가가 오르면 펀드 자금이 늘어나는 게 상식인데, 왜 이런 현상이 나타날까?

주가가	주가/NNG+가/JKS
오르면	오르/VV+면/EC
펀드	펀드/NNG
자금이	자금/NNG+이/JKS
늘어나는	늘어나/VV+는/ETM
게	거/NNB+이/JKS
상식인데,	상식/NNG+이/VCP+ㄴ데/EC+,/SP
왜	왜/MAG
이런	이런/MMD
현상이	현상/NNG+이/JKS
나타날까?	나타나/VV+ㄹ까/EF+?/SF


# id : NWRW1800000028.115.4.2
이는 2007년 시작된 적립식펀드 열풍과 밀접한 연관이 있다.

이는	이/NP+는/JX
2007년	2007/SN+년/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
적립식펀드	적립식/NNG+펀드/NNG
열풍과	열풍/NNG+과/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
연관이	연관/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.115.4.3
당시 은행을 통한 펀드 판매가 허용되면서, 펀드를 예금처럼 생각하고 가입했다가 미국발 금융위기로 주가가 폭락하자 끙끙 앓던 투자자들이 주가가 어느 정도 회복세를 보이자 재빨리 손을 털고 있는 것이다.

당시	당시/NNG
은행을	은행/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
펀드	펀드/NNG
판매가	판매/NNG+가/JKS
허용되면서,	허용/NNG+되/XSV+면서/EC+,/SP
펀드를	펀드/NNG+를/JKO
예금처럼	예금/NNG+처럼/JKB
생각하고	생각/NNG+하/XSV+고/EC
가입했다가	가입/NNG+하/XSV+았/EP+다가/EC
미국발	미국/NNP+발/XSN
금융위기로	금융/NNG+위기/NNG+로/JKB
주가가	주가/NNG+가/JKS
폭락하자	폭락/NNG+하/XSV+자/EC
끙끙	끙끙/MAG
앓던	앓/VV+던/ETM
투자자들이	투자자/NNG+들/XSN+이/JKS
어느	어느/MMD
정도	정도/NNG
회복세를	회복세/NNG+를/JKO
보이자	보이/VV+자/EC
재빨리	재빨리/MAG
손을	손/NNG+을/JKO
털고	털/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.115.4.4
삼성증권 김진영 연구위원은 “우리나라 투자자들은 주식 가치에 따라 주식을 사고팔기보다는 자신이 샀던 가격을 기준으로 삼는 경우가 많은데, 펀드도 마찬가지”라며 “2007년부터 가입한 적립식펀드가 대부분 3년 동안 돈을 내는 것이어서, 기간도 맞물리고 있다”고 말했다.

삼성증권	삼성증권/NNP
김진영	김진영/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“우리나라	“/SS+우리나라/NNG
투자자들은	투자자/NNG+들/XSN+은/JX
주식	주식/NNG
가치에	가치/NNG+에/JKB
따라	따르/VV+아/EC
주식을	주식/NNG+을/JKO
사고팔기보다는	사고팔/VV+기/ETN+보다/JKB+는/JX
자신이	자신/NNG+이/JKS
샀던	사/VV+았/EP+던/ETM
가격을	가격/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
삼는	삼/VV+는/ETM
경우가	경우/NNG+가/JKS
많은데,	많/VA+은데/EC+,/SP
펀드도	펀드/NNG+도/JX
마찬가지”라며	마찬가지/NNG+”/SS+이/VCP+라며/EC
“2007년부터	“/SS+2007/SN+년/NNB+부터/JX
가입한	가입/NNG+하/XSV+ㄴ/ETM
적립식펀드가	적립식/NNG+펀드/NNG+가/JKS
대부분	대/XPN+부분/NNG
3년	3/SN+년/NNB
동안	동안/NNG
돈을	돈/NNG+을/JKO
내는	내/VV+는/ETM
것이어서,	것/NNB+이/VCP+어서/EC+,/SP
기간도	기간/NNG+도/JX
맞물리고	맞물리/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.115.5.1
눈길을 끄는 것은 지금의 현상이 2007년과 정반대라는 점이다.

눈길을	눈길/NNG+을/JKO
끄는	끌/VV+는/ETM
것은	것/NNB+은/JX
지금의	지금/NNG+의/JKG
현상이	현상/NNG+이/JKS
2007년과	2007/SN+년/NNB+과/JKB
정반대라는	정반대/NNG+이/VCP+라는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.115.5.2
당시 개인들의 펀드 투자자금은 그해 하반기 월평균 5조원에 가까운 외국인들의 매도물량을 소화했는데, 지금은 펀드 환매로 나온 물량을 외국인들이 사들이고 있다.

당시	당시/NNG
개인들의	개인/NNG+들/XSN+의/JKG
펀드	펀드/NNG
투자자금은	투자/NNG+자금/NNG+은/JX
그해	그해/NNG
하반기	하반기/NNG
월평균	월평균/NNG
5조원에	5/SN+조/NR+원/NNB+에/JKB
