# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.398
metadata : {}


# id : NWRW1800000053.398.1.1
“치매센터 다닌 엄마, 몰라보게 좋아져”

“치매센터	“/SS+치매/NNG+센터/NNG
다닌	다니/VV+ㄴ/ETM
엄마,	엄마/NNG+,/SP
몰라보게	몰라보/VV+게/EC
좋아져”	좋/VA+아/EC+지/VX+어/EF+”/SS


# id : NWRW1800000053.398.2.1
서울 데이케어센터 10곳 운영 호평

서울	서울/NNP
데이케어센터	데이케어센터/NNG
10곳	10/SN+곳/NNG
운영	운영/NNG
호평	호평/NNG


# id : NWRW1800000053.398.3.1
“난 엄마를 사랑해. 난 엄마를 사랑해….”

“난	“/SS+나/NP+ㄴ/JX
엄마를	엄마/NNG+를/JKO
사랑해.	사랑/NNG+하/XSV+아/EF+./SF
난	나/NP+ㄴ/JX
사랑해….”	사랑/NNG+하/XSV+아/EF+…/SE+./SF+”/SS


# id : NWRW1800000053.398.4.1
방금 먹은 밥을 또 달라고 하고 침대에 대소변을 보며 이유 없는 손찌검까지…. 갈수록 행동이 이상해지는 엄마를 보며 이지순(가명·50) 씨는 하루에도 수십 번 되뇌었다.

방금	방금/MAG
먹은	먹/VV+은/ETM
밥을	밥/NNG+을/JKO
또	또/MAG
달라고	달/VV+라고/EC
하고	하/VV+고/EC
침대에	침대/NNG+에/JKB
대소변을	대소변/NNG+을/JKO
보며	보/VV+며/EC
이유	이유/NNG
없는	없/VA+는/ETM
손찌검까지….	손찌검/NNG+까지/JX+…/SE+./SF
갈수록	갈수록/MAG
행동이	행동/NNG+이/JKS
이상해지는	이상/NNG+하/XSA+아/EC+지/VX+는/ETM
엄마를	엄마/NNG+를/JKO
이지순(가명·50)	이지순/NNP+(/SS+가명/NNG+·/SP+50/SN+)/SS
씨는	씨/NNB+는/JX
하루에도	하루/NNG+에/JKB+도/JX
수십	수십/NR
번	번/NNB
되뇌었다.	되뇌/VV+었/EP+다/EF+./SF
