# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.41
metadata : {}


# id : NWRW1800000049.41.1.1
그들은 날마다 금고를 턴다… 왜?

그들은	그/NP+들/XSN+은/JX
날마다	날/NNG+마다/JX
금고를	금고/NNG+를/JKO
턴다…	털/VV+ㄴ다/EF+…/SE
왜?	왜/MAG+?/SF


# id : NWRW1800000049.41.2.1
금고 안전 등급 매기는 테스터의 세계

금고	금고/NNG
안전	안전/NNG
등급	등급/NNG
매기는	매기/VV+는/ETM
테스터의	테스터/NNG+의/JKG
세계	세계/NNG


# id : NWRW1800000049.41.3.1
일본이 마이너스 금리를 도입하고 국내에도 초저금리가 지속되면서 현금을 집 안 금고에 보관하는 자산가들이 늘고 있다.

일본이	일본/NNP+이/JKS
마이너스	마이너스/NNG
금리를	금리/NNG+를/JKO
도입하고	도입/NNG+하/XSV+고/EC
국내에도	국내/NNG+에/JKB+도/JX
초저금리가	초/XPN+저/XPN+금리/NNG+가/JKS
지속되면서	지속/NNG+되/XSV+면서/EC
현금을	현금/NNG+을/JKO
집	집/NNG
안	안/NNG
금고에	금고/NNG+에/JKB
보관하는	보관/NNG+하/XSV+는/ETM
자산가들이	자산가/NNG+들/XSN+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.41.3.2
일본에선 금고 판매량이 지난해보다 2.5배 늘었다는 보고도 있다.

일본에선	일본/NNP+에서/JKB+ㄴ/JX
금고	금고/NNG
판매량이	판매량/NNG+이/JKS
지난해보다	지난해/NNG+보다/JKB
2.5배	2/SN+./SP+5/SN+배/NNG
늘었다는	늘/VV+었/EP+다는/ETM
보고도	보고/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.41.4.1
금고의 생명은 단연 안전이다.

금고의	금고/NNG+의/JKG
생명은	생명/NNG+은/JX
단연	단연/MAG
안전이다.	안전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.41.4.2
영화에서 종종 도둑이 갖은 방법으로 금고를 여는 장면을 보고 있노라면 금고의 안전성을 담보하는 기준이 궁금해진다.

영화에서	영화/NNG+에서/JKB
종종	종종/MAG
도둑이	도둑/NNG+이/JKS
갖은	갖은/MMN
방법으로	방법/NNG+으로/JKB
금고를	금고/NNG+를/JKO
여는	열/VV+는/ETM
장면을	장면/NNG+을/JKO
보고	보/VV+고/EC
있노라면	있/VX+노라면/EC
금고의	금고/NNG+의/JKG
안전성을	안전/NNG+성/XSN+을/JKO
담보하는	담보/NNG+하/XSV+는/ETM
기준이	기준/NNG+이/JKS
궁금해진다.	궁금하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.41.4.3
실제로 금고의 안전 등급을 인증하는 미국 기관 ‘UL’에는 매일 금고를 뚫는 시험을 진행하는 기술자들이 있다.

실제로	실제로/MAG
금고의	금고/NNG+의/JKG
안전	안전/NNG
등급을	등급/NNG+을/JKO
인증하는	인증/NNG+하/XSV+는/ETM
미국	미국/NNP
기관	기관/NNG
‘UL’에는	‘/SS+UL/SL+’/SS+에/JKB+는/JX
매일	매일/MAG
금고를	금고/NNG+를/JKO
뚫는	뚫/VV+는/ETM
시험을	시험/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
기술자들이	기술자/NNG+들/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.41.5.1
○ 3.6kg 해머에 15분 버텨야 ATM 합격

○	○/SW
3.6kg	3/SN+./SP+6/SN+kg/SW
해머에	해머/NNG+에/JKB
15분	15/SN+분/NNB
버텨야	버티/VV+어야/EC
ATM	ATM/SL
합격	합격/NNG


# id : NWRW1800000049.41.6.1
금고 기술자들은 시험할 금고가 오면 설계도부터 분석한다.

금고	금고/NNG
기술자들은	기술자/NNG+들/XSN+은/JX
시험할	시험/NNG+하/XSV+ㄹ/ETM
금고가	금고/NNG+가/JKS
오면	오/VV+면/EC
설계도부터	설계도/NNG+부터/JX
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.41.6.2
가장 약한 부분을 찾아 공략 계획을 세우기 위해서다.

가장	가장/MAG
약한	약하/VA+ㄴ/ETM
부분을	부분/NNG+을/JKO
찾아	찾/VV+아/EC
공략	공략/NNG
계획을	계획/NNG+을/JKO
세우기	세우/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000049.41.6.3
금고 설치 장소와 용도에 따라 기술자의 수를 조정한 뒤, 이들이 금고 속 내용물을 꺼내는 데 걸리는 시간에 따라 등급을 매긴다.

금고	금고/NNG
설치	설치/NNG
장소와	장소/NNG+와/JC
용도에	용도/NNG+에/JKB
따라	따르/VV+아/EC
기술자의	기술자/NNG+의/JKG
수를	수/NNG+를/JKO
조정한	조정/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
이들이	이/NP+들/XSN+이/JKS
속	속/NNG
내용물을	내용물/NNG+을/JKO
꺼내는	꺼내/VV+는/ETM
데	데/NNB
걸리는	걸리/VV+는/ETM
시간에	시간/NNG+에/JKB
등급을	등급/NNG+을/JKO
매긴다.	매기/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.41.7.1
일반 가정용 금고는 기술자 1명이 1.36kg 미만의 가정용 망치와 멍키스패너, 소형 전기 공구를 사용해도 5분 동안 열리지 않아야 한다.

일반	일반/NNG
가정용	가정/NNG+용/XSN
금고는	금고/NNG+는/JX
기술자	기술자/NNG
1명이	1/SN+명/NNB+이/JKS
1.36kg	1/SN+./SF+36/SN+kg/SW
미만의	미만/NNG+의/JKG
망치와	망치/NNG+와/JC
멍키스패너,	멍키/NNG+스패너/NNG+,/SP
소형	소형/NNG
전기	전기/NNG
공구를	공구/NNG+를/JKO
사용해도	사용/NNG+하/XSV+아도/EC
5분	5/SN+분/NNB
동안	동안/NNG
열리지	열리/VV+지/EC
않아야	않/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.41.7.2
24시간 운영되는 현금자동입출금기(ATM)는 기술자 2명이 15분 동안 금고를 여는 시험을 통과해야 한다.

24시간	24/SN+시간/NNB
운영되는	운영/NNG+되/XSV+는/ETM
현금자동입출금기(ATM)는	현금/NNG+자동/NNG+입출금기/NNG+(/SS+ATM/SL+)/SS+는/JX
기술자	기술자/NNG
2명이	2/SN+명/NNB+이/JKS
15분	15/SN+분/NNB
동안	동안/NNG
금고를	금고/NNG+를/JKO
여는	열/VV+는/ETM
시험을	시험/NNG+을/JKO
통과해야	통과/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.41.7.3
이때 쓰이는 도구는 가정용 금고보다 크고 무겁다.

이때	이때/NNG
쓰이는	쓰이/VV+는/ETM
도구는	도구/NNG+는/JX
가정용	가정/NNG+용/XSN
금고보다	금고/NNG+보다/JKB
크고	크/VA+고/EC
무겁다.	무겁/VA+다/EF+./SF


# id : NWRW1800000049.41.7.4
3.6kg 미만의 큰 해머와 길이 1.5m 미만의 절삭기, 지름 12.7mm 이하의 드릴 등의 공격에 버텨야 한다.

3.6kg	3/SN+./SP+6/SN+kg/SW
미만의	미만/NNG+의/JKG
큰	크/VA+ㄴ/ETM
해머와	해머/NNG+와/JC
길이	길이/NNG
