# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.241
metadata : {}


# id : NWRW1800000036.241.1.1
대구공고, 전두환·노태우 자료실 폐쇄

대구공고,	대구공고/NNP+,/SP
전두환·노태우	전두환/NNP+·/SP+노태우/NNP
자료실	자료실/NNG
폐쇄	폐쇄/NNG


# id : NWRW1800000036.241.2.1
[한겨레] 육사는 누리집서 비판글 없애

[한겨레]	[/SS+한겨레/NNP+]/SS
육사는	육사/NNP+는/JX
누리집서	누리집/NNG+서/JKB
비판글	비판/NNG+글/NNG
없애	없애/VV+어/EC


# id : NWRW1800000036.241.3.1
‘전두환 사열’ 물의 덮기 급급

‘전두환	‘/SS+전두환/NNP
사열’	사열/NNG+’/SS
물의	물의/NNG
덮기	덮/VV+기/ETN
급급	급급/XR


# id : NWRW1800000036.241.4.1
학교 안 역사관 건물에 ‘전두환 자료실’을 꾸몄다가 비난 여론에 부닥친 대구공업고등학교 총동창회(회장 김진해)가 27일 “전두환 자료실과 노태우 자료실을 잠정 폐쇄한다”고 발표했다.

학교	학교/NNG
안	안/NNG
역사관	역사관/NNG
건물에	건물/NNG+에/JKB
‘전두환	‘/SS+전두환/NNP
자료실’을	자료실/NNG+’/SS+을/JKO
꾸몄다가	꾸미/VV+었/EP+다가/EC
비난	비난/NNG
여론에	여론/NNG+에/JKB
부닥친	부닥치/VV+ㄴ/ETM
대구공업고등학교	대구공업고등학교/NNP
총동창회(회장	총동창회/NNG+(/SS+회장/NNG
김진해)가	김진해/NNP+)/SS+가/JKS
27일	27/SN+일/NNB
“전두환	“/SS+전두환/NNP
자료실과	자료실/NNG+과/JC
노태우	노태우/NNP
자료실을	자료실/NNG+을/JKO
잠정	잠정/NNG
폐쇄한다”고	폐쇄/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.241.4.2
반면 전두환 전 대통령의 사열로 물의를 빚은 육군사관학교는 누리집 자유게시판에서 관련 글을 모두 삭제해 치부를 감추려는 꼼수라는 비판이 일고 있다.

반면	반면/NNG
전두환	전두환/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
사열로	사열/NNG+로/JKB
물의를	물의/NNG+를/JKO
