# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.270
metadata : {}


# id : NWRW1800000036.270.1.1
복지정보개발원 ‘빗나간 재정관리’

복지정보개발원	복지/NNG+정보/NNG+개발원/NNG
‘빗나간	‘/SS+빗나가/VV+ㄴ/ETM
재정관리’	재정/NNG+관리/NNG+’/SS


# id : NWRW1800000036.270.2.1
[한겨레] 김용익 민주의원 국감서 의혹 제기

[한겨레]	[/SS+한겨레/NNP+]/SS
김용익	김용익/NNP
민주의원	민주/NNP+의원/NNG
국감서	국감/NNG+서/JKB
의혹	의혹/NNG
제기	제기/NNG


# id : NWRW1800000036.270.3.1
원장이 회장 맡은 단체 지원 추진

원장이	원장/NNG+이/JKS
회장	회장/NNG
맡은	맡/VV+은/ETM
단체	단체/NNG
지원	지원/NNG
추진	추진/NNG


# id : NWRW1800000036.270.4.1
직원 돈 갹출해 용도불명 사용도

직원	직원/NNG
돈	돈/NNG
갹출해	갹출/NNG+하/XSV+아/EC
용도불명	용도/NNG+불명/NNG
사용도	사용/NNG+도/JX


# id : NWRW1800000036.270.5.1
한국보건복지정보개발원이 보건복지부의 특별감사에서 원장이 회장으로 있던 단체의 학술대회에 재정지원을 한 데 대해 지적을 받은 뒤에도 또다시 같은 단체를 지원하려 했다는 주장이 제기됐다.

한국보건복지정보개발원이	한국보건복지정보개발원/NNP+이/JKS
보건복지부의	보건/NNG+복지부/NNG+의/JKG
특별감사에서	특별/NNG+감사/NNG+에서/JKB
원장이	원장/NNG+이/JKS
회장으로	회장/NNG+으로/JKB
있던	있/VA+던/ETM
단체의	단체/NNG+의/JKG
학술대회에	학술/NNG+대회/NNG+에/JKB
재정지원을	재정/NNG+지원/NNG+을/JKO
한	하/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
지적을	지적/NNG+을/JKO
받은	받/VV+은/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
또다시	또다시/MAG
같은	같/VA+은/ETM
단체를	단체/NNG+를/JKO
지원하려	지원/NNG+하/XSV+려/EC
했다는	하/VX+았/EP+다는/ETM
주장이	주장/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.270.6.1
국회 보건복지위원회 소속 김용익 민주통합당 의원은 15일 오전 국회에서 열린 국정감사에서 “보건복지정보개발원이 지난 5월22~25일 복지부 특별감사 결과 이봉화 원장이 학회장으로 있던 단체의 학술대회에 대한 재정지원과 직원 동원에 대해 지적받은 뒤, 또다시 같은 지원을 추진했던 것으로 확인됐다”고 밝혔다.

국회	국회/NNG
보건복지위원회	보건/NNG+복지/NNG+위원회/NNG
소속	소속/NNG
김용익	김용익/NNP
민주통합당	민주통합당/NNP
의원은	의원/NNG+은/JX
15일	15/SN+일/NNB
오전	오전/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
국정감사에서	국정/NNG+감사/NNG+에서/JKB
“보건복지정보개발원이	“/SS+보건/NNG+복지/NNG+정보/NNG+개발원/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
5월22~25일	5/SN+월/NNB+22/SN+~/SO+25/SN+일/NNB
복지부	복지부/NNG
특별감사	특별/NNG+감사/NNG
결과	결과/NNG
이봉화	이봉화/NNP
원장이	원장/NNG+이/JKS
학회장으로	학회장/NNG+으로/JKB
있던	있/VA+던/ETM
단체의	단체/NNG+의/JKG
학술대회에	학술/NNG+대회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재정지원과	재정/NNG+지원/NNG+과/JC
직원	직원/NNG
동원에	동원/NNG+에/JKB
대해	대하/VV+아/EC
지적받은	지적/NNG+받/XSV+은/ETM
뒤,	뒤/NNG+,/SP
또다시	또다시/MAG
같은	같/VA+은/ETM
지원을	지원/NNG+을/JKO
추진했던	추진/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
확인됐다”고	확인/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.270.6.2
김 의원은 “복지부 장관이 ‘이런 사안이 재발되지 않도록 업무를 엄정하게 해달라’는 편지를 보냈지만, 그 직후 같은 일을 다시 추진했던 것”이라고 덧붙였다.

김	김/NNP
의원은	의원/NNG+은/JX
“복지부	“/SS+복지부/NNG
장관이	장관/NNG+이/JKS
‘이런	‘/SS+이런/MMD
사안이	사안/NNG+이/JKS
재발되지	재발/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
업무를	업무/NNG+를/JKO
엄정하게	엄정/NNG+하/XSA+게/EC
해달라’는	하/VX+아/EC+달/VX+라/EF+’/SS+는/ETM
편지를	편지/NNG+를/JKO
보냈지만,	보내/VV+었/EP+지만/EC+,/SP
그	그/MMD
직후	직후/NNG
같은	같/VA+은/ETM
일을	일/NNG+을/JKO
다시	다시/MAG
추진했던	추진/NNG+하/XSV+았/EP+던/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.270.6.3
보건복지정보개발원은 우리나라 모든 국민의 보건·복지 관련 정보를 하나로 묶은 ‘사회복지통합관리망’을 운영하고 있는 기관이다.

보건복지정보개발원은	보건/NNG+복지/NNG+정보/NNG+개발원/NNG+은/JX
우리나라	우리나라/NNG
모든	모든/MMN
국민의	국민/NNG+의/JKG
보건·복지	보건/NNG+·/SP+복지/NNG
관련	관련/NNG
정보를	정보/NNG+를/JKO
하나로	하나/NR+로/JKB
묶은	묶/VV+은/ETM
‘사회복지통합관리망’을	‘/SS+사회/NNG+복지/NNG+통합/NNG+관리망/NNG+’/SS+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
