# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.268
metadata : {}


# id : NWRW1800000029.268.1.1
프로농구 / 조성민, 흔들고… 로드, 더블 더블

프로농구	프로/NNG+농구/NNG
/	//SP
조성민,	조성민/NNP+,/SP
흔들고…	흔들/VV+고/EC+…/SE
로드,	로드/NNP+,/SP
더블	더블/NNG


# id : NWRW1800000029.268.2.1
KT, 4강 플레이오프 1차전서 기선제압

KT,	KT/SL+,/SP
4강	4/SN+강/NNB
플레이오프	플레이오프/NNG
1차전서	1/SN+차전/NNB+서/JKB
기선제압	기선/NNG+제압/NNG


# id : NWRW1800000029.268.3.1
“조성민을 주의 깊게 봐주세요.”

“조성민을	“/SS+조성민/NNP+을/JKO
주의	주의/NNG
깊게	깊/VA+게/EC
봐주세요.”	봐주/VV+시/EP+어요/EF+./SF+”/SS


# id : NWRW1800000029.268.4.1
KT 전창진 감독은 4일 안방인 부산에서 열린 동부와의 4강 플레이오프(5전 3선승제) 1차전을 앞두고 “조성민의 움직임이 정규시즌 때보다 훨씬 좋아졌다.

KT	KT/SL
전창진	전창진/NNP
감독은	감독/NNG+은/JX
4일	4/SN+일/NNB
안방인	안방/NNG+이/VCP+ㄴ/ETM
부산에서	부산/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
동부와의	동부/NNP+와/JKB+의/JKG
4강	4/SN+강/NNB
플레이오프(5전	플레이오프/NNG+(/SS+5/SN+전/NNB
3선승제)	3/SN+선승/NNG+제/XSN+)/SS
1차전을	1/SN+차전/NNB+을/JKO
앞두고	앞두/VV+고/EC
“조성민의	“/SS+조성민/NNP+의/JKG
움직임이	움직임/NNG+이/JKS
정규시즌	정규/NNG+시즌/NNG
때보다	때/NNG+보다/JKB
훨씬	훨씬/MAG
좋아졌다.	좋/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.268.4.2
그래서 잔뜩 기대하고 있다”며 조성민을 키플레이어로 꼽았다.

그래서	그래서/MAJ
잔뜩	잔뜩/MAG
기대하고	기대/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
조성민을	조성민/NNP+을/JKO
키플레이어로	키플레이어/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.268.5.1
이를 예상이라도 한 듯 동부 강동희 감독은 “우리 수비의 타깃은 조성민이 될 것”이라고 말했다.

이를	이/NP+를/JKO
예상이라도	예상/NNG+이/VCP+라도/EC
