# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.181
metadata : {}


# id : NWRW1800000028.181.1.1
1표라도 더…전략지로 몰린 후보들 ‘밑바닥 훑기’

1표라도	1/SN+표/NNG+라도/JX
더…전략지로	더/MAG+…/SE+전략지/NNG+로/JKB
몰린	몰리/VV+ㄴ/ETM
후보들	후보/NNG+들/XSN
‘밑바닥	‘/SS+밑바닥/NNG
훑기’	훑/VV+기/ETN+’/SS


# id : NWRW1800000028.181.2.1
6·2 지방선거운동 마지막날인 1일, 후보자들은 이른 새벽부터 전략지역을 돌며 한표라도 더 얻기 위해 안간힘을 다했다.

6·2	6/SN+·/SP+2/SN
지방선거운동	지방/NNG+선거/NNG+운동/NNG
마지막날인	마지막/NNG+날/NNG+이/VCP+ㄴ/ETM
1일,	1/SN+일/NNB+,/SP
후보자들은	후보자/NNG+들/XSN+은/JX
이른	이르/VA+ㄴ/ETM
새벽부터	새벽/NNG+부터/JX
전략지역을	전략/NNG+지역/NNG+을/JKO
돌며	돌/VV+며/EC
한표라도	한/MMN+표/NNG+라도/JX
더	더/MAG
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
안간힘을	안간힘/NNG+을/JKO
다했다.	다/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.181.3.1
충남은 도민의 3분의 1인 100만명이 사는 천안·아산에서 후보들의 마무리 유세가 집중됐다.

충남은	충남/NNP+은/JX
도민의	도민/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1인	1/SN+이/VCP+ㄴ/ETM
100만명이	100/SN+만/NR+명/NNB+이/JKS
사는	살/VV+는/ETM
천안·아산에서	천안/NNP+·/SP+아산/NNP+에서/JKB
후보들의	후보/NNG+들/XSN+의/JKG
마무리	마무리/NNG
유세가	유세/NNG+가/JKS
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.181.3.2
박해춘 한나라당 후보는 이날 오전 아산의 삼성전자 탕정사업장을 시작으로, 금산을 거쳐 천안에서 유세전을 펼치며 경제 전문가인 자신을 뽑아달라고 호소했다.

박해춘	박해춘/NNP
한나라당	한나라당/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
아산의	아산/NNP+의/JKG
삼성전자	삼성전자/NNP
탕정사업장을	탕정/NNP+사업장/NNG+을/JKO
시작으로,	시작/NNG+으로/JKB+,/SP
금산을	금산/NNP+을/JKO
거쳐	거치/VV+어/EC
천안에서	천안/NNP+에서/JKB
유세전을	유세전/NNG+을/JKO
펼치며	펼치/VV+며/EC
경제	경제/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
자신을	자신/NNG+을/JKO
뽑아달라고	뽑/VV+아/EC+달/VX+라고/EC
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.181.3.3
안희정 민주당 후보는 천안과 아산 일대를 무개차 또는 도보로 이동하며 충남의 새로운 미래를 위해 자신을 대표선수로 키워달라고 유권자들에게 호소했다.

안희정	안희정/NNP
민주당	민주당/NNP
후보는	후보/NNG+는/JX
천안과	천안/NNP+과/JC
아산	아산/NNP
일대를	일대/NNG+를/JKO
무개차	무개차/NNG
또는	또는/MAG
도보로	도보/NNG+로/JKB
이동하며	이동/NNG+하/XSV+며/EC
충남의	충남/NNP+의/JKG
새로운	새롭/VA+ㄴ/ETM
미래를	미래/NNG+를/JKO
위해	위하/VV+아/EC
자신을	자신/NNG+을/JKO
