# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.142
metadata : {}


# id : NWRW1800000022.142.1.1
[제주] 한경면에 시험용 波力(파력)발전소 들어선다 2011년 완공 예정

[제주]	[/SS+제주/NNP+]/SS
한경면에	한경면/NNP+에/JKB
시험용	시험/NNG+용/XSN
波力(파력)발전소	波力/SH+(/SS+파력/NNG+)/SS+발전소/NNG
들어선다	들어서/VV+ㄴ다/EF
2011년	2011/SN+년/NNB
완공	완공/NNG
예정	예정/NNG


# id : NWRW1800000022.142.2.1
시험용으로 건설되는 파력(波力)발전소 입지가 제주시 한경면 용수리 앞 해상으로 확정됐다.

시험용으로	시험/NNG+용/XSN+으로/JKB
건설되는	건설/NNG+되/XSV+는/ETM
파력(波力)발전소	파력/NNG+(/SS+波力/SH+)/SS+발전소/NNG
입지가	입지/NNG+가/JKS
제주시	제주시/NNP
한경면	한경면/NNP
용수리	용수리/NNP
앞	앞/NNG
해상으로	해상/NNG+으로/JKB
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.142.3.1
제주도는 국토해양부에서 추진하고 있는 시험 파력발전소의 건설 입지를 놓고 주관 연구기관인 한국해양연구원을 비롯해 한경면 용수리 주민들과 협의한 결과, 이 마을 앞 500m 해상에 짓기로 결정했다고 19일 밝혔다.

제주도는	제주도/NNP+는/JX
국토해양부에서	국토/NNG+해양부/NNG+에서/JKB
추진하고	추진/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
시험	시험/NNG
파력발전소의	파력/NNG+발전소/NNG+의/JKG
건설	건설/NNG
입지를	입지/NNG+를/JKO
놓고	놓/VV+고/EC
주관	주관/NNG
연구기관인	연구/NNG+기관/NNG+이/VCP+ㄴ/ETM
한국해양연구원을	한국/NNP+해양/NNG+연구원/NNG+을/JKO
비롯해	비롯하/VV+아/EC
한경면	한경면/NNP
용수리	용수리/NNP
주민들과	주민/NNG+들/XSN+과/JKB
협의한	협의/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
이	이/MMD
마을	마을/NNG
앞	앞/NNG
500m	500/SN+m/SW
해상에	해상/NNG+에/JKB
짓기로	짓/VV+기/ETN+로/JKB
결정했다고	결정/NNG+하/XSV+았/EP+다고/EC
19일	19/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.142.4.1
이 파력발전소는 500㎾급으로, 길이 35m, 넓이 37m, 높이 28m의 구조물을 갖추고 전기생산에 나선다.

이	이/MMD
파력발전소는	파력/NNG+발전소/NNG+는/JX
500㎾급으로,	500/SN+㎾/SW+급/NNG+으로/JKB+,/SP
길이	길이/NNG
35m,	35/SN+m/SW+,/SP
넓이	넓이/NNG
37m,	37/SN+m/SW+,/SP
높이	높이/NNG
28m의	28/SN+m/SW+의/JKG
구조물을	구조물/NNG+을/JKO
갖추고	갖추/VV+고/EC
전기생산에	전기/NNG+생산/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.142.4.2
시설비는 구조물 시설에 64억원, 기전설비에 41억원 등 모두 105억원이 투입된다.

시설비는	시설비/NNG+는/JX
구조물	구조물/NNG
시설에	시설/NNG+에/JKB
64억원,	64/SN+억/NR+원/NNB+,/SP
기전설비에	기전/NNG+설비/NNG+에/JKB
41억원	41/SN+억/NR+원/NNB
등	등/NNB
모두	모두/MAG
105억원이	105/SN+억/NR+원/NNB+이/JKS
투입된다.	투입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.142.5.1
해양연구원은 내년까지 발전소 예정지 해상에서 파랑 관측과 해저 지질조사 등을 거친 뒤 2011년에 해상 발전소를 시설할 예정이다.

해양연구원은	해양/NNG+연구원/NNG+은/JX
내년까지	내년/NNG+까지/JX
발전소	발전소/NNG
예정지	예정지/NNG
해상에서	해상/NNG+에서/JKB
파랑	파랑/NNG
관측과	관측/NNG+과/JC
해저	해저/NNG
지질조사	지질/NNG+조사/NNG
등을	등/NNB+을/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
2011년에	2011/SN+년/NNB+에/JKB
해상	해상/NNG
발전소를	발전소/NNG+를/JKO
시설할	시설/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.142.5.2
이어 2012년까지 무한 자원인 파도의 힘을 이용해 무공해 전기를 본격적으로 생산하는 실증시험을 진행할 계획이다.

이어	잇/VV+어/EC
2012년까지	2012/SN+년/NNB+까지/JX
무한	무한/NNG
자원인	자원/NNG+이/VCP+ㄴ/ETM
파도의	파도/NNG+의/JKG
힘을	힘/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
무공해	무/XPN+공해/NNG
전기를	전기/NNG+를/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
생산하는	생산/NNG+하/XSV+는/ETM
실증시험을	실증/NNG+시험/NNG+을/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.142.6.1
제주도는 이 실증시험이 성공하면 파력에너지 자원 개발사업을 선점하게 돼 대규모 발전단지 유치는 물론 발전시설을 방파제 등으로 복합적으로 이용할 수 있을 것으로 기대하고 있다.

제주도는	제주도/NNP+는/JX
이	이/MMD
실증시험이	실증/NNG+시험/NNG+이/JKS
성공하면	성공/NNG+하/XSV+면/EC
파력에너지	파력/NNG+에너지/NNG
자원	자원/NNG
개발사업을	개발/NNG+사업/NNG+을/JKO
선점하게	선점/NNG+하/XSV+게/EC
돼	되/VV+어/EC
대규모	대/XPN+규모/NNG
발전단지	발전/NNG+단지/NNG
유치는	유치/NNG+는/JX
물론	물론/MAG
발전시설을	발전/NNG+시설/NNG+을/JKO
방파제	방파제/NNG
등으로	등/NNB+으로/JKB
복합적으로	복합/NNG+적/XSN+으로/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.142.7.1
국토부는 2006년 150w급 소형 파력발전장치를 개발해 제주시 차귀도 해역에서 시험 가동에 들어가 성공했다.

국토부는	국토부/NNG+는/JX
2006년	2006/SN+년/NNB
150w급	150/SN+w/SW+급/NNG
소형	소형/NNG
파력발전장치를	파력/NNG+발전/NNG+장치/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
제주시	제주시/NNP
차귀도	차귀도/NNP
해역에서	해역/NNG+에서/JKB
시험	시험/NNG
가동에	가동/NNG+에/JKB
들어가	들어가/VV+아/EC
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


