# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.101
metadata : {}


# id : NWRW1800000024.101.1.1
‘경제 대들보’ 자동차 발판삼아 경기 부양

‘경제	‘/SS+경제/NNG
대들보’	대들보/NNG+’/SS
자동차	자동차/NNG
발판삼아	발판/NNG+삼/VV+아/EC
경기	경기/NNG
부양	부양/NNG


# id : NWRW1800000024.101.2.1
정부가 26일 발표한 ‘자동차산업 활성화 방안’에는 특정 산업을 지렛대 삼아 꺼져가는 경기를 살리겠다는 의도가 들어 있다.

정부가	정부/NNG+가/JKS
26일	26/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘자동차산업	‘/SS+자동차/NNG+산업/NNG
활성화	활성/NNG+화/XSN
방안’에는	방안/NNG+’/SS+에/JKB+는/JX
특정	특정/NNG
산업을	산업/NNG+을/JKO
지렛대	지렛대/NNG
삼아	삼/VV+아/EC
꺼져가는	꺼지/VV+어/EC+가/VX+는/ETM
경기를	경기/NNG+를/JKO
살리겠다는	살리/VV+겠/EP+다는/ETM
의도가	의도/NNG+가/JKS
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.101.2.2
그만큼 자동차산업의 경제적 파급력이 크다는 방증이다.

그만큼	그만큼/MAG
자동차산업의	자동차/NNG+산업/NNG+의/JKG
경제적	경제/NNG+적/XSN
파급력이	파급력/NNG+이/JKS
크다는	크/VA+다는/ETM
방증이다.	방증/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.101.2.3
국내 자동차산업의 직간접 고용인원은 160만명으로 경제활동인구의 6.7%, 사업체 총취업자의 10.4%를 차지하고 있다.

국내	국내/NNG
자동차산업의	자동차/NNG+산업/NNG+의/JKG
직간접	직간접/NNG
고용인원은	고용/NNG+인원/NNG+은/JX
160만명으로	160/SN+만/NR+명/NNB+으로/JKB
경제활동인구의	경제/NNG+활동/NNG+인구/NNG+의/JKG
6.7%,	6/SN+./SP+7/SN+%/SW+,/SP
사업체	사업체/NNG
총취업자의	총/MMA+취업자/NNG+의/JKG
10.4%를	10/SN+./SP+4/SN+%/SW+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.101.3.1
세계 각국의 자동차산업은 미국발 금융위기의 직격탄을 맞고 있다.

세계	세계/NNG
각국의	각국/NNG+의/JKG
자동차산업은	자동차/NNG+산업/NNG+은/JX
미국발	미국/NNP+발/XSN
금융위기의	금융/NNG+위기/NNG+의/JKG
직격탄을	직격탄/NNG+을/JKO
맞고	맞/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.101.3.2
제너럴모터스 등 미국의 자동차 3사(‘빅3’)는 월간 판매량이 1980년대 초 수준으로 떨어져 사실상 ‘식물기업’ 상태이고, 최강의 경쟁력을 자랑하는 일본의 도요타조차 최악의 경영 위기를 맞아 정부에 구제금융을 요청하고 있는 상황이다.

제너럴모터스	제너럴모터스/NNP
등	등/NNB
미국의	미국/NNP+의/JKG
자동차	자동차/NNG
3사(‘빅3’)는	3사/NNG+(/SS+‘/SS+빅/NNG+3/SN+’/SS+)/SS+는/JX
월간	월간/NNG
판매량이	판매량/NNG+이/JKS
1980년대	1980/SN+년대/NNB
초	초/NNB
수준으로	수준/NNG+으로/JKB
떨어져	떨어지/VV+어/EC
사실상	사실/NNG+상/XSN
‘식물기업’	‘/SS+식물/NNG+기업/NNG+’/SS
상태이고,	상태/NNG+이/VCP+고/EC+,/SP
최강의	최강/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
일본의	일본/NNP+의/JKG
도요타조차	도요타/NNP+조차/JX
최악의	최악/NNG+의/JKG
경영	경영/NNG
위기를	위기/NNG+를/JKO
맞아	맞/VV+아/EC
정부에	정부/NNG+에/JKB
구제금융을	구제/NNG+금융/NNG+을/JKO
요청하고	요청/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.101.4.1
이에 따라 세계 각국 정부는 경쟁적으로 자동차산업 지원에 나서고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
세계	세계/NNG
각국	각국/NNG
정부는	정부/NNG+는/JX
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
자동차산업	자동차/NNG+산업/NNG
지원에	지원/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.101.4.2
지엠은 이미 받은 134억달러의 구제금융 외에 166억달러를 추가로 미국 정부에 요청했다.

지엠은	지엠/NNP+은/JX
이미	이미/MAG
받은	받/VV+은/ETM
134억달러의	134/SN+억/NR+달러/NNB+의/JKG
구제금융	구제/NNG+금융/NNG
외에	외/NNB+에/JKB
166억달러를	166/SN+억/NR+달러/NNB+를/JKO
추가로	추가/NNG+로/JKB
미국	미국/NNP
정부에	정부/NNG+에/JKB
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.101.4.3
프랑스 정부는 푸조와 시트로앵은 각각 30억유로를 지원할 예정이다.

프랑스	프랑스/NNP
정부는	정부/NNG+는/JX
푸조와	푸조/NNP+와/JC
시트로앵은	시트로앵/NNP+은/JX
각각	각각/MAG
30억유로를	30/SN+억/NR+유로/NNB+를/JKO
지원할	지원/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.101.4.4
각국 정부는 이런 지원이 세계무역기구(WTO) 협정 위반이라는 시비에 걸리지 않도록, 연구·개발(R&D)이나 소비자 구매자금 지원 등 우회적인 방법을 동원하고 있다.

각국	각국/NNG
정부는	정부/NNG+는/JX
이런	이런/MMD
지원이	지원/NNG+이/JKS
세계무역기구(WTO)	세계무역기구/NNP+(/SS+WTO/SL+)/SS
협정	협정/NNG
위반이라는	위반/NNG+이/VCP+라는/ETM
시비에	시비/NNG+에/JKB
걸리지	걸리/VV+지/EC
않도록,	않/VX+도록/EC+,/SP
연구·개발(R&D)이나	연구/NNG+·/SP+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+이나/JC
소비자	소비자/NNG
구매자금	구매/NNG+자금/NNG
지원	지원/NNG
등	등/NNB
우회적인	우회/NNG+적/XSN+이/VCP+ㄴ/ETM
방법을	방법/NNG+을/JKO
동원하고	동원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.101.5.1
이번 정부의 지원에 대해 업계나 관련 전문가들은 대체적으로 “늦은 감이 있지만 환영”하는 분위기다.

이번	이번/NNG
정부의	정부/NNG+의/JKG
지원에	지원/NNG+에/JKB
대해	대하/VV+아/EC
업계나	업계/NNG+나/JC
관련	관련/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
대체적으로	대체/NNG+적/XSN+으로/JKB
“늦은	“/SS+늦/VA+은/ETM
감이	감/NNG+이/JKS
있지만	있/VA+지만/EC
환영”하는	환영/NNG+”/SS+하/XSV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.101.5.2
