# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.260
metadata : {}


# id : NWRW1800000046.260.1.1
[데스크에서] 해외로 '移民' 가는 기업들

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
해외로	해외/NNG+로/JKB
'移民'	'/SS+移民/SH+'/SS
가는	가/VV+는/ETM
기업들	기업/NNG+들/XSN


# id : NWRW1800000046.260.2.1
인터넷 소셜커머스 1위 업체 쿠팡(Coupang) 본사 주소지는 미국 델라웨어주다.

인터넷	인터넷/NNG
소셜커머스	소셜/NNG+커머스/NNG
1위	1/SN+위/NNB
업체	업체/NNG
쿠팡(Coupang)	쿠팡/NNP+(/SS+Coupang/SL+)/SS
본사	본사/NNG
주소지는	주소지/NNG+는/JX
미국	미국/NNP
델라웨어주다.	델라웨어주/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000046.260.2.2
본사 건물은 서울 강남구 삼성동에 있고 기업 활동도 한국에서 이뤄지지만 호적상으로는 미국인인 셈이다.

본사	본사/NNG
건물은	건물/NNG+은/JX
서울	서울/NNP
강남구	강남구/NNP
삼성동에	삼성동/NNP+에/JKB
있고	있/VA+고/EC
기업	기업/NNG
활동도	활동/NNG+도/JX
한국에서	한국/NNP+에서/JKB
이뤄지지만	이뤄지/VV+지만/EC
호적상으로는	호적/NNG+상/XSN+으로/JKB+는/JX
미국인인	미국인/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.260.2.3
게임업체 넥슨은 창업은 한국에서 했지만 기업 상장을 일본에서 하면서 본사를 일본으로 옮겼고, 넥슨코리아는 일본 넥슨의 지사다.

게임업체	게임업체/NNG
넥슨은	넥슨/NNP+은/JX
창업은	창업/NNG+은/JX
한국에서	한국/NNP+에서/JKB
했지만	하/VV+았/EP+지만/EC
기업	기업/NNG
상장을	상장/NNG+을/JKO
일본에서	일본/NNP+에서/JKB
하면서	하/VV+면서/EC
본사를	본사/NNG+를/JKO
일본으로	일본/NNP+으로/JKB
옮겼고,	옮기/VV+었/EP+고/EC+,/SP
넥슨코리아는	넥슨코리아/NNP+는/JX
일본	일본/NNP
넥슨의	넥슨/NNP+의/JKG
지사다.	지사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.260.3.1
