# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.38
metadata : {}


# id : NWRW1800000036.38.1.1
할리스·스타벅스·커피빈 ‘고무줄’ 커피량

할리스·스타벅스·커피빈	할리스/NNP+·/SP+스타벅스/NNP+·/SP+커피빈/NNP
‘고무줄’	‘/SS+고무줄/NNG+’/SS
커피량	커피/NNG+량/NNG


# id : NWRW1800000036.38.2.1
[한겨레] 마키아또·아메리카노 용량 매장 맘대로

[한겨레]	[/SS+한겨레/NNP+]/SS
마키아또·아메리카노	마키아또/NNG+·/SP+아메리카노/NNG
용량	용량/NNG
매장	매장/NNG
맘대로	맘대로/MAG


# id : NWRW1800000036.38.3.1
같은 브랜드끼리 최대 40% 차이

같은	같/VA+은/ETM
브랜드끼리	브랜드/NNG+끼리/XSN
최대	최대/NNG
40%	40/SN+%/SW
차이	차이/NNG


# id : NWRW1800000036.38.4.1
원가대비 가격 비교 ‘알맹이’ 빠져

원가대비	원가/NNG+대비/NNG
가격	가격/NNG
비교	비교/NNG
‘알맹이’	‘/SS+알맹이/NNG+’/SS
빠져	빠지/VV+어/EF


# id : NWRW1800000036.38.5.1
커피전문점에서 매일 2~3잔의 커피를 즐겨 마시는 학원강사 김아무개(30·여)씨는 평소 같은 브랜드의 커피인데도 맛이 다른 점이 의아했다.

커피전문점에서	커피/NNG+전문점/NNG+에서/JKB
매일	매일/MAG
2~3잔의	2/SN+~/SO+3/SN+잔/NNG+의/JKG
커피를	커피/NNG+를/JKO
즐겨	즐기/VV+어/EC
마시는	마시/VV+는/ETM
학원강사	학원/NNG+강사/NNG
김아무개(30·여)씨는	김/NNP+아무개/NP+(/SS+30/SN+·/SP+여/NNG+)/SS+씨/NNB+는/JX
평소	평소/NNG
같은	같/VA+은/ETM
브랜드의	브랜드/NNG+의/JKG
커피인데도	커피/NNG+이/VCP+ㄴ데/EC+도/JX
맛이	맛/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
점이	점/NNG+이/JKS
의아했다.	의아/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000036.38.5.2
김씨는 “유명 커피 체인이라서 비싸더라도 같은 맛을 기대하고 사 마시는데, 인사동점은 맛이 진하고 청계천점은 연한 식으로 서로 달라 혹시 속는 게 아닌가 하는 느낌이 든다”고 말했다.

김씨는	김/NNP+씨/NNB+는/JX
“유명	“/SS+유명/NNG
커피	커피/NNG
체인이라서	체인/NNG+이/VCP+라서/EC
비싸더라도	비싸/VA+더라도/EC
같은	같/VA+은/ETM
맛을	맛/NNG+을/JKO
기대하고	기대/NNG+하/XSV+고/EC
사	사/VV+아/EC
마시는데,	마시/VV+는데/EC+,/SP
인사동점은	인사동점/NNG+은/JX
맛이	맛/NNG+이/JKS
진하고	진하/VA+고/EC
청계천점은	청계천점/NNG+은/JX
연한	연하/VA+ㄴ/ETM
식으로	식/NNB+으로/JKB
서로	서로/MAG
달라	다르/VA+아/EC
혹시	혹시/MAG
속는	속/VV+는/ETM
게	거/NNB+이/JKC
아닌가	아니/VCN+ㄴ가/EF
하는	하/VV+는/ETM
느낌이	느낌/NNG+이/JKS
든다”고	들/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.38.6.1
한국소비자원은 유명 커피전문점 9곳을 대상으로 용량 관리 실태 등을 조사한 결과, 같은 브랜드의 같은 종류 커피인데도 점포에 따라 용량에서 최대 40%까지 차이가 났다고 5일 밝혔다.

한국소비자원은	한국소비자원/NNP+은/JX
유명	유명/NNG
커피전문점	커피/NNG+전문점/NNG
9곳을	9/SN+곳/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
용량	용량/NNG
관리	관리/NNG
실태	실태/NNG
등을	등/NNB+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
같은	같/VA+은/ETM
브랜드의	브랜드/NNG+의/JKG
종류	종류/NNG
커피인데도	커피/NNG+이/VCP+ㄴ데/EC+도/JX
점포에	점포/NNG+에/JKB
따라	따르/VV+아/EC
용량에서	용량/NNG+에서/JKB
최대	최대/NNG
40%까지	40/SN+%/SW+까지/JX
차이가	차이/NNG+가/JKS
났다고	나/VV+았/EP+다고/EC
5일	5/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.38.6.2
소비자원은 서울 및 경기 지역에 100개 이상의 매장을 가지고 있는 9개 커피전문점을 대상으로 각각 3곳의 점포에서 아메리카노와 카라멜마키아토 두 종류 커피를 10잔씩 구매해 조사했다.

소비자원은	소비자원/NNP+은/JX
서울	서울/NNP
및	및/MAG
경기	경기/NNP
지역에	지역/NNG+에/JKB
100개	100/SN+개/NNB
