# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.255
metadata : {}


# id : NWRW1800000030.255.1.1
[조선데스크] 한국 여자골프의 두 얼굴

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
한국	한국/NNP
여자골프의	여자/NNG+골프/NNG+의/JKG
두	두/MMN
얼굴	얼굴/NNG


# id : NWRW1800000030.255.2.1
"부모님은 저에게 행운이 덜 따라준 사람들을 돕는 것에 대해 말씀하셨죠.

"부모님은	"/SS+부모/NNG+님/XSN+은/JX
저에게	저/NP+에게/JKB
행운이	행운/NNG+이/JKS
덜	덜/MAG
따라준	따르/VV+아/EC+주/VX+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
돕는	돕/VV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
말씀하셨죠.	말씀/NNG+하/XSV+시/EP+었/EP+죠/EF+./SF


# id : NWRW1800000030.255.2.2
작년 멕시코에서 열린 대회에서 로레나 오초아가 돕고 있는 어린이들을 만날 기회가 있었습니다…."

작년	작년/NNG
멕시코에서	멕시코/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
대회에서	대회/NNG+에서/JKB
로레나	로레나/NNP
오초아가	오초아/NNP+가/JKS
돕고	돕/VV+고/EC
있는	있/VX+는/ETM
어린이들을	어린이/NNG+들/XSN+을/JKO
만날	만나/VV+ㄹ/ETM
기회가	기회/NNG+가/JKS
있었습니다…."	있/VA+었/EP+습니다/EF+…/SE+./SF+"/SS


# id : NWRW1800000030.255.3.1
아름다운 골프장을 배경으로 스물세 살 여자 골퍼가 자선(慈善)의 가치에 대해 이야기한다.

아름다운	아름답/VA+ㄴ/ETM
골프장을	골프장/NNG+을/JKO
배경으로	배경/NNG+으로/JKB
스물세	스물세/MMN
살	살/NNB
여자	여자/NNG
골퍼가	골퍼/NNG+가/JKS
자선(慈善)의	자선/NNG+(/SS+慈善/SH+)/SS+의/JKG
가치에	가치/NNG+에/JKB
대해	대하/VV+아/EC
이야기한다.	이야기/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.255.3.2
올해 미국 골프채널에 나오고 있는 미국여자프로골프(LPGA) 투어가 만든 30초짜리 이미지 광고다.

올해	올해/NNG
미국	미국/NNP
골프채널에	골프/NNG+채널/NNG+에/JKB
나오고	나오/VV+고/EC
있는	있/VX+는/ETM
미국여자프로골프(LPGA)	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS
투어가	투어/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
30초짜리	30/SN+초/NNB+짜리/XSN
이미지	이미지/NNG
광고다.	광고/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.255.3.3
골프와 기부를 주제로 만든 이 광고의 주인공은 한국 골퍼 김인경이다.

골프와	골프/NNG+와/JC
기부를	기부/NNG+를/JKO
주제로	주제/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
이	이/MMD
광고의	광고/NNG+의/JKG
주인공은	주인공/NNG+은/JX
한국	한국/NNP
골퍼	골퍼/NNG
김인경이다.	김인경/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000030.255.4.1
그는 작년 멕시코에서 열렸던 로레나 오초아 인비테이셔널에서 우승하고 나서, 상금 22만달러(약 2억4000만원)를 모두 기부했다.

그는	그/NP+는/JX
작년	작년/NNG
멕시코에서	멕시코/NNP+에서/JKB
열렸던	열리/VV+었/EP+던/ETM
로레나	로레나/NNP
오초아	오초아/NNP
인비테이셔널에서	인비테이셔널/NNG+에서/JKB
우승하고	우승/NNG+하/XSV+고/EC
나서,	나/VX+아서/EC+,/SP
상금	상금/NNG
22만달러(약	22/SN+만/NR+달러/NNB+(/SS+약/MMA
2억4000만원)를	2/SN+억/NR+4000/SN+만/NR+원/NNB+)/SS+를/JKO
모두	모두/MAG
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.255.4.2
대회가 열린 멕시코와 자신이 선수 생활을 하고 있는 미국의 자선재단에 절반씩 나누어 기부했다.

대회가	대회/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
멕시코와	멕시코/NNP+와/JC
자신이	자신/NNG+이/JKS
선수	선수/NNG
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
미국의	미국/NNP+의/JKG
자선재단에	자선/NNG+재단/NNG+에/JKB
절반씩	절반/NNG+씩/XSN
나누어	나누/VV+어/EC
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.255.4.3
그의 '통 큰 기부'를 미국 언론들은 작년 골프계 최고 미담으로 꼽았다.

그의	그/NP+의/JKG
'통	'/SS+통/NNG
큰	크/VA+ㄴ/ETM
기부'를	기부/NNG+'/SS+를/JKO
미국	미국/NNP
언론들은	언론/NNG+들/XSN+은/JX
작년	작년/NNG
골프계	골프/NNG+계/XSN
최고	최고/NNG
미담으로	미담/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.255.4.4
박세리와 신지애, 최나연 등 그동안 꾸준히 기부활동을 해온 한국 선수들에 대해서도 재조명했다.

박세리와	박세리/NNP+와/JC
신지애,	신지애/NNP+,/SP
최나연	최나연/NNP
등	등/NNB
그동안	그동안/NNG
꾸준히	꾸준히/MAG
기부활동을	기부/NNG+활동/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
한국	한국/NNP
선수들에	선수/NNG+들/XSN+에/JKB
대해서도	대하/VV+아서/EC+도/JX
재조명했다.	재/XPN+조명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.255.5.1
1998년 박세리가 US오픈 우승을 하면서 미 LPGA 투어에 몰려간 한국 선수들을 적지 않은 미국 팬들과 언론들은 차가운 시선으로 바라봤다.

1998년	1998/SN+년/NNB
박세리가	박세리/NNP+가/JKS
US오픈	US/SL+오픈/NNG
우승을	우승/NNG+을/JKO
하면서	하/VV+면서/EC
미	미/NNP
LPGA	LPGA/SL
투어에	투어/NNG+에/JKB
몰려간	몰려가/VV+ㄴ/ETM
한국	한국/NNP
선수들을	선수/NNG+들/XSN+을/JKO
적지	적/VA+지/EC
않은	않/VX+은/ETM
미국	미국/NNP
팬들과	팬/NNG+들/XSN+과/JC
언론들은	언론/NNG+들/XSN+은/JX
차가운	차갑/VA+ㄴ/ETM
시선으로	시선/NNG+으로/JKB
바라봤다.	바라보/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.255.5.2
영어도 못하면서 상금만 따가는 '골프기계'들이 미국 투어를 망가뜨린다는 것이었다.

영어도	영어/NNP+도/JX
못하면서	못/MAG+하/XSV+면서/EC
상금만	상금/NNG+만/JX
따가는	따/VV+아/EC+가/VX+는/ETM
'골프기계'들이	'/SS+골프/NNG+기계/NNG+'/SS+들/XSN+이/JKS
미국	미국/NNP
투어를	투어/NNG+를/JKO
망가뜨린다는	망가뜨리/VV+ㄴ다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.255.5.3
하지만 짧은 기간에 미국과 일본의 골프 실력을 따라잡았던 한국 여자골프가 선행(善行)에서도 정상급으로 성장한 것이다.

하지만	하지만/MAJ
짧은	짧/VA+은/ETM
기간에	기간/NNG+에/JKB
미국과	미국/NNP+과/JC
일본의	일본/NNP+의/JKG
골프	골프/NNG
실력을	실력/NNG+을/JKO
따라잡았던	따라잡/VV+았/EP+던/ETM
한국	한국/NNP
여자골프가	여자/NNG+골프/NNG+가/JKS
선행(善行)에서도	선행/NNG+(/SS+善行/SH+)/SS+에서/JKB+도/JX
정상급으로	정상급/NNG+으로/JKB
성장한	성장/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.255.5.4
이처럼 최근 한국 여자 프로골프는 세계 정상급 실력에 패션 감각으로 무장한 젊은 선수들이 등장하면서 성장을 거듭하고 있다.

이처럼	이/NP+처럼/JKB
최근	최근/NNG
한국	한국/NNP
여자	여자/NNG
프로골프는	프로/NNG+골프/NNG+는/JX
세계	세계/NNG
정상급	정상급/NNG
실력에	실력/NNG+에/JKB
패션	패션/NNG
감각으로	감각/NNG+으로/JKB
무장한	무장/NNG+하/XSV+ㄴ/ETM
젊은	젊/VA+은/ETM
선수들이	선수/NNG+들/XSN+이/JKS
등장하면서	등장/NNG+하/XSV+면서/EC
성장을	성장/NNG+을/JKO
거듭하고	거듭/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.255.5.5
1978년 남자 골프대회의 부속 대회로 상금 일부를 나눠 받으며 어렵게 출발했던 한국 여자골프는 이제 남자골프를 능가할 정도로 몸집이 커졌다.

1978년	1978/SN+년/NNB
남자	남자/NNG
골프대회의	골프/NNG+대회/NNG+의/JKG
부속	부속/NNG
대회로	대회/NNG+로/JKB
상금	상금/NNG
일부를	일부/NNG+를/JKO
나눠	나누/VV+어/EC
받으며	받/VV+으며/EC
어렵게	어렵/VA+게/EC
출발했던	출발/NNG+하/XSV+았/EP+던/ETM
한국	한국/NNP
여자골프는	여자/NNG+골프/NNG+는/JX
이제	이제/MAG
남자골프를	남자/NNG+골프/NNG+를/JKO
능가할	능가/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
몸집이	몸집/NNG+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.255.6.1
그런데 '성공 신화'의 주인공으로 칭찬받아야 할 한국 여자골프가 최근 '막장 드라마'나 다름없는 집안 싸움으로 지탄받고 있다.

그런데	그런데/MAJ
'성공	'/SS+성공/NNG
신화'의	신화/NNG+'/SS+의/JKG
주인공으로	주인공/NNG+으로/JKB
칭찬받아야	칭찬/NNG+받/XSV+아야/EC
할	하/VX+ㄹ/ETM
한국	한국/NNP
여자골프가	여자/NNG+골프/NNG+가/JKS
최근	최근/NNG
'막장	'/SS+막장/NNG
드라마'나	드라마/NNG+'/SS+나/JX
다름없는	다름없/VA+는/ETM
집안	집안/NNG
싸움으로	싸움/NNG+으로/JKB
지탄받고	지탄/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.255.6.2
지난달 기업가 출신인 한국여자프로골프협회 회장이 "선수 출신들을 제대로 대접하지 않는다"는 목소리에 밀려 쫓겨나듯 중도퇴진한 이후, 협회 창립 멤버들을 중심으로 '권력 다툼'이 벌어진 것이다.

지난달	지난달/NNG
기업가	기업가/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
한국여자프로골프협회	한국여자프로골프협회/NNP
회장이	회장/NNG+이/JKS
"선수	"/SS+선수/NNG
출신들을	출신/NNG+들/XSN+을/JKO
제대로	제대로/MAG
대접하지	대접/NNG+하/XSV+지/EC
않는다"는	않/VX+는다/EF+"/SS+는/ETM
목소리에	목소리/NNG+에/JKB
밀려	밀리/VV+어/EC
쫓겨나듯	쫓겨나/VV+듯/EC
중도퇴진한	중도/NNG+퇴진/NNG+하/XSV+ㄴ/ETM
이후,	이후/NNG+,/SP
협회	협회/NNG
창립	창립/NNG
멤버들을	멤버/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
'권력	'/SS+권력/NNG
다툼'이	다툼/NNG+'/SS+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.255.6.3
