# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.308
metadata : {}


# id : NWRW1800000030.308.1.1
[신공항 오늘 결정] 민주 '가덕도' 공약으로 '부산' 노린다

[신공항	[/SS+신/XPN+공항/NNG
오늘	오늘/NNG
결정]	결정/NNG+]/SS
민주	민주/NNP
'가덕도'	'/SS+가덕도/NNP+'/SS
공약으로	공약/NNG+으로/JKB
'부산'	'/SS+부산/NNP+'/SS
노린다	노리/VV+ㄴ다/EF


# id : NWRW1800000030.308.2.1
•신공항 백지화 논란 속 내년 총선 이슈로 활용

•신공항	•/SW+신/XPN+공항/NNG
백지화	백지/NNG+화/XSN
논란	논란/NNG
속	속/NNG
내년	내년/NNG
총선	총선/NNG
이슈로	이슈/NNG+로/JKB
활용	활용/NNG


# id : NWRW1800000030.308.3.1
내년 총선 때 부산에 출마할 예정인 민주당 김영춘 최고위원은 29일 동남권 신공항 건설 백지화 논란과 관련해 "나는 (부산) 가덕도에 신공항이 건설되는 게 옳다고 본다"며 "지금 와서 없던 일로 된다면 부산이든 대구·밀양이든 지역민들은 분노할 수밖에 없다"고 했다.

내년	내년/NNG
총선	총선/NNG
때	때/NNG
부산에	부산/NNP+에/JKB
출마할	출마/NNG+하/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
민주당	민주당/NNP
김영춘	김영춘/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
29일	29/SN+일/NNB
동남권	동남/NNG+권/XSN
신공항	신/XPN+공항/NNG
건설	건설/NNG
백지화	백지/NNG+화/XSN
논란과	논란/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
"나는	"/SS+나/NP+는/JX
(부산)	(/SS+부산/NNP+)/SS
가덕도에	가덕도/NNP+에/JKB
신공항이	신/XPN+공항/NNG+이/JKS
건설되는	건설/NNG+되/XSV+는/ETM
게	거/NNB+이/JKS
옳다고	옳/VA+다고/EC
본다"며	보/VV+ㄴ다/EF+"/SS+며/EC
"지금	"/SS+지금/MAG
와서	오/VV+아서/EC
없던	없/VA+던/ETM
일로	일/NNG+로/JKB
된다면	되/VV+ㄴ다면/EC
부산이든	부산/NNP+이든/JX
대구·밀양이든	대구/NNP+·/SP+밀양/NNP+이든/JX
지역민들은	지역민/NNG+들/XSN+은/JX
분노할	분노/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.308.3.2
그는 "입지조건이나 활용도가 뛰어난 해상공항은 세계적인 추세다. 내륙과의 접근성 면에서도 가덕도와 밀양은 큰 차이가 없다"며 '신공항 가덕도 유치'가 내년 총선에서 민주당의 부산 지역 주요 공약으로 채택될 가능성을 시사했다.

그는	그/NP+는/JX
"입지조건이나	"/SS+입지/NNG+조건/NNG+이나/JC
활용도가	활용도/NNG+가/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
해상공항은	해상/NNG+공항/NNG+은/JX
