# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.328
metadata : {}


# id : NWRW1800000021.328.1.1
국민銀 짜릿한 출발…女프로농구 신세계에 역전승

국민銀	국민/NNG+銀/SH
짜릿한	짜릿하/VA+ㄴ/ETM
출발…女프로농구	출발/NNG+…/SE+女/SH+프로/NNG+농구/NNG
신세계에	신세계/NNP+에/JKB
역전승	역전승/NNG


# id : NWRW1800000021.328.2.1
국민은행이 2009∼2010 여자프로농구 홈 개막전을 역전승으로 장식했다.

국민은행이	국민은행/NNP+이/JKS
2009∼2010	2009/SN+∼/SO+2010/SN
여자프로농구	여자/NNG+프로/NNG+농구/NNG
홈	홈/NNG
개막전을	개막전/NNG+을/JKO
역전승으로	역전승/NNG+으로/JKB
장식했다.	장식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.328.3.1
국민은행은 11일 천안 KB인재개발원체육관에서 열린 신세계와의 경기에서 정선화(21점)와 김영옥(15점)의 활약을 앞세워 81-77로 이겼다.

국민은행은	국민은행/NNP+은/JX
11일	11/SN+일/NNB
천안	천안/NNP
KB인재개발원체육관에서	KB인재개발원체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
신세계와의	신세계/NNP+와/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
정선화(21점)와	정선화/NNP+(/SS+21/SN+점/NNB+)/SS+와/JC
김영옥(15점)의	김영옥/NNP+(/SS+15/SN+점/NNB+)/SS+의/JKG
활약을	활약/NNG+을/JKO
앞세워	앞세우/VV+어/EC
81-77로	81/SN+-/SO+77/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.328.3.2
1쿼터에서 10점이나 뒤진 국민은행은 2쿼터 변연하(14점)의 3점슛 2개를 포함해 3점슛 4개로 추격에 나섰고 3쿼터 5분을 남겨두고 김영옥이 3점슛과 2점슛을 연속 성공시키며 58-63, 5점 차로 따라붙었다.

1쿼터에서	1/SN+쿼터/NNB+에서/JKB
10점이나	10/SN+점/NNB+이나/JX
뒤진	뒤지/VV+ㄴ/ETM
국민은행은	국민은행/NNP+은/JX
2쿼터	2/SN+쿼터/NNB
변연하(14점)의	변연하/NNP+(/SS+14/SN+점/NNB+)/SS+의/JKG
3점슛	3/SN+점/NNB+슛/NNG
2개를	2/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
4개로	4/SN+개/NNB+로/JKB
추격에	추격/NNG+에/JKB
나섰고	나서/VV+었/EP+고/EC
3쿼터	3/SN+쿼터/NNB
5분을	5/SN+분/NNB+을/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
김영옥이	김영옥/NNP+이/JKS
3점슛과	3/SN+점/NNB+슛/NNG+과/JC
2점슛을	2/SN+점/NNB+슛/NNG+을/JKO
연속	연속/NNG
성공시키며	성공/NNG+시키/XSV+며/EC
58-63,	58/SN+-/SO+63/SN+,/SP
5점	5/SN+점/NNB
차로	차/NNG+로/JKB
따라붙었다.	따라붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.328.3.3
마지막 4쿼터에서는 정선화가 펄펄 날았다.

마지막	마지막/NNG
4쿼터에서는	4/SN+쿼터/NNB+에서/JKB+는/JX
정선화가	정선화/NNP+가/JKS
펄펄	펄펄/MAG
날았다.	날/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.328.3.4
골밑을 장악한 정선화는 경기 종료 3분 전 2점슛으로 이날 첫 역전을 이끈 데 이어 종료 23초 전 77-77 동점에서 자유투 2개를 모두 집어넣어 승리의 발판을 만들었다.

골밑을	골/NNG+밑/NNG+을/JKO
장악한	장악/NNG+하/XSV+ㄴ/ETM
정선화는	정선화/NNP+는/JX
경기	경기/NNG
종료	종료/NNG
3분	3/SN+분/NNB
전	전/NNG
2점슛으로	2/SN+점/NNB+슛/NNG+으로/JKB
이날	이날/NNG
첫	첫/MMN
역전을	역전/NNG+을/JKO
이끈	이끌/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
23초	23/SN+초/NNB
77-77	77/SN+-/SO+77/SN
동점에서	동점/NNG+에서/JKB
자유투	자유투/NNG
2개를	2/SN+개/NNB+를/JKO
모두	모두/MAG
집어넣어	집어넣/VV+어/EC
승리의	승리/NNG+의/JKG
발판을	발판/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.328.3.5
신세계는 경기 막판 3분 사이 실책 3개가 뼈아팠다.

신세계는	신세계/NNP+는/JX
경기	경기/NNG
막판	막판/NNG
3분	3/SN+분/NNB
사이	사이/NNG
실책	실책/NNG
3개가	3/SN+개/NNB+가/JKS
뼈아팠다.	뼈아프/VA+았/EP+다/EF+./SF


