# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.160
metadata : {}


# id : NWRW1800000046.160.1.1
고검장 출신 변호사(박영수), 訴訟불만 60代에 흉기 피습

고검장	고검장/NNG
출신	출신/NNG
변호사(박영수),	변호사/NNG+(/SS+박영수/NNP+)/SS+,/SP
訴訟불만	訴訟/SH+불만/NNG
60代에	60/SN+代/SH+에/JKB
흉기	흉기/NNG
피습	피습/NNG


# id : NWRW1800000046.160.2.1
슬롯머신 대부 정덕진씨와 금전문제로 다투던 李모씨, 鄭씨 변호한 朴변호사 공격

슬롯머신	슬롯머신/NNG
대부	대부/NNG
정덕진씨와	정덕진/NNP+씨/NNB+와/JC
금전문제로	금전/NNG+문제/NNG+로/JKB
다투던	다투/VV+던/ETM
李모씨,	李/SH+모/NP+씨/NNB+,/SP
鄭씨	鄭/SH+씨/NNB
변호한	변호/NNG+하/XSV+ㄴ/ETM
朴변호사	朴/SH+변호사/NNG
공격	공격/NNG


# id : NWRW1800000046.160.3.1
대검 중수부장과 서울고검장을 지낸 박영수(63·사진) 변호사가 소송 결과에 불만을 품은 건설업체 대표 출신의 60대 남성으로부터 습격을 받았다.

대검	대검/NNG
중수부장과	중수부장/NNG+과/JC
서울고검장을	서울고검장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
박영수(63·사진)	박영수/NNP+(/SS+63/SN+·/SP+사진/NNG+)/SS
변호사가	변호사/NNG+가/JKS
소송	소송/NNG
결과에	결과/NNG+에/JKB
불만을	불만/NNG+을/JKO
품은	품/VV+은/ETM
건설업체	건설업체/NNG
대표	대표/NNG
출신의	출신/NNG+의/JKG
60대	60/SN+대/NNB
남성으로부터	남성/NNG+으로부터/JKB
습격을	습격/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.160.4.1
