# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.3
metadata : {}


# id : NWRW1800000037.3.1.1
진화하는 백화점 DM

진화하는	진화/NNG+하/XSV+는/ETM
백화점	백화점/NNG
DM	DM/SL


# id : NWRW1800000037.3.2.1
크기 2배-내용 잡지처럼 제품 코디법까지 담아 인기… 모바일 DM도 선보일 계획

크기	크기/NNG
2배-내용	2/SN+배/NNG+-/SO+내용/NNG
잡지처럼	잡지/NNG+처럼/JKB
제품	제품/NNG
코디법까지	코디법/NNG+까지/JX
담아	담/VV+아/EC
인기…	인기/NNG+…/SE
모바일	모바일/NNG
DM도	DM/SL+도/JX
선보일	선보이/VV+ㄹ/ETM
계획	계획/NNG


# id : NWRW1800000037.3.3.1
백화점 정기세일 첫날, 백화점이 개장하기도 전에 중년 여성들이 문 앞에 줄을 서는 광경을 심심치 않게 볼 수 있다.

백화점	백화점/NNG
정기세일	정기/NNG+세일/NNG
첫날,	첫날/NNG+,/SP
백화점이	백화점/NNG+이/JKS
개장하기도	개장/NNG+하/XSV+기/ETN+도/JX
전에	전/NNG+에/JKB
중년	중년/NNG
여성들이	여성/NNG+들/XSN+이/JKS
문	문/NNG
앞에	앞/NNG+에/JKB
줄을	줄/NNG+을/JKO
서는	서/VV+는/ETM
광경을	광경/NNG+을/JKO
심심치	심심하/VA+지/EC
않게	않/VX+게/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.3.3.2
‘선착순 100개 한정’으로 화장품 브랜드들이 나눠주는 견본품을 받으려고 백화점들이 집집마다 보낸 직접우편(DM)에 딸린 할인 쿠폰을 챙겨 온 고객들이다.

‘선착순	‘/SS+선착순/NNG
100개	100/SN+개/NNB
한정’으로	한정/NNG+’/SS+으로/JKB
화장품	화장품/NNG
브랜드들이	브랜드/NNG+들/XSN+이/JKS
나눠주는	나누/VV+어/EC+주/VX+는/ETM
견본품을	견본품/NNG+을/JKO
받으려고	받/VV+으려고/EC
백화점들이	백화점/NNG+들/XSN+이/JKS
집집마다	집집/NNG+마다/JX
보낸	보내/VV+ㄴ/ETM
직접우편(DM)에	직접/NNG+우편/NNG+(/SS+DM/SL+)/SS+에/JKB
딸린	딸리/VV+ㄴ/ETM
할인	할인/NNG
쿠폰을	쿠폰/NNG+을/JKO
챙겨	챙기/VV+어/EC
온	오/VX+ㄴ/ETM
고객들이다.	고객/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000037.3.3.3
이처럼 DM을 통해 행사 정보를 알리고 쿠폰을 보내는 것은 백화점들이 고객 정보를 마케팅에 적용하기 시작한 1990년대부터 지속된 ‘고전적인’ 마케팅 수단이다.

이처럼	이/NP+처럼/JKB
DM을	DM/SL+을/JKO
통해	통하/VV+아/EC
행사	행사/NNG
정보를	정보/NNG+를/JKO
알리고	알리/VV+고/EC
쿠폰을	쿠폰/NNG+을/JKO
보내는	보내/VV+는/ETM
것은	것/NNB+은/JX
백화점들이	백화점/NNG+들/XSN+이/JKS
고객	고객/NNG
마케팅에	마케팅/NNG+에/JKB
적용하기	적용/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
1990년대부터	1990/SN+년대/NNB+부터/JX
지속된	지속/NNG+되/XSV+ㄴ/ETM
‘고전적인’	‘/SS+고전/NNG+적/XSN+이/VCP+ㄴ/ETM+’/SS
마케팅	마케팅/NNG
수단이다.	수단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.3.4.1
백화점 DM이 최근 진화하고 있다.

백화점	백화점/NNG
DM이	DM/SL+이/JKS
최근	최근/MAG
진화하고	진화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.3.4.2
일방적으로 나열된 ‘30% 인하’ 같은 행사 개요보다는 구체적인 가격이 표시된 상품 정보를, 글보다 사진을 확인하고 싶은 소비자들을 겨냥해서다.

일방적으로	일방/NNG+적/XSN+으로/JKB
나열된	나열/NNG+되/XSV+ㄴ/ETM
‘30%	‘/SS+30/SN+%/SW
인하’	인하/NNG+’/SS
같은	같/VA+은/ETM
행사	행사/NNG
개요보다는	개요/NNG+보다/JKB+는/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
가격이	가격/NNG+이/JKS
표시된	표시/NNG+되/XSV+ㄴ/ETM
상품	상품/NNG
정보를,	정보/NNG+를/JKO+,/SP
글보다	글/NNG+보다/JKB
사진을	사진/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
소비자들을	소비자/NNG+들/XSN+을/JKO
겨냥해서다.	겨냥/NNG+하/XSV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000037.3.5.1
우선 DM의 크기가 커지고 모양도 잡지를 닮아가고 있다.

우선	우선/MAG
DM의	DM/SL+의/JKG
크기가	크기/NNG+가/JKS
커지고	커지/VV+고/EC
모양도	모양/NNG+도/JX
잡지를	잡지/NNG+를/JKO
닮아가고	닮/VV+아/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.3.5.2
초기 DM 크기는 가로 17.5cm, 세로 8cm로 ‘지폐’만 한 크기였다.

초기	초기/NNG
DM	DM/SL
크기는	크기/NNG+는/JX
가로	가로/NNG
17.5cm,	17/SN+./SP+5/SN+cm/SW+,/SP
세로	세로/NNG
8cm로	8/SN+cm/SW+로/JKB
‘지폐’만	‘/SS+지폐/NNG+’/SS+만/JX
한	하/VA+ㄴ/ETM
크기였다.	크기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.3.5.3
할인 및 사은품 교환 쿠폰을 넣어 현금과 같은 가치를 느끼게 하려는 의도였다.

할인	할인/NNG
및	및/MAG
사은품	사은품/NNG
교환	교환/NNG
쿠폰을	쿠폰/NNG+을/JKO
넣어	넣/VV+어/EC
현금과	현금/NNG+과/JKB
같은	같/VA+은/ETM
가치를	가치/NNG+를/JKO
느끼게	느끼/VV+게/EC
하려는	하/VX+려는/ETM
의도였다.	의도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.3.5.4
이 때문에 100페이지에 달하는 두툼한 DM이 미덕으로 꼽히기도 했다.

이	이/NP
때문에	때문/NNB+에/JKB
100페이지에	100/SN+페이지/NNG+에/JKB
달하는	달하/VV+는/ETM
두툼한	두툼하/VA+ㄴ/ETM
DM이	DM/SL+이/JKS
미덕으로	미덕/NNG+으로/JKB
꼽히기도	꼽히/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.3.6.1
2000년대 중반 일부 우수고객에게 뿌려진 DM부터 모양이 변하기 시작했다.

2000년대	2000/SN+년대/NNB
중반	중반/NNG
일부	일부/NNG
우수고객에게	우수/NNG+고객/NNG+에게/JKB
뿌려진	뿌리/VV+어/EC+지/VX+ㄴ/ETM
DM부터	DM/SL+부터/JX
