# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.394
metadata : {}


# id : NWRW1800000022.394.1.1
[인천·부천] 인천시 내년 예산 7조원 넘을 듯;지하철 추가 건설… 송도엔 국제 대학 캠퍼스

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
인천시	인천시/NNP
내년	내년/NNG
예산	예산/NNG
7조원	7/SN+조/NR+원/NNB
넘을	넘/VV+을/ETM
듯;지하철	듯/NNB+;/SW+지하철/NNG
추가	추가/NNG
건설…	건설/NNG+…/SE
송도엔	송도/NNP+에/JKB+ㄴ/JX
국제	국제/NNG
대학	대학/NNG
캠퍼스	캠퍼스/NNG


# id : NWRW1800000022.394.2.1
인천시의 예산이 내년에 사상 처음으로 7조원을 넘어설 것으로 보인다.

인천시의	인천시/NNP+의/JKG
예산이	예산/NNG+이/JKS
내년에	내년/NNG+에/JKB
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
7조원을	7/SN+조/NR+원/NNB+을/JKO
넘어설	넘어서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.394.3.1
시는 올해 본 예산 6조5583억원보다 8.7% 늘어난 7조1310억원의 2010년도 본 예산을 확정하고 시의회에 승인을 요청키로 했다.

시는	시/NNG+는/JX
올해	올해/NNG
본	본/NA
예산	예산/NNG
6조5583억원보다	6/SN+조/NR+5583/SN+억/NR+원/NNB+보다/JKB
8.7%	8/SN+./SP+7/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
7조1310억원의	7/SN+조/NR+1310/SN+억/NR+원/NNB+의/JKG
2010년도	2010/SN+년도/NNB
예산을	예산/NNG+을/JKO
확정하고	확정/NNG+하/XSV+고/EC
시의회에	시/NNG+의회/NNG+에/JKB
승인을	승인/NNG+을/JKO
요청키로	요청/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.394.3.2
이 중 지방세 수입 예상치는 2조5117억원으로, 시민 1인당 부담액은 92만9000원이 된다.

이	이/MMD
중	중/NNB
지방세	지방세/NNG
수입	수입/NNG
예상치는	예상/NNG+치/XSN+는/JX
2조5117억원으로,	2/SN+조/NR+5117/SN+억/NR+원/NNB+으로/JKB+,/SP
시민	시민/NNG
1인당	1/SN+인/NNG+당/XSN
부담액은	부담액/NNG+은/JX
92만9000원이	92/SN+만/NR+9000/SN+원/NNB+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.394.3.3
이는 올해의 87만380원에 비해 6.7%(5만8620원)가 늘어나는 것이다.

이는	이/NP+는/JX
올해의	올해/NNG+의/JKG
87만380원에	87/SN+만/NR+380/SN+원/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
6.7%(5만8620원)가	6/SN+./SP+7/SN+%/SW+(/SS+5/SN+만/NR+8620/SN+원/NNB+)/SS+가/JKS
늘어나는	늘어나/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.394.3.4
또 지방채 발행은 올해 본 예산 2465억원의 배가 넘는 4968억원을 발행할 예정인데 이 중 3500억원이 아시아경기대회 주경기장 건설을 위한 토지보상에 쓰인다.

또	또/MAG
지방채	지방채/NNG
발행은	발행/NNG+은/JX
올해	올해/NNG
본	본/NA
예산	예산/NNG
2465억원의	2465/SN+억/NR+원/NNB+의/JKG
배가	배/NNG+가/JKS
넘는	넘/VV+는/ETM
4968억원을	4968/SN+억/NR+원/NNB+을/JKO
발행할	발행/NNG+하/XSV+ㄹ/ETM
예정인데	예정/NNG+이/VCP+ㄴ데/EC
이	이/MMD
중	중/NNB
3500억원이	3500/SN+억/NR+원/NNB+이/JKS
아시아경기대회	아시아/NNP+경기/NNG+대회/NNG
주경기장	주/MMA+경기장/NNG
건설을	건설/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
토지보상에	토지/NNG+보상/NNG+에/JKB
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.394.3.5
이번 예산안은 오는 17일 열리는 시의회 정례회의 심의를 거쳐 확정된다

이번	이번/NNG
예산안은	예산안/NNG+은/JX
오는	오/VV+는/ETM
17일	17/SN+일/NNB
열리는	열리/VV+는/ETM
시의회	시/NNG+의회/NNG
정례회의	정례/NNG+회의/NNG
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
확정된다	확정/NNG+되/XSV+ㄴ다/EF


# id : NWRW1800000022.394.4.1
내년 예산의 주요 사용처는 다음과 같다.

내년	내년/NNG
예산의	예산/NNG+의/JKG
주요	주요/NNG
사용처는	사용처/NNG+는/JX
다음과	다음/NNG+과/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000022.394.5.1
◆국토와 지역개발 분야=송도 글로벌 대학캠퍼스 조성 929억원, 송도 인천타워 건립 466억원, 도심공원 조성 439억원, 주거환경개선사업 187억원, 국민임대주택 건설 54억원.

◆국토와	◆/SW+국토/NNG+와/JC
지역개발	지역/NNG+개발/NNG
분야=송도	분야/NNG+=/SW+송도/NNP
글로벌	글로벌/NNG
대학캠퍼스	대학/NNG+캠퍼스/NNG
조성	조성/NNG
929억원,	929/SN+억/NR+원/NNB+,/SP
송도	송도/NNP
인천타워	인천타워/NNP
건립	건립/NNG
466억원,	466/SN+억/NR+원/NNB+,/SP
도심공원	도심/NNG+공원/NNG
439억원,	439/SN+억/NR+원/NNB+,/SP
주거환경개선사업	주거/NNG+환경/NNG+개선/NNG+사업/NNG
187억원,	187/SN+억/NR+원/NNB+,/SP
국민임대주택	국민/NNG+임대/NNG+주택/NNG
건설	건설/NNG
54억원.	54/SN+억/NR+원/NNB+./SF


# id : NWRW1800000022.394.6.1
◆수송·교통 분야=지하철 2호선과 송도연장선 2단계 사업 2137억원, 서울지하철 7호선 인천 연장사업 500억원, 수인선 복선 전철 사업 174억원, 수도권 통합환승 할인과 버스 준공영제 지원 719억원, 공영주차장 건설 111억원, 송도해안도로 확장 200억원.

◆수송·교통	◆/SW+수송/NNG+·/SP+교통/NNG
분야=지하철	분야/NNG+=/SW+지하철/NNG
2호선과	2/SN+호선/NNB+과/JC
송도연장선	송도/NNP+연장선/NNG
2단계	2/SN+단계/NNG
사업	사업/NNG
2137억원,	2137/SN+억/NR+원/NNB+,/SP
서울지하철	서울지하철/NNP
7호선	7/SN+호선/NNB
인천	인천/NNP
연장사업	연장/NNG+사업/NNG
500억원,	500/SN+억/NR+원/NNB+,/SP
수인선	수인선/NNP
복선	복선/NNG
전철	전철/NNG
174억원,	174/SN+억/NR+원/NNB+,/SP
수도권	수도/NNG+권/XSN
통합환승	통합/NNG+환승/NNG
할인과	할인/NNG+과/JC
버스	버스/NNG
준공영제	준/XPN+공영/NNG+제/XSN
지원	지원/NNG
719억원,	719/SN+억/NR+원/NNB+,/SP
공영주차장	공영/NNG+주차장/NNG
건설	건설/NNG
111억원,	111/SN+억/NR+원/NNB+,/SP
송도해안도로	송도해안도로/NNP
확장	확장/NNG
200억원.	200/SN+억/NR+원/NNB+./SF


# id : NWRW1800000022.394.7.1
◆사회복지 분야=만 5세아·장애아 등의 보육료 지원 1540억원, 기초노령연금 1405억원, 어린이과학관 건립 150억원, 밥 굶는 아이 급식 지원 125억원, 노인인력 활용 지원사업 93억원.

