# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.8
metadata : {}


# id : NWRW1800000041.8.1.1
“2주도 못 버틸걸” 우려 딛고 완판녀로 승승장구

“2주도	“/SS+2/SN+주/NNB+도/JX
못	못/MAG
버틸걸”	버티/VV+ㄹ걸/EF+”/SS
우려	우려/NNG
딛고	딛/VV+고/EC
완판녀로	완판녀/NNG+로/JKB
승승장구	승승장구/NNG


# id : NWRW1800000041.8.2.1
“너 분명히 2주 만에 그만둔다.

“너	“/SS+너/NP
분명히	분명히/MAG
2주	2/SN+주/NNB
만에	만/NNB+에/JKB
그만둔다.	그만두/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.8.2.2
내가 장담한다.”

내가	내/NP+가/JKS
장담한다.”	장담/NNG+하/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000041.8.3.1
2007년 4월, 애경에 영업직 인턴사원으로 3명의 여성이 입사했다.

2007년	2007/SN+년/NNB
4월,	4/SN+월/NNB+,/SP
애경에	애경/NNP+에/JKB
영업직	영업직/NNG
인턴사원으로	인턴사원/NNG+으로/JKB
3명의	3/SN+명/NNB+의/JKG
여성이	여성/NNG+이/JKS
입사했다.	입사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.8.3.2
여성 영업사원이 들어온 것은 회사 창립 이후 처음이었다.

여성	여성/NNG
영업사원이	영업/NNG+사원/NNG+이/JKS
들어온	들어오/VV+ㄴ/ETM
것은	것/NNB+은/JX
회사	회사/NNG
창립	창립/NNG
이후	이후/NNG
처음이었다.	처음/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.8.3.3
중년 남성이 대부분인 대리점 사장과 마트 점장 등을 상대해야 하는 ‘험한 일’이라는 인식 때문이었다.

중년	중년/NNG
남성이	남성/NNG+이/JKS
대부분인	대/XPN+부분/NNG+이/VCP+ㄴ/ETM
대리점	대리점/NNG
사장과	사장/NNG+과/JC
마트	마트/NNG
점장	점장/NNG
등을	등/NNB+을/JKO
상대해야	상대/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
‘험한	‘/SS+험하/VA+ㄴ/ETM
일’이라는	일/NNG+’/SS+이/VCP+라는/ETM
인식	인식/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.8.4.1
3명 중 가장 얌전해보였던 심선주 씨(31)는 선배들에게서 ‘오래 못 버틸 것’이라는 얘기를 가장 많이 들었다.

3명	3/SN+명/NNB
중	중/NNB
가장	가장/MAG
얌전해보였던	얌전/NNG+하/XSA+아/EC+보이/VV+었/EP+던/ETM
심선주	심선주/NNP
씨(31)는	씨/NNB+(/SS+31/SN+)/SS+는/JX
선배들에게서	선배/NNG+들/XSN+에게서/JKB
‘오래	‘/SS+오래/MAG
못	못/MAG
버틸	버티/VV+ㄹ/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
얘기를	얘기/NNG+를/JKO
많이	많이/MAG
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.8.4.2
다행히 두 달간의 인턴 기간이 끝나고 3명은 모두 정직원으로 채용됐다.

다행히	다행히/MAG
두	두/MMN
달간의	달/NNB+간/XSN+의/JKG
인턴	인턴/NNG
기간이	기간/NNG+이/JKS
끝나고	끝나/VV+고/EC
3명은	3/SN+명/NNB+은/JX
모두	모두/MAG
정직원으로	정직원/NNG+으로/JKB
채용됐다.	채용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.8.4.3
그때도 심 씨는 ‘정말 할 거냐’는 선배들의 우려를 들었다.

그때도	그때/NNG+도/JX
심	심/NNP
씨는	씨/NNB+는/JX
‘정말	‘/SS+정말/MAG
할	하/VV+ㄹ/ETM
거냐’는	거/NNB+이/VCP+냐/EF+’/SS+는/ETM
선배들의	선배/NNG+들/XSN+의/JKG
우려를	우려/NNG+를/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.8.5.1
7년이 지난 지금, 당시 입사한 여성 3명 중 현재 남아 있는 사람은 심 씨가 유일하다.

7년이	7/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
지금,	지금/MAG+,/SP
당시	당시/NNG
입사한	입사/NNG+하/XSV+ㄴ/ETM
여성	여성/NNG
3명	3/SN+명/NNB
중	중/NNB
현재	현재/MAG
남아	남/VV+아/EC
있는	있/VX+는/ETM
사람은	사람/NNG+은/JX
심	심/NNP
씨가	씨/NNB+가/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.8.5.2
그녀는 현재 전국 2만5000여 개 편의점에 애경의 생활용품을 납품하는 일을 책임지고 있다.

그녀는	그녀/NP+는/JX
현재	현재/MAG
전국	전국/NNG
2만5000여	2/SN+만/NR+5000/SN+여/XSN
개	개/NNB
편의점에	편의점/NNG+에/JKB
애경의	애경/NNP+의/JKG
생활용품을	생활용품/NNG+을/JKO
납품하는	납품/NNG+하/XSV+는/ETM
일을	일/NNG+을/JKO
책임지고	책임지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.8.6.1
영업직으로 일하는 것은 심 씨의 오랜 목표였다.

영업직으로	영업직/NNG+으로/JKB
일하는	일/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
심	심/NNP
씨의	씨/NNB+의/JKG
오랜	오랜/MMA
목표였다.	목표/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.8.6.2
적성에 맞는다고 생각했기 때문이다.

적성에	적성/NNG+에/JKB
맞는다고	맞/VV+는다고/EC
생각했기	생각/NNG+하/XSV+았/EP+기/ETN
