# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.229
metadata : {}


# id : NWRW1800000054.229.1.1
[서초동 25시] '과거'에 파묻힌 윤석열의 푸념

[서초동	[/SS+서초동/NNP
25시]	25/SN+시/NNB+]/SS
'과거'에	'/SS+과거/NNG+'/SS+에/JKB
파묻힌	파묻히/VV+ㄴ/ETM
윤석열의	윤석열/NNP+의/JKG
푸념	푸념/NNG


# id : NWRW1800000054.229.2.1
前, 前前, 前前前 정권 일까지 '적폐 수사' 의뢰 쏟아지자 "후배들 지금도 죽을 고생하는데"

前,	前/SH+,/SP
前前,	前前/SH+,/SP
前前前	前前前/SH
정권	정권/NNG
일까지	일/NNG+까지/JX
'적폐	'/SS+적폐/NNG
수사'	수사/NNG+'/SS
의뢰	의뢰/NNG
쏟아지자	쏟아지/VV+자/EC
"후배들	"/SS+후배/NNG+들/XSN
지금도	지금/NNG+도/JX
죽을	죽/VV+을/ETM
고생하는데"	고생/NNG+하/XSV+는데/EC+"/SS


# id : NWRW1800000054.229.3.1
23일 국회 법제사법위원회의 국정감사가 열린 서울고검 회의실.

23일	23/SN+일/NNB
국회	국회/NNG
법제사법위원회의	법제/NNG+사법/NNG+위원회/NNG+의/JKG
국정감사가	국정/NNG+감사/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
서울고검	서울고검/NNP
회의실.	회의실/NNG+./SF


# id : NWRW1800000054.229.3.2
국감이 마무리될 즈음인 밤 9시 20분쯤 국민의당 박지원 의원이 질의에 나섰다.

국감이	국감/NNG+이/JKS
마무리될	마무리/NNG+되/XSV+ㄹ/ETM
즈음인	즈음/NNB+이/VCP+ㄴ/ETM
밤	밤/NNG
9시	9/SN+시/NNB
20분쯤	20/SN+분/NNB+쯤/XSN
국민의당	국민의당/NNP
박지원	박지원/NNP
의원이	의원/NNG+이/JKS
질의에	질의/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.229.4.1
박 의원은 이날 국정원 개혁위가 '2009년 노무현 전 대통령 수사 당시 국정원 관계자가 수사에 간섭을 했다'고 발표한 걸 거론하면서 윤석열〈사진〉 서울중앙지검장에게 "(국정원 개혁위가) 수사 의뢰한 거 알고 있습니까"라고 물었다.

박	박/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
국정원	국정원/NNG
개혁위가	개혁위/NNG+가/JKS
'2009년	'/SS+2009/SN+년/NNB
노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
수사	수사/NNG
당시	당시/NNG
관계자가	관계자/NNG+가/JKS
수사에	수사/NNG+에/JKB
간섭을	간섭/NNG+을/JKO
했다'고	하/VV+았/EP+다/EF+'/SS+고/JKQ
발표한	발표/NNG+하/XSV+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
거론하면서	거론/NNG+하/XSV+면서/EC
윤석열〈사진〉	윤석열/NNP+〈/SS+사진/NNG+〉/SS
서울중앙지검장에게	서울중앙지검장/NNG+에게/JKB
"(국정원	"/SS+(/SS+국정원/NNG
개혁위가)	개혁위/NNG+가/JKS+)/SS
의뢰한	의뢰/NNG+하/XSV+ㄴ/ETM
거	거/NNB
알고	알/VV+고/EC
있습니까"라고	있/VX+습니까/EF+"/SS+라고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.229.4.2
질문을 받은 윤 지검장은 갑자기 웃음을 지었다.

질문을	질문/NNG+을/JKO
받은	받/VV+은/ETM
윤	윤/NNP
지검장은	지검장/NNG+은/JX
갑자기	갑자기/MAG
웃음을	웃음/NNG+을/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.229.5.1
박 의원이 '검사장이 웃으시면 안 되죠.

박	박/NNP
의원이	의원/NNG+이/JKS
'검사장이	'/SS+검사장/NNG+이/JKS
웃으시면	웃/VV+으시/EP+면/EC
안	안/MAG
되죠.	되/VV+죠/EF+./SF


# id : NWRW1800000054.229.5.2
재밌어요?'라고 하자 윤 지검장은 자세를 고쳐 앉더니 말했다.

재밌어요?'라고	재밌/VA+어요/EF+?/SF+'/SS+라고/JKQ
하자	하/VV+자/EC
윤	윤/NNP
지검장은	지검장/NNG+은/JX
자세를	자세/NNG+를/JKO
고쳐	고치/VV+어/EC
앉더니	앉/VV+더니/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.229.5.3
"그게 아닙니다.

"그게	"/SS+그거/NP+이/JKC
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000054.229.5.4
지금도 (국정원 개혁위에서) 수사 의뢰된 사건들을 조사하느라 후배들이 죽을 고생을 하고 있는데, 자꾸 오니까…."

지금도	지금/NNG+도/JX
(국정원	(/SS+국정원/NNG
개혁위에서)	개혁위/NNG+에서/JKB+)/SS
수사	수사/NNG
의뢰된	의뢰/NNG+되/XSV+ㄴ/ETM
