# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.391
metadata : {}


# id : NWRW1800000046.391.1.1
親朴도 숨고르기

親朴도	親朴/SH+도/JX
숨고르기	숨/NNG+고르/VV+기/ETN


# id : NWRW1800000046.391.2.1
"金대표가 긁어 부스럼" 지적하면서도, "청와대가 직접 나설 필요는 없었는데…"

"金대표가	"/SS+金/SH+대표/NNG+가/JKS
긁어	긁/VV+어/EC
부스럼"	부스럼/NNG+"/SS
지적하면서도,	지적/NNG+하/XSV+면서/EC+도/JX+,/SP
"청와대가	"/SS+청와대/NNP+가/JKS
직접	직접/MAG
나설	나서/VV+ㄹ/ETM
필요는	필요/NNG+는/JX
없었는데…"	없/VA+었/EP+는데/EC+…/SE+"/SS


# id : NWRW1800000046.391.3.1
새누리당 친박(親朴) 진영은 1일 '안심번호 국민공천제'를 계속 공격하면서도 한편으로 김무성 대표와의 확전(擴戰)을 자제하려는 모습을 보였다.

새누리당	새누리당/NNP
친박(親朴)	친/XPN+박/NNP+(/SS+親朴/SH+)/SS
진영은	진영/NNG+은/JX
1일	1/SN+일/NNB
'안심번호	'/SS+안심/NNG+번호/NNG
국민공천제'를	국민/NNG+공천/NNG+제/XSN+'/SS+를/JKO
계속	계속/MAG
공격하면서도	공격/NNG+하/XSV+면서/EC+도/JX
한편으로	한편/NNG+으로/JKB
김무성	김무성/NNP
대표와의	대표/NNG+와/JKB+의/JKG
확전(擴戰)을	확전/NNG+(/SS+擴戰/SH+)/SS+을/JKO
자제하려는	자제/NNG+하/XSV+려는/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.391.3.2
비공식 자리에선 청와대가 안심번호제를 비판하고 나선 데 대해 "굳이 직접 나설 필요까진 없었을 텐데… 타이밍이 적절치 못했다"는 반응을 보이기도 했다.

비공식	비/XPN+공식/NNG
자리에선	자리/NNG+에서/JKB+ㄴ/JX
청와대가	청와대/NNP+가/JKS
안심번호제를	안심/NNG+번호/NNG+제/XSN+를/JKO
비판하고	비판/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
"굳이	"/SS+굳이/MAG
직접	직접/MAG
