# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.102
metadata : {}


# id : NWRW1800000054.102.1.1
"이웃·환자 위한 음악회… 1000회까지 열 것"

"이웃·환자	"/SS+이웃/NNG+·/SP+환자/NNG
위한	위하/VV+ㄴ/ETM
음악회…	음악회/NNG+…/SE
1000회까지	1000/SN+회/NNB+까지/JX
열	열/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000054.102.2.1
부산 웰니스병원 강동완 원장, 병원서 10년간 열어 500회 돌파

부산	부산/NNP
웰니스병원	웰니스병원/NNP
강동완	강동완/NNP
원장,	원장/NNG+,/SP
병원서	병원/NNG+서/JKB
10년간	10/SN+년/NNB+간/XSN
열어	열/VV+어/EC
500회	500/SN+회/NNB
돌파	돌파/NNG


# id : NWRW1800000054.102.3.1
"지역 주민, 환자들이 음악을 들으며 눈시울을 붉히고 흐뭇한 미소를 짓는 모습을 보면 참 행복합니다."

"지역	"/SS+지역/NNG
주민,	주민/NNG+,/SP
환자들이	환자/NNG+들/XSN+이/JKS
음악을	음악/NNG+을/JKO
들으며	듣/VV+으며/EC
눈시울을	눈시울/NNG+을/JKO
붉히고	붉히/VV+고/EC
흐뭇한	흐뭇하/VA+ㄴ/ETM
미소를	미소/NNG+를/JKO
짓는	짓/VV+는/ETM
모습을	모습/NNG+을/JKO
보면	보/VV+면/EC
참	참/MAG
행복합니다."	행복/NNG+하/XSA+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.102.3.2
부산 연제구 연산동 웰니스병원 강동완(59·사진) 원장은 "음악은 상처받고 부서진 마음에 위로를 주고 사람들을 하나 되게 만들어 주는 것 같다"고 말했다.

부산	부산/NNP
연제구	연제구/NNP
연산동	연산동/NNP
웰니스병원	웰니스병원/NNP
강동완(59·사진)	강동완/NNP+(/SS+59/SN+·/SP+사진/NNG+)/SS
원장은	원장/NNG+은/JX
"음악은	"/SS+음악/NNG+은/JX
상처받고	상처/NNG+받/XSV+고/EC
부서진	부서지/VV+ㄴ/ETM
마음에	마음/NNG+에/JKB
위로를	위로/NNG+를/JKO
주고	주/VV+고/EC
사람들을	사람/NNG+들/XSN+을/JKO
하나	하나/NR
되게	되/VV+게/EC
만들어	만들/VV+어/EC
주는	주/VX+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.102.4.1
강 원장이 이웃 주민과 환자들을 위해 2007년 3월 7일부터 매주 토요일 웰니스병원 1층 로비에서 열고 있는 음악회가 최근 500회를 맞았다.

강	강/NNP
원장이	원장/NNG+이/JKS
이웃	이웃/NNG
주민과	주민/NNG+과/JC
환자들을	환자/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
2007년	2007/SN+년/NNB
3월	3/SN+월/NNB
7일부터	7/SN+일/NNB+부터/JX
매주	매주/MAG
토요일	토요일/NNG
웰니스병원	웰니스병원/NNP
1층	1/SN+층/NNG
로비에서	로비/NNG+에서/JKB
열고	열/VV+고/EC
있는	있/VX+는/ETM
음악회가	음악회/NNG+가/JKS
최근	최근/MAG
500회를	500/SN+회/NNB+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.102.4.2
10년간 한 번도 거르지 않았다.

10년간	10/SN+년/NNB+간/XSN
한	한/MMN
번도	번/NNB+도/JX
거르지	거르/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.102.4.3
지난 4일 열린 500회 음악회에는 부산을 중심으로 활동 중인 테너 이칠성, 소프라노 박현정씨 등이 출연해 '마이 웨이' '10월의 어느 멋진 날에' 등을 불렀다.

지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
열린	열리/VV+ㄴ/ETM
500회	500/SN+회/NNB
음악회에는	음악회/NNG+에/JKB+는/JX
부산을	부산/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
테너	테너/NNG
이칠성,	이칠성/NNP+,/SP
소프라노	소프라노/NNG
박현정씨	박현정/NNP+씨/NNB
등이	등/NNB+이/JKS
출연해	출연/NNG+하/XSV+아/EC
'마이	'/SS+마이/NNP
웨이'	웨이/NNG+'/SS
'10월의	'/SS+10/SN+월/NNB+의/JKG
어느	어느/MMD
멋진	멋지/VA+ㄴ/ETM
날에'	날/NNG+에/JKB+'/SS
등을	등/NNB+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.102.5.1
인근 주민 장미화(49)씨는 "좋은 음악을 현장에서 들으니 요즘 어수선한 사건들로 더욱 고단한 마음에 큰 위로가 됐다"고 말했다.

인근	인근/NNG
주민	주민/NNG
장미화(49)씨는	장미화/NNP+(/SS+49/SN+)/SS+씨/NNB+는/JX
"좋은	"/SS+좋/VA+은/ETM
음악을	음악/NNG+을/JKO
현장에서	현장/NNG+에서/JKB
들으니	듣/VV+으니/EC
요즘	요즘/NNG
어수선한	어수선하/VA+ㄴ/ETM
사건들로	사건/NNG+들/XSN+로/JKB
더욱	더욱/MAG
고단한	고단하/VA+ㄴ/ETM
마음에	마음/NNG+에/JKB
큰	크/VA+ㄴ/ETM
위로가	위로/NNG+가/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.102.5.2
음악회는 사실상 연주자나 성악가의 자원봉사로 진행된다.

음악회는	음악회/NNG+는/JX
사실상	사실/NNG+상/XSN
연주자나	연주자/NNG+나/JC
성악가의	성악가/NNG+의/JKG
자원봉사로	자원봉사/NNG+로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.102.5.3
피아니스트 토마스 슐츠, 뉴욕필하모닉 종신단원인 바이올리니스트 오주영, 캐나다 밴쿠버교향악단 첼리스트 김욱영씨 등 세계를 무대로 활동하는 이들도 이 작은 무대에 섰다.

피아니스트	피아니스트/NNG
토마스	토마스/NNP
슐츠,	슐츠/NNP+,/SP
뉴욕필하모닉	뉴욕필하모닉/NNP
종신단원인	종신/NNG+단원/NNG+이/VCP+ㄴ/ETM
바이올리니스트	바이올리니스트/NNG
오주영,	오주영/NNP+,/SP
캐나다	캐나다/NNP
밴쿠버교향악단	밴쿠버교향악단/NNP
첼리스트	첼리스트/NNG
김욱영씨	김욱영/NNP+씨/NNB
등	등/NNB
세계를	세계/NNG+를/JKO
무대로	무대/NNG+로/JKB
활동하는	활동/NNG+하/XSV+는/ETM
이들도	이/NNB+들/XSN+도/JX
이	이/MMD
작은	작/VA+은/ETM
무대에	무대/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.102.5.4
테너 이칠성씨는 "'나눌 힘이 내게 있구나'라는 느낌이 도리어 내게 힘을 주는 것 같다"고 했다.

테너	테너/NNG
이칠성씨는	이칠성/NNP+씨/NNB+는/JX
"'나눌	"/SS+'/SS+나누/VV+ㄹ/ETM
힘이	힘/NNG+이/JKS
내게	나/NP+에게/JKB
있구나'라는	있/VA+구나/EF+'/SS+이/VCP+라는/ETM
느낌이	느낌/NNG+이/JKS
도리어	도리어/MAG
힘을	힘/NNG+을/JKO
주는	주/VV+는/ETM
것	것/NNB
