# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.280
metadata : {}


# id : NWRW1800000036.280.1.1
서울시의회, 주민참여예산 대폭 줄여

서울시의회,	서울시의회/NNP+,/SP
주민참여예산	주민/NNG+참여/NNG+예산/NNG
대폭	대폭/MAG
줄여	줄이/VV+어/EF


# id : NWRW1800000036.280.2.1
[한겨레] ‘2013년 예산안’ 상임위 예비심사

[한겨레]	[/SS+한겨레/NNP+]/SS
‘2013년	‘/SS+2013/SN+년/NNB
예산안’	예산안/NNG+’/SS
상임위	상임위/NNG
예비심사	예비/NNG+심사/NNG


# id : NWRW1800000036.280.3.1
한부모가정 지원 등 상당수 빠져

한부모가정	한/MMN+부모/NNG+가정/NNG
지원	지원/NNG
등	등/NNB
상당수	상당수/NNG
빠져	빠지/VV+어/EF


# id : NWRW1800000036.280.4.1
선심성 토건사업은 대규모 증액

선심성	선심/NNG+성/XSN
토건사업은	토건/NNG+사업/NNG+은/JX
대규모	대/XPN+규모/NNG
증액	증액/NNG


# id : NWRW1800000036.280.5.1
서울시의회가 2013년도 예산안 심의 과정에서 올해 처음 도입된 주민참여예산제 사업 상당수를 기준 없이 폐기하면서도 지역구의 선심성 토건사업은 대규모로 증액해 논란이 일고 있다.

서울시의회가	서울시의회/NNP+가/JKS
2013년도	2013/SN+년도/NNB
예산안	예산안/NNG
심의	심의/NNG
과정에서	과정/NNG+에서/JKB
올해	올해/NNG
처음	처음/NNG
도입된	도입/NNG+되/XSV+ㄴ/ETM
주민참여예산제	주민/NNG+참여/NNG+예산/NNG+제/XSN
사업	사업/NNG
상당수를	상당수/NNG+를/JKO
기준	기준/NNG
없이	없이/MAG
폐기하면서도	폐기/NNG+하/XSV+면서/EC+도/JX
지역구의	지역구/NNG+의/JKG
선심성	선심/NNG+성/XSN
토건사업은	토건/NNG+사업/NNG+은/JX
대규모로	대/XPN+규모/NNG+로/JKB
증액해	증액/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.280.6.1
서울시와 진보신당 서울시당 등의 얘기를 종합하면, 시의회는 상임위의 예산안 예비심사 단계에서 500억원 규모로 편성·제출된 주민참여예산 사업 가운데 복지·건강·여성·문화 부문을 중심으로 사업예산을 대폭 삭감했다.

서울시와	서울시/NNP+와/JC
진보신당	진보신당/NNP
서울시당	서울시/NNP+당/NNG
등의	등/NNB+의/JKG
얘기를	얘기/NNG+를/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
시의회는	시/NNG+의회/NNG+는/JX
상임위의	상임위/NNG+의/JKG
예산안	예산안/NNG
예비심사	예비/NNG+심사/NNG
단계에서	단계/NNG+에서/JKB
500억원	500/SN+억/NR+원/NNB
규모로	규모/NNG+로/JKB
편성·제출된	편성/NNG+·/SP+제출/NNG+되/XSV+ㄴ/ETM
주민참여예산	주민/NNG+참여/NNG+예산/NNG
사업	사업/NNG
가운데	가운데/NNG
복지·건강·여성·문화	복지/NNG+·/SP+건강/NNG+·/SP+여성/NNG+·/SP+문화/NNG
부문을	부문/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
사업예산을	사업/NNG+예산/NNG+을/JKO
대폭	대폭/MAG
삭감했다.	삭감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.280.6.2
시의회는 사업 중복과 구체성 부족, 자치구 간 형평성 등을 삭감 이유로 들었다.

시의회는	시/NNG+의회/NNG+는/JX
사업	사업/NNG
중복과	중복/NNG+과/JC
구체성	구체/NNG+성/XSN
부족,	부족/NNG+,/SP
자치구	자치구/NNG
간	간/NNB
형평성	형평/NNG+성/XSN
등을	등/NNB+을/JKO
삭감	삭감/NNG
이유로	이유/NNG+로/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.280.7.1
시 여성가족정책실 관할에서만 11개 사업이 전액 삭감됐다.

시	시/NNG
여성가족정책실	여성/NNG+가족/NNG+정책실/NNG
관할에서만	관할/NNG+에서/JKB+만/JX
11개	11/SN+개/NNB
사업이	사업/NNG+이/JKS
전액	전액/NNG
삭감됐다.	삭감/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.280.7.2
9월 주민참여예산 사업 선정 과정에서 200명의 시민위원들로부터 11번째(전체 132개 사업)로 다득표한 한부모가족 지원센터 설치 사업을 필두로, 한부모가정 이해교육강사 양성 교육, 아이들이 행복한 놀이마당, 토요마을학교 운영 사업 등이 전액 삭감됐다.

9월	9/SN+월/NNB
주민참여예산	주민/NNG+참여/NNG+예산/NNG
사업	사업/NNG
선정	선정/NNG
과정에서	과정/NNG+에서/JKB
200명의	200/SN+명/NNB+의/JKG
시민위원들로부터	시민/NNG+위원/NNG+들/XSN+로부터/JKB
11번째(전체	11/SN+번/NNB+째/XSN+(/SS+전체/NNG
132개	132/SN+개/NNB
사업)로	사업/NNG+)/SS+로/JKB
다득표한	다득표/NNG+하/XSV+ㄴ/ETM
한부모가족	한/MMN+부모/NNG+가족/NNG
지원센터	지원/NNG+센터/NNG
설치	설치/NNG
사업을	사업/NNG+을/JKO
필두로,	필두/NNG+로/JKB+,/SP
한부모가정	한/MMN+부모/NNG+가정/NNG
이해교육강사	이해/NNG+교육/NNG+강사/NNG
양성	양성/NNG
교육,	교육/NNG+,/SP
아이들이	아이/NNG+들/XSN+이/JKS
행복한	행복/NNG+하/XSA+ㄴ/ETM
놀이마당,	놀이마당/NNG+,/SP
토요마을학교	토요/NNG+마을/NNG+학교/NNG
운영	운영/NNG
등이	등/NNB+이/JKS
전액	전액/NNG
삭감됐다.	삭감/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.280.7.3
자치구 사업이 아닌 시 광역사업으로 주목받았던 서울시 문화재 스탬프 여행사업도 전액 삭감되었다.

자치구	자치구/NNG
사업이	사업/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
시	시/NNG
광역사업으로	광역/NNG+사업/NNG+으로/JKB
주목받았던	주목/NNG+받/XSV+았/EP+던/ETM
서울시	서울시/NNP
문화재	문화재/NNG
스탬프	스탬프/NNG
여행사업도	여행/NNG+사업/NNG+도/JX
전액	전액/NNG
삭감되었다.	삭감/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.280.7.4
2억~10억원 규모의 사업들이다.

2억~10억원	2/SN+억/NR+~/SO+10/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
사업들이다.	사업/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.280.8.1
서울시는 광역지방자치단체 가운데 처음으로 지난 5월 주민참여예산제를 운영해 402개의 시민 직접 제안사업을 모집했다.

서울시는	서울시/NNP+는/JX
광역지방자치단체	광역/NNG+지방/NNG+자치/NNG+단체/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
주민참여예산제를	주민/NNG+참여/NNG+예산/NNG+제/XSN+를/JKO
운영해	운영/NNG+하/XSV+아/EC
402개의	402/SN+개/NNB+의/JKG
시민	시민/NNG
직접	직접/MAG
제안사업을	제안/NNG+사업/NNG+을/JKO
모집했다.	모집/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.280.8.2
앞서 공모 추첨 및 추천을 통해 선정된 200명의 시민들로 구성된 주민참여예산위가 500억원 한도에서 132개의 예산 반영 사업을 표결로 선정했다.

앞서	앞서/MAG
공모	공모/NNG
추첨	추첨/NNG
및	및/MAG
추천을	추천/NNG+을/JKO
통해	통하/VV+아/EC
선정된	선정/NNG+되/XSV+ㄴ/ETM
200명의	200/SN+명/NNB+의/JKG
시민들로	시민/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
주민참여예산위가	주민/NNG+참여/NNG+예산위/NNG+가/JKS
500억원	500/SN+억/NR+원/NNB
한도에서	한도/NNG+에서/JKB
132개의	132/SN+개/NNB+의/JKG
예산	예산/NNG
반영	반영/NNG
사업을	사업/NNG+을/JKO
표결로	표결/NNG+로/JKB
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.280.9.1
주민참여예산 사업을 대거 삭감한 시의회는 반면 최소 918억원 이상의 사업 예산을 신규 편성했다.

주민참여예산	주민/NNG+참여/NNG+예산/NNG
사업을	사업/NNG+을/JKO
대거	대거/MAG
삭감한	삭감/NNG+하/XSV+ㄴ/ETM
시의회는	시/NNG+의회/NNG+는/JX
반면	반면/NNG
최소	최소/NNG
918억원	918/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
사업	사업/NNG
예산을	예산/NNG+을/JKO
신규	신규/NNG
편성했다.	편성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.280.9.2
토건사업을 위한 토지 매입·보상비, 민원사업이 대부분으로, 시의 푸른녹지국 사업만 660억원에 이른다.

토건사업을	토건/NNG+사업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
토지	토지/NNG
매입·보상비,	매입/NNG+·/SP+보상비/NNG+,/SP
민원사업이	민원/NNG+사업/NNG+이/JKS
대부분으로,	대/XPN+부분/NNG+으로/JKB+,/SP
시의	시/NNG+의/JKG
푸른녹지국	푸르/VA+ㄴ/ETM+녹지국/NNG
사업만	사업/NNG+만/JX
660억원에	660/SN+억/NR+원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.280.9.3
낙성대 지구 야외놀이마당 조성을 위한 토지보상(30억원), 개용산 근린공원 진입부 다목적 체육관 설치(29억), 서대문구 안산 근교 자락길 조성(15억), 방화대교 주변 공원조성 용역비(1억6000만) 등이 포함된다.

낙성대	낙성대/NNP
지구	지구/NNG
야외놀이마당	야외/NNG+놀이마당/NNG
조성을	조성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
토지보상(30억원),	토지/NNG+보상/NNG+(/SS+30/SN+억/NR+원/NNB+)/SS+,/SP
개용산	개용산/NNP
근린공원	근린공원/NNG
진입부	진입부/NNG
다목적	다목적/NNG
체육관	체육관/NNG
설치(29억),	설치/NNG+(/SS+29/SN+억/NR+)/SS+,/SP
서대문구	서대문구/NNP
안산	안산/NNP
근교	근교/NNG
자락길	자락/NNG+길/NNG
조성(15억),	조성/NNG+(/SS+15/SN+억/NR+)/SS+,/SP
방화대교	방화대교/NNP
주변	주변/NNG
공원조성	공원/NNG+조성/NNG
용역비(1억6000만)	용역비/NNG+(/SS+1/SN+억/NR+6000/SN+만/NR+)/SS
등이	등/NNB+이/JKS
