# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.296
metadata : {}


# id : NWRW1800000029.296.1.1
[기자의 눈/차지완]재판부가 지적한 ‘현대건설 M&A의 교훈’

[기자의	[/SS+기자/NNG+의/JKG
눈/차지완]재판부가	눈/NNG+//SP+차지완/NNP+]/SS+재판부/NNG+가/JKS
지적한	지적/NNG+하/XSV+ㄴ/ETM
‘현대건설	‘/SS+현대건설/NNP
M&A의	M/SL+&/SW+A/SL+의/JKG
교훈’	교훈/NNG+’/SS


# id : NWRW1800000029.296.2.1
서울중앙지법 민사합의50부는 4일 현대그룹이 현대건설 주주협의회(채권단)를 상대로 낸 양해각서(MOU) 해지금지 가처분신청에 대해 기각 결정을 내리면서 별도로 ‘재판부의 소회’라는 글을 내놓았다.

서울중앙지법	서울중앙지법/NNP
민사합의50부는	민사/NNG+합의/NNG+50/SN+부/NNG+는/JX
4일	4/SN+일/NNB
현대그룹이	현대그룹/NNP+이/JKS
현대건설	현대건설/NNP
주주협의회(채권단)를	주주/NNG+협의회/NNG+(/SS+채권단/NNG+)/SS+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
양해각서(MOU)	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS
해지금지	해지/NNG+금지/NNG
가처분신청에	가/XPN+처분/NNG+신청/NNG+에/JKB
대해	대하/VV+아/EC
기각	기각/NNG
결정을	결정/NNG+을/JKO
내리면서	내리/VV+면서/EC
별도로	별도/NNG+로/JKB
‘재판부의	‘/SS+재판부/NNG+의/JKG
소회’라는	소회/NNG+’/SS+이/VCP+라는/ETM
글을	글/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.296.2.2
처음엔 ‘재판부가 결정문이나 판결문을 통해 할 말을 하면 되지 왜 사족(蛇足)을 달까’ 하는 생각이 들었다.

처음엔	처음/NNG+에/JKB+ㄴ/JX
‘재판부가	‘/SS+재판부/NNG+가/JKS
결정문이나	결정문/NNG+이나/JC
판결문을	판결문/NNG+을/JKO
통해	통하/VV+아/EC
할	하/VV+ㄹ/ETM
말을	말/NNG+을/JKO
하면	하/VV+면/EC
되지	되/VV+지/EC
왜	왜/MAG
사족(蛇足)을	사족/NNG+(/SS+蛇足/SH+)/SS+을/JKO
달까’	달/VV+ㄹ까/EF+’/SS
하는	하/VV+는/ETM
생각이	생각/NNG+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.296.2.3
하지만 한 장 남짓한 분량의 소회에 담긴 메시지는 A4용지 33장짜리 결정문 못지않게 경청할 가치가 있었다.

하지만	하지만/MAJ
한	한/MMN
장	장/NNB
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
분량의	분량/NNG+의/JKG
소회에	소회/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
메시지는	메시지/NNG+는/JX
A4용지	A/SL+4/SN+용지/NNG
33장짜리	33/SN+장/NNB+짜리/XSN
결정문	결정문/NNG
못지않게	못지않/VA+게/EC
경청할	경청/NNG+하/XSV+ㄹ/ETM
가치가	가치/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.296.3.1
재판부는 먼저 예비협상대상자인 현대차그룹과 언론의 의혹 제기에 쉽게 흔들리면서 자신이 세운 원칙을 번복하는 등 일관된 태도를 보이지 못한 채권단을 나무랐다.

재판부는	재판부/NNG+는/JX
먼저	먼저/MAG
예비협상대상자인	예비/NNG+협상/NNG+대상자/NNG+이/VCP+ㄴ/ETM
현대차그룹과	현대차그룹/NNP+과/JC
언론의	언론/NNG+의/JKG
의혹	의혹/NNG
제기에	제기/NNG+에/JKB
쉽게	쉽/VA+게/EC
흔들리면서	흔들리/VV+면서/EC
자신이	자신/NNG+이/JKS
세운	세우/VV+ㄴ/ETM
원칙을	원칙/NNG+을/JKO
번복하는	번복/NNG+하/XSV+는/ETM
등	등/NNB
일관된	일관/NNG+되/XSV+ㄴ/ETM
태도를	태도/NNG+를/JKO
보이지	보이/VV+지/EC
못한	못하/VX+ㄴ/ETM
채권단을	채권단/NNG+을/JKO
나무랐다.	나무라/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.296.3.2
이어 현대그룹의 책임을 거론했다.

이어	이어/MAG
현대그룹의	현대그룹/NNP+의/JKG
책임을	책임/NNG+을/JKO
거론했다.	거론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.296.3.3
프랑스 나티시스은행 예치금 1조2000억 원에 대해 신빙성 있는 자료를 당당하게 제출하지 못하고 여러 차례 불충분한 자료를 제출했다는 것이다.

프랑스	프랑스/NNP
나티시스은행	나티시스은행/NNP
예치금	예치금/NNG
1조2000억	1/SN+조/NR+2000/SN+억/NR
원에	원/NNB+에/JKB
대해	대하/VV+아/EC
신빙성	신빙/NNG+성/XSN
있는	있/VA+는/ETM
자료를	자료/NNG+를/JKO
당당하게	당당/MAG+하/XSA+게/EC
제출하지	제출/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
여러	여러/MMN
차례	차례/NNG
불충분한	불충분/NNG+하/XSA+ㄴ/ETM
제출했다는	제출/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.296.3.4
마지막은 현대자동차그룹이었다.

마지막은	마지막/NNG+은/JX
현대자동차그룹이었다.	현대자동차그룹/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.296.3.5
예비협상대상자로서 우선협상대상자 선정 결과에 지속적으로 의혹을 제기해 입찰 절차에 많은 혼란을 야기했다고 꾸짖었다.

예비협상대상자로서	예비/NNG+협상/NNG+대상자/NNG+로서/JKB
우선협상대상자	우선/NNG+협상/NNG+대상자/NNG
선정	선정/NNG
결과에	결과/NNG+에/JKB
지속적으로	지속/NNG+적/XSN+으로/JKB
의혹을	의혹/NNG+을/JKO
제기해	제기/NNG+하/XSV+아/EC
입찰	입찰/NNG
절차에	절차/NNG+에/JKB
많은	많/VA+은/ETM
혼란을	혼란/NNG+을/JKO
야기했다고	야기/NNG+하/XSV+았/EP+다고/EC
꾸짖었다.	꾸짖/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.296.3.6
결국 ‘채권단은 줏대 없이 행동했고, 현대그룹은 불신을 자초했으며, 현대차그룹은 우선협상대상자에 선정되지 못하자 훼방을 놓았다’며 세 주인공의 연기를 싸잡아 혹평한 셈이다.

결국	결국/MAG
‘채권단은	‘/SS+채권단/NNG+은/JX
줏대	줏대/NNG
없이	없이/MAG
행동했고,	행동/NNG+하/XSV+았/EP+고/EC+,/SP
현대그룹은	현대그룹/NNP+은/JX
불신을	불신/NNG+을/JKO
자초했으며,	자초/NNG+하/XSV+았/EP+으며/EC+,/SP
현대차그룹은	현대차그룹/NNP+은/JX
우선협상대상자에	우선/NNG+협상/NNG+대상자/NNG+에/JKB
선정되지	선정/NNG+되/XSV+지/EC
못하자	못하/VX+자/EC
훼방을	훼방/NNG+을/JKO
놓았다’며	놓/VV+았/EP+다/EF+’/SS+며/EC
세	세/MMN
주인공의	주인공/NNG+의/JKG
연기를	연기/NNG+를/JKO
싸잡아	싸잡/VV+아/EC
혹평한	혹평/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.296.4.1
재판부는 “앞으로 공적자금이 투입된 기업들의 대형 인수합병(M&A)이 있을 경우 채권단, 현대그룹, 현대차그룹처럼 행동하면 안 된다는 소중한 교훈을 주었다는 것은 매우 다행스러운 일이라고 생각한다”며 글을 맺었다.

재판부는	재판부/NNG+는/JX
“앞으로	“/SS+앞/NNG+으로/JKB
공적자금이	공/NNG+적/XSN+자금/NNG+이/JKS
투입된	투입/NNG+되/XSV+ㄴ/ETM
기업들의	기업/NNG+들/XSN+의/JKG
대형	대형/NNG
인수합병(M&A)이	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS+이/JKS
있을	있/VA+을/ETM
경우	경우/NNG
채권단,	채권단/NNG+,/SP
현대그룹,	현대그룹/NNP+,/SP
현대차그룹처럼	현대차그룹/NNP+처럼/JKB
행동하면	행동/NNG+하/XSV+면/EC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
소중한	소중하/VA+ㄴ/ETM
교훈을	교훈/NNG+을/JKO
주었다는	주/VV+었/EP+다는/ETM
것은	것/NNB+은/JX
매우	매우/MAG
다행스러운	다행/NNG+스럽/XSA+ㄴ/ETM
일이라고	일/NNG+이/VCP+라고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
글을	글/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.296.5.1
