# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.77
metadata : {}


# id : NWRW1800000032.77.1.1
한화도 동양생명 인수 추진

한화도	한화/NNP+도/JX
동양생명	동양생명/NNP
인수	인수/NNG
추진	추진/NNG


# id : NWRW1800000032.77.2.1
우리금융·푸르덴셜생명에 이어

우리금융·푸르덴셜생명에	우리금융/NNP+·/SP+푸르덴셜생명/NNP+에/JKB
이어	잇/VV+어/EC


# id : NWRW1800000032.77.3.1
한화그룹도 동양생명 인수전에 나섰다.

한화그룹도	한화그룹/NNP+도/JX
동양생명	동양생명/NNP
인수전에	인수전/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.77.4.1
한화는 15일 조회공시를 통해서 “대한생명보험 등을 통한 동양생명보험의 인수 추진을 검토중이나 현재 확정된 내용은 없다”고 밝혔다.

한화는	한화/NNP+는/JX
15일	15/SN+일/NNB
조회공시를	조회/NNG+공시/NNG+를/JKO
통해서	통하/VV+아서/EC
“대한생명보험	“/SS+대한생명보험/NNP
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
동양생명보험의	동양생명보험/NNP+의/JKG
인수	인수/NNG
추진을	추진/NNG+을/JKO
검토중이나	검토/NNG+중/NNB+이/VCP+나/EC
현재	현재/MAG
확정된	확정/NNG+되/XSV+ㄴ/ETM
내용은	내용/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.77.4.2
한화는 내부 검토를 사실상 마치고 자문사 선정작업에 들어간 것으로 알려졌다.

한화는	한화/NNP+는/JX
내부	내부/NNG
검토를	검토/NNG+를/JKO
사실상	사실/NNG+상/XSN
마치고	마치/VV+고/EC
자문사	자문사/NNG
선정작업에	선정/NNG+작업/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.77.5.1
대한생명은 현재 자산규모로 봤을 때 66조원으로 삼성생명(150조원)에 이어 업계 2위를 지키고 있다.

대한생명은	대한생명/NNP+은/JX
현재	현재/MAG
자산규모로	자산/NNG+규모/NNG+로/JKB
봤을	보/VV+았/EP+을/ETM
때	때/NNG
66조원으로	66/SN+조/NR+원/NNB+으로/JKB
삼성생명(150조원)에	삼성생명/NNP+(/SS+150/SN+조/NR+원/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
업계	업계/NNG
