# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.94
metadata : {}


# id : NWRW1800000044.94.1.1
동상이몽 속 ‘전략적 동반자 관계’ 논의

동상이몽	동상이몽/NNG
속	속/NNG
‘전략적	‘/SS+전략/NNG+적/XSN
동반자	동반자/NNG
관계’	관계/NNG+’/SS
논의	논의/NNG


# id : NWRW1800000044.94.2.1
[한겨레] 오바마-모디 백악관서 정상회담

[한겨레]	[/SS+한겨레/NNP+]/SS
오바마-모디	오바마/NNP+-/SO+모디/NNP
백악관서	백악관/NNP+서/JKB
정상회담	정상/NNG+회담/NNG


# id : NWRW1800000044.94.3.1
대량살상무기 확산에 공동대응

대량살상무기	대량/NNG+살상/NNG+무기/NNG
확산에	확산/NNG+에/JKB
공동대응	공동/NNG+대응/NNG


# id : NWRW1800000044.94.4.1
중국 겨냥 해양안보협력 등 강화

중국	중국/NNP
겨냥	겨냥/NNG
해양안보협력	해양/NNG+안보/NNG+협력/NNG
등	등/NNB
강화	강화/NNG


# id : NWRW1800000044.94.5.1
무역협정 등 큰 현안은 진전없어

무역협정	무역/NNG+협정/NNG
등	등/NNB
큰	크/VA+ㄴ/ETM
현안은	현안/NNG+은/JX
진전없어	진전/NNG+없/VA+어/EF


# id : NWRW1800000044.94.6.1
버락 오바마 미국 대통령이 주최한 만찬 자리엔 풍성한 음식이 나왔지만 나렌드라 모디 인도 총리는 식사를 하지 않았다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
만찬	만찬/NNG
자리엔	자리/NNG+에/JKB+ㄴ/JX
풍성한	풍성/NNG+하/XSA+ㄴ/ETM
음식이	음식/NNG+이/JKS
나왔지만	나오/VV+았/EP+지만/EC
나렌드라	나렌드라/NNP
모디	모디/NNP
인도	인도/NNP
총리는	총리/NNG+는/JX
식사를	식사/NNG+를/JKO
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.94.6.2
두 정상이 논의한 주제는 경제 협력부터 기후변화 대응 그리고 우주 탐사에 이르기까지 광대했지만, 양국간 이견이 큰 주요 현안에서는 구체적인 성과가 나오진 않았다.

두	두/MMN
정상이	정상/NNG+이/JKS
논의한	논의/NNG+하/XSV+ㄴ/ETM
주제는	주제/NNG+는/JX
경제	경제/NNG
협력부터	협력/NNG+부터/JX
기후변화	기후/NNG+변화/NNG
대응	대응/NNG
그리고	그리고/MAJ
우주	우주/NNG
탐사에	탐사/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
광대했지만,	광대/NNG+하/XSA+았/EP+지만/EC+,/SP
양국간	양국/NNG+간/NNB
이견이	이견/NNG+이/JKS
큰	크/VA+ㄴ/ETM
주요	주요/NNG
현안에서는	현안/NNG+에서/JKB+는/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
성과가	성과/NNG+가/JKS
나오진	나오/VV+지/EC+ㄴ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.94.6.3
원자력협정 등의 이견으로 껄끄러운 관계였던 미국과 인도가 올해 5월 취임한 나렌드라 모디 총리의 미국 방문을 계기로 관계 개선을 모색했다.

원자력협정	원자력/NNG+협정/NNG
등의	등/NNB+의/JKG
이견으로	이견/NNG+으로/JKB
껄끄러운	껄끄럽/VA+ㄴ/ETM
관계였던	관계/NNG+이/VCP+었/EP+던/ETM
미국과	미국/NNP+과/JC
인도가	인도/NNP+가/JKS
올해	올해/NNG
5월	5/SN+월/NNB
취임한	취임/NNG+하/XSV+ㄴ/ETM
나렌드라	나렌드라/NNP
모디	모디/NNP
총리의	총리/NNG+의/JKG
미국	미국/NNP
방문을	방문/NNG+을/JKO
계기로	계기/NNG+로/JKB
관계	관계/NNG
개선을	개선/NNG+을/JKO
모색했다.	모색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.94.6.4
