# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.412
metadata : {}


# id : NWRW1800000036.412.1.1
김성주 “여성·젊은이 취업난, 수동적 자세가 문제”

김성주	김성주/NNP
“여성·젊은이	“/SS+여성/NNG+·/SP+젊은이/NNG
취업난,	취업난/NNG+,/SP
수동적	수동/NNG+적/XSN
자세가	자세/NNG+가/JKS
문제”	문제/NNG+”/SS


# id : NWRW1800000036.412.2.1
[한겨레] “스스로 일자리 안찾고 불평만

[한겨레]	[/SS+한겨레/NNP+]/SS
“스스로	“/SS+스스로/MAG
일자리	일자리/NNG
안찾고	안/MAG+찾/VV+고/EC
불평만	불평/NNG+만/JX


# id : NWRW1800000036.412.3.1
경제민주화 강제로 하는 건 역행”

경제민주화	경제/NNG+민주/NNG+화/XSN
강제로	강제/NNG+로/JKB
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
역행”	역행/NNG+”/SS


# id : NWRW1800000036.412.4.1
김성주(사진) 새누리당 공동 선거대책위원장은 15일 여성·청년들의 일자리 문제와 관련해 “(여성·청년들의) 수동적인 자세로는 안 된다”고 말했다.

김성주(사진)	김성주/NNP+(/SS+사진/NNG+)/SS
새누리당	새누리당/NNP
공동	공동/NNG
선거대책위원장은	선거/NNG+대책/NNG+위원장/NNG+은/JX
15일	15/SN+일/NNB
여성·청년들의	여성/NNG+·/SP+청년/NNG+들/XSN+의/JKG
일자리	일자리/NNG
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“(여성·청년들의)	“/SS+(/SS+여성/NNG+·/SP+청년/NNG+들/XSN+의/JKG+)/SS
수동적인	수동/NNG+적/XSN+이/VCP+ㄴ/ETM
자세로는	자세/NNG+로/JKB+는/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.412.4.2
언론 인터뷰에선 여성의 가사노동을 ‘솥뚜껑 운전’으로 폄하하기도 했다.

언론	언론/NNG
인터뷰에선	인터뷰/NNG+에서/JKB+ㄴ/JX
여성의	여성/NNG+의/JKG
가사노동을	가사/NNG+노동/NNG+을/JKO
‘솥뚜껑	‘/SS+솥뚜껑/NNG
운전’으로	운전/NNG+’/SS+으로/JKB
폄하하기도	폄하/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.412.5.1
김 위원장은 이날 오전 서울 서교동의 한 식당에서 기자 간담회를 열어 “20대 일자리 창출 문제를 제발 국내에서만 보지 말라”고 말을 꺼냈다.

김	김/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
서울	서울/NNP
서교동의	서교동/NNP+의/JKG
한	한/MMN
식당에서	식당/NNG+에서/JKB
기자	기자/NNG
간담회를	간담회/NNG+를/JKO
열어	열/VV+어/EC
“20대	“/SS+20/SN+대/NNB
일자리	일자리/NNG
창출	창출/NNG
문제를	문제/NNG+를/JKO
제발	제발/MAG
국내에서만	국내/NNG+에서/JKB+만/JX
보지	보/VV+지/EC
말라”고	말/VX+라/EF+”/SS+고/JKQ
말을	말/NNG+을/JKO
꺼냈다.	꺼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.412.5.2
그는 “아이티(IT) 시대는 어마무지한 가상세계 안에 어마무지한 창업거리와 일자리가 있다.

그는	그/NP+는/JX
“아이티(IT)	“/SS+아이티/NNG+(/SS+IT/SL+)/SS
시대는	시대/NNG+는/JX
어마무지한	어마무지하/VA+ㄴ/ETM
가상세계	가상/NNG+세계/NNG
안에	안/NNG+에/JKB
