# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.338
metadata : {}


# id : NWRW1800000056.338.1.1
‘탄핵열차 종착역’ 10일 오전 11시

‘탄핵열차	‘/SS+탄핵/NNG+열차/NNG
종착역’	종착역/NNG+’/SS
10일	10/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB


# id : NWRW1800000056.338.2.1
헌재, 박대통령 탄핵심판 선고일 확정

헌재,	헌재/NNG+,/SP
박대통령	박/NNP+대통령/NNG
탄핵심판	탄핵/NNG+심판/NNG
선고일	선고일/NNG
확정	확정/NNG


# id : NWRW1800000056.338.3.1
TV 생중계...탄핵땐 5월9일 대선 유력

TV	TV/SL
생중계...탄핵땐	생/XPN+중계/NNG+.../SE+탄핵/NNG+때/NNG+ㄴ/JX
5월9일	5/SN+월/NNB+9/SN+일/NNB
대선	대선/NNG
유력	유력/NNG


# id : NWRW1800000056.338.4.1
기각·각하땐 박대통령 바로 직무복귀

기각·각하땐	기각/NNG+·/SP+각하/NNG+때/NNG+ㄴ/JX
박대통령	박/NNP+대통령/NNG
바로	바로/MAG
직무복귀	직무/NNG+복귀/NNG


# id : NWRW1800000056.338.5.1
박근혜 대통령의 파면 여부가 10일 결정된다.

박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
파면	파면/NNG
여부가	여부/NNG+가/JKS
10일	10/SN+일/NNB
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.338.6.1
헌법재판소는 10일 오전 11시 대심판정에서 박 대통령 탄핵심판을 선고한다고 8일 밝혔다.

헌법재판소는	헌법/NNG+재판소/NNG+는/JX
10일	10/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
대심판정에서	대심/NNG+판정/NNG+에서/JKB
박	박/NNP
대통령	대통령/NNG
탄핵심판을	탄핵/NNG+심판/NNG+을/JKO
선고한다고	선고/NNG+하/XSV+ㄴ다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.338.6.2
이정미 헌재소장 권한대행을 비롯한 8명의 헌법재판관들은 이날 오후 3시부터 2시간30분간 평의를 연 뒤 선고일을 확정했다.

이정미	이정미/NNP
헌재소장	헌재/NNG+소장/NNG
권한대행을	권한/NNG+대행/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
8명의	8/SN+명/NNB+의/JKG
헌법재판관들은	헌법/NNG+재판관/NNG+들/XSN+은/JX
이날	이날/NNG
오후	오후/NNG
3시부터	3/SN+시/NNB+부터/JX
2시간30분간	2/SN+시간/NNB+30/SN+분/NNB+간/XSN
평의를	평의/NNG+를/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
선고일을	선고일/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.338.6.3
배보윤 헌재 공보관은 “2016헌나1 대통령 탄핵사건에 대한 결정 선고는 10일 11시에 하기로 했고, 국회 소추위원과 박 대통령 쪽에 선고일을 통지했다”고 말했다.

배보윤	배보윤/NNP
헌재	헌재/NNG
공보관은	공보관/NNG+은/JX
“2016헌나1	“/SS+2016/SN+헌/NNG+나/NNG+1/SN
대통령	대통령/NNG
탄핵사건에	탄핵/NNG+사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
결정	결정/NNG
선고는	선고/NNG+는/JX
10일	10/SN+일/NNB
11시에	11/SN+시/NNB+에/JKB
하기로	하/VV+기/ETN+로/JKB
했고,	하/VV+았/EP+고/EC+,/SP
국회	국회/NNG
소추위원과	소추/NNG+위원/NNG+과/JC
박	박/NNP
쪽에	쪽/NNB+에/JKB
선고일을	선고일/NNG+을/JKO
통지했다”고	통지/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.338.6.4
지난해 12월9일 국회의원 234명의 찬성으로 박 대통령의 탄핵소추안이 통과된 지 92일 만에 탄핵심판의 마침표를 찍게 됐다.

지난해	지난해/NNG
12월9일	12/SN+월/NNB+9/SN+일/NNB
국회의원	국회/NNG+의원/NNG
234명의	234/SN+명/NNB+의/JKG
찬성으로	찬성/NNG+으로/JKB
박	박/NNP
대통령의	대통령/NNG+의/JKG
탄핵소추안이	탄핵/NNG+소추/NNG+안/NNG+이/JKS
통과된	통과/NNG+되/XSV+ㄴ/ETM
지	지/NNB
92일	92/SN+일/NNB
만에	만/NNB+에/JKB
탄핵심판의	탄핵/NNG+심판/NNG+의/JKG
마침표를	마침표/NNG+를/JKO
찍게	찍/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.338.6.5
박 대통령의 파면 여부에 대한 최종 결정은 재판관들의 평결을 거쳐 확정된다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
파면	파면/NNG
