# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.44
metadata : {}


# id : NWRW1800000038.44.1.1
탈레반, 여성교육권 주장한 말랄라(탈레반에 총격당한 파키스탄 소녀) 공개협박

탈레반,	탈레반/NNP+,/SP
여성교육권	여성/NNG+교육/NNG+권/XSN
주장한	주장/NNG+하/XSV+ㄴ/ETM
말랄라(탈레반에	말랄라/NNP+(/SS+탈레반/NNP+에/JKB
총격당한	총격/NNG+당하/XSV+ㄴ/ETM
파키스탄	파키스탄/NNP
소녀)	소녀/NNG+)/SS
공개협박	공개/NNG+협박/NNG


# id : NWRW1800000038.44.2.1
파키스탄 탈레반 간부"네가 죽어 마땅한지는 알라가 판단할 것

파키스탄	파키스탄/NNP
탈레반	탈레반/NNP
간부"네가	간부/NNG+"/SS+네/NP+가/JKS
죽어	죽/VV+어/EC
마땅한지는	마땅하/VA+ㄴ지/EF+는/JX
알라가	알라/NNP+가/JKS
판단할	판단/NNG+하/XSV+ㄹ/ETM
것	것/NNB


# id : NWRW1800000038.44.3.1
이슬람 무장단체 탈레반이 쏜 총에 머리를 맞고 극적으로 살아난 파키스탄 소녀 말랄라 유사프자이(16)에게 탈레반 고위 간부가 공개편지를 보내 "총격이 정당했다"고 억지 주장을 펴며 잔인한 '언어(言語) 테러'를 저질렀다.

이슬람	이슬람/NNG
무장단체	무장/NNG+단체/NNG
탈레반이	탈레반/NNP+이/JKS
쏜	쏘/VV+ㄴ/ETM
총에	총/NNG+에/JKB
머리를	머리/NNG+를/JKO
맞고	맞/VV+고/EC
극적으로	극/NNG+적/XSN+으로/JKB
살아난	살아나/VV+ㄴ/ETM
파키스탄	파키스탄/NNP
소녀	소녀/NNG
말랄라	말랄라/NNP
유사프자이(16)에게	유사프자이/NNP+(/SS+16/SN+)/SS+에게/JKB
탈레반	탈레반/NNP
고위	고위/NNG
간부가	간부/NNG+가/JKS
공개편지를	공개편지/NNG+를/JKO
보내	보내/VV+어/EC
"총격이	"/SS+총격/NNG+이/JKS
정당했다"고	정당하/VA+았/EP+다/EF+"/SS+고/JKQ
억지	억지/NNG
주장을	주장/NNG+을/JKO
펴며	펴/VV+며/EC
잔인한	잔인/NNG+하/XSA+ㄴ/ETM
'언어(言語)	'/SS+언어/NNG+(/SS+言語/SH+)/SS
테러'를	테러/NNG+'/SS+를/JKO
저질렀다.	저지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.44.3.2
탈레반을 비판하고 여성도 교육받을 권리가 있다고 주장하는 유사프자이에게 "네가 죽을 짓을 했는지 아닌지는 알라의 판단에 맡기자"고 협박해 후속 테러 가능성도 우려된다.

탈레반을	탈레반/NNP+을/JKO
비판하고	비판/NNG+하/XSV+고/EC
여성도	여성/NNG+도/JX
교육받을	교육/NNG+받/XSV+을/ETM
권리가	권리/NNG+가/JKS
있다고	있/VA+다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
유사프자이에게	유사프자이/NNP+에게/JKB
"네가	"/SS+네/NP+가/JKS
죽을	죽/VV+을/ETM
짓을	짓/NNG+을/JKO
했는지	하/VV+았/EP+는지/EF
아닌지는	아니/VCN+ㄴ지/EF+는/JX
알라의	알라/NNP+의/JKG
판단에	판단/NNG+에/JKB
맡기자"고	맡기/VV+자/EF+"/SS+고/JKQ
협박해	협박/NNG+하/XSV+아/EC
후속	후속/NNG
테러	테러/NNG
가능성도	가능/NNG+성/XSN+도/JX
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.44.4.1
영국 민영방송 채널4뉴스는 17일(현지 시각) 파키스탄 탈레반(TTP) 지휘관 아드난 라시드가 보낸 공개편지를 입수해 전문을 공개했다.

영국	영국/NNP
민영방송	민영/NNG+방송/NNG
채널4뉴스는	채널4/NNP+뉴스/NNG+는/JX
17일(현지	17/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
파키스탄	파키스탄/NNP
탈레반(TTP)	탈레반/NNP+(/SS+TTP/SL+)/SS
지휘관	지휘관/NNG
아드난	아드난/NNP
라시드가	라시드/NNP+가/JKS
보낸	보내/VV+ㄴ/ETM
공개편지를	공개편지/NNG+를/JKO
입수해	입수/NNG+하/XSV+아/EC
전문을	전문/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.44.4.2
'자비롭고 은혜로운 알라의 이름으로 - 아드난 라시드가 말랄라 유사프자이에게'라는 제목의 이 4장짜리 영문 편지는 16일 밤 파키스탄 현지 언론 등에 배달됐다.

'자비롭고	'/SS+자비/NNG+롭/XSA+고/EC
은혜로운	은혜/NNG+롭/XSA+ㄴ/ETM
알라의	알라/NNP+의/JKG
이름으로	이름/NNG+으로/JKB
-	-/SO
아드난	아드난/NNP
라시드가	라시드/NNP+가/JKS
말랄라	말랄라/NNP
유사프자이에게'라는	유사프자이/NNP+에게/JKB+'/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
이	이/MMD
4장짜리	4/SN+장/NNB+짜리/XSN
영문	영문/NNG
