# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.421
metadata : {}


# id : NWRW1800000026.421.1.1
억대연봉 20만명;지난해 1000명 중 14명꼴

억대연봉	억/NR+대/XSN+연봉/NNG
20만명;지난해	20/SN+만/NR+명/NNB+;/SW+지난해/NNG
1000명	1000/SN+명/NNB
중	중/NNB
14명꼴	14/SN+명/NNB+꼴/XSN


# id : NWRW1800000026.421.2.1
대형 증권회사 부장급인 박모(45)씨는 입사 16년 만인 올해 1억2000만원의 연봉을 받았다.

대형	대형/NNG
증권회사	증권/NNG+회사/NNG
부장급인	부장급/NNG+이/VCP+ㄴ/ETM
박모(45)씨는	박/NNP+모/NP+(/SS+45/SN+)/SS+씨/NNB+는/JX
입사	입사/NNG
16년	16/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
올해	올해/NNG
1억2000만원의	1/SN+억/NR+2000/SN+만/NR+원/NNB+의/JKG
연봉을	연봉/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.421.2.2
박씨는 증권회사와 벤처업계 등에서 4차례 이직을 하면서 몸값을 높였다.

박씨는	박/NNP+씨/NNB+는/JX
증권회사와	증권/NNG+회사/NNG+와/JC
벤처업계	벤처업/NNG+계/XSN
등에서	등/NNB+에서/JKB
4차례	4/SN+차례/NNG
이직을	이직/NNG+을/JKO
하면서	하/VV+면서/EC
몸값을	몸값/NNG+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.421.2.3
박씨는 "금융업계가 다른 업종보다 연봉이 높아서 다른 업종에서 일하는 대학 동창들보다 빨리 억대 연봉을 받은 셈"이라고 말했다.

박씨는	박/NNP+씨/NNB+는/JX
"금융업계가	"/SS+금융업/NNG+계/XSN+가/JKS
다른	다른/MMD
업종보다	업종/NNG+보다/JKB
연봉이	연봉/NNG+이/JKS
높아서	높/VA+아서/EC
업종에서	업종/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
대학	대학/NNG
동창들보다	동창/NNG+들/XSN+보다/JKB
빨리	빨리/MAG
억대	억/NR+대/XSN
연봉을	연봉/NNG+을/JKO
받은	받/VV+은/ETM
셈"이라고	셈/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.421.3.1
국세청이 21일 펴낸 '국세통계연보'에 따르면 박씨처럼 '샐러리맨의 꿈'이라는 억대 연봉(총급여 기준 1억원 초과)을 받는 직장인이 지난해 19만6539명으로 20만명에 육박하는 것으로 집계됐다.

국세청이	국세청/NNG+이/JKS
21일	21/SN+일/NNB
펴낸	펴내/VV+ㄴ/ETM
'국세통계연보'에	'/SS+국세/NNG+통계/NNG+연보/NNG+'/SS+에/JKB
따르면	따르/VV+면/EC
박씨처럼	박/NNP+씨/NNB+처럼/JKB
'샐러리맨의	'/SS+샐러리맨/NNG+의/JKG
꿈'이라는	꿈/NNG+'/SS+이/VCP+라는/ETM
억대	억/NR+대/XSN
