# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.290
metadata : {}


# id : NWRW1800000056.290.1.1
축구협회 국가대표감독선임위원장에 김판곤

축구협회	축구협회/NNP
국가대표감독선임위원장에	국가/NNG+대표/NNG+감독/NNG+선임/NNG+위원장/NNG+에/JKB
김판곤	김판곤/NNP


# id : NWRW1800000056.290.2.1
대한축구협회는 신설된 국가대표감독선임위원회 위원장 겸 부회장에 김판곤(48) 전 홍콩대표팀 감독을 선임했다고 26일 밝혔다.

대한축구협회는	대한축구협회/NNP+는/JX
신설된	신설/NNG+되/XSV+ㄴ/ETM
국가대표감독선임위원회	국가/NNG+대표/NNG+감독/NNG+선임/NNG+위원회/NNG
위원장	위원장/NNG
겸	겸/NNB
부회장에	부회장/NNG+에/JKB
김판곤(48)	김판곤/NNP+(/SS+48/SN+)/SS
전	전/MMD
홍콩대표팀	홍콩/NNP+대표/NNG+팀/NNG
감독을	감독/NNG+을/JKO
선임했다고	선임/NNG+하/XSV+았/EP+다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.290.3.1
국가대표감독선임위는 남녀 국가대표팀과 23살 이하 대표팀을 관리·지원하는 분과위원회다.

국가대표감독선임위는	국가/NNG+대표/NNG+감독/NNG+선임위/NNG+는/JX
남녀	남녀/NNG
국가대표팀과	국가/NNG+대표/NNG+팀/NNG+과/JC
23살	23/SN+살/NNB
이하	이하/NNG
대표팀을	대표/NNG+팀/NNG+을/JKO
관리·지원하는	관리/NNG+·/SP+지원/NNG+하/XSV+는/ETM
분과위원회다.	분과/NNG+위원회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.290.3.2
해당 대표팀 감독 선임과 해임 권한도 함께 가지고 있다.

해당	해당/NNG
대표팀	대표/NNG+팀/NNG
감독	감독/NNG
선임과	선임/NNG+과/JC
해임	해임/NNG
권한도	권한/NNG+도/JX
함께	함께/MAG
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.290.3.3
내년 러시아월드컵과 여자 아시안컵, 자카르타 아시안게임을 앞둔 각 대표팀의 전력 강화는 물론, 2020 도쿄올림픽 감독 선임 등이 당장 주어진 과제다.

내년	내년/NNG
러시아월드컵과	러시아/NNP+월드컵/NNG+과/JC
여자	여자/NNG
아시안컵,	아시안/NNP+컵/NNG+,/SP
자카르타	자카르타/NNP
아시안게임을	아시안/NNP+게임/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
각	각/MMD
대표팀의	대표/NNG+팀/NNG+의/JKG
전력	전력/NNG
강화는	강화/NNG+는/JX
물론,	물론/MAG+,/SP
2020	2020/SN
도쿄올림픽	도쿄/NNP+올림픽/NNG
감독	감독/NNG
선임	선임/NNG
등이	등/NNB+이/JKS
당장	당장/NNG
주어진	주어지/VV+ㄴ/ETM
과제다.	과제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.290.4.1
김판곤 신임 위원장은 마산 창신고와 호남대를 졸업하고, 1990년대 초중반 울산 현대와 전북 현대에서 프로선수로 뛰었다.

김판곤	김판곤/NNP
신임	신임/NNG
위원장은	위원장/NNG+은/JX
마산	마산/NNP
창신고와	창신고/NNP+와/JC
호남대를	호남대/NNP+를/JKO
졸업하고,	졸업/NNG+하/XSV+고/EC+,/SP
1990년대	1990/SN+년대/NNB
초중반	초중반/NNG
울산	울산/NNP
현대와	현대/NNP+와/JC
전북	전북/NNP
현대에서	현대/NNP+에서/JKB
프로선수로	프로/NNG+선수/NNG+로/JKB
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.290.4.2
2000년에 홍콩으로 건너가 4년 동안 현지 클럽팀에서 선수와 감독을 병행하기도 했다.

2000년에	2000/SN+년/NNB+에/JKB
홍콩으로	홍콩/NNP+으로/JKB
건너가	건너가/VV+아/EC
4년	4/SN+년/NNB
동안	동안/NNG
현지	현지/NNG
클럽팀에서	클럽/NNG+팀/NNG+에서/JKB
선수와	선수/NNG+와/JC
감독을	감독/NNG+을/JKO
병행하기도	병행/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.290.4.3
2005년부터 2008년까지 부산 아이파크에서 수석코치와 감독대행을, 2011년에는 경남FC의 수석코치를 맡은 바 있다.

2005년부터	2005/SN+년/NNB+부터/JX
2008년까지	2008/SN+년/NNB+까지/JX
부산	부산/NNP
아이파크에서	아이파크/NNP+에서/JKB
수석코치와	수석/NNG+코치/NNG+와/JC
감독대행을,	감독/NNG+대행/NNG+을/JKO+,/SP
2011년에는	2011/SN+년/NNB+에/JKB+는/JX
경남FC의	경남FC/NNP+의/JKG
수석코치를	수석/NNG+코치/NNG+를/JKO
맡은	맡/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.290.4.4
2012년부터 홍콩의 대표팀과 청소년대표팀을 지휘하면서 기술위원장 역할까지 수행하고 있다.

2012년부터	2012/SN+년/NNB+부터/JX
홍콩의	홍콩/NNP+의/JKG
대표팀과	대표/NNG+팀/NNG+과/JC
청소년대표팀을	청소년/NNG+대표/NNG+팀/NNG+을/JKO
지휘하면서	지휘/NNG+하/XSV+면서/EC
기술위원장	기술/NNG+위원장/NNG
역할까지	역할/NNG+까지/JX
수행하고	수행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.290.4.5
홍콩대표팀을 이끌고 각종 대회에서 괄목할 만한 성과를 보여 ‘홍콩의 히딩크’로 불렸다.

홍콩대표팀을	홍콩/NNP+대표/NNG+팀/NNG+을/JKO
이끌고	이끌/VV+고/EC
각종	각종/NNG
대회에서	대회/NNG+에서/JKB
괄목할	괄목/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
성과를	성과/NNG+를/JKO
보여	보이/VV+어/EC
‘홍콩의	‘/SS+홍콩/NNP+의/JKG
히딩크’로	히딩크/NNP+’/SS+로/JKB
불렸다.	불리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.290.5.1
