# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.147
metadata : {}


# id : NWRW1800000024.147.1.1
독성 약하다지만…전염력 강해 ‘2차 감염’ 번지나

독성	독성/NNG
약하다지만…전염력	약하/VA+다지만/EC+…/SE+전염력/NNG
강해	강하/VA+아/EC
‘2차	‘/SS+2/SN+차/NNB
감염’	감염/NNG+’/SS
번지나	번지/VV+나/EF


# id : NWRW1800000024.147.2.1
신종 인플루엔자의 ‘2차 감염’ 우려가 좀체로 가시지 않고 있다.

신종	신종/NNG
인플루엔자의	인플루엔자/NNG+의/JKG
‘2차	‘/SS+2/SN+차/NNB
감염’	감염/NNG+’/SS
우려가	우려/NNG+가/JKS
좀체로	좀체로/MAG
가시지	가시/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.147.2.2
감염 경로가 불확실해 염려를 키웠던 추정환자인 50대 남성 버스 운전사는 신종 플루와 무관한 것으로 밝혀졌지만, 이번엔 신종 플루 확진환자와 지난 26일 같은 비행기를 탔던 한 여성이 추정환자로 판정됐다.

감염	감염/NNG
경로가	경로/NNG+가/JKS
불확실해	불확실/NNG+하/XSA+아/EC
염려를	염려/NNG+를/JKO
키웠던	키우/VV+었/EP+던/ETM
추정환자인	추정/NNG+환자/NNG+이/VCP+ㄴ/ETM
50대	50/SN+대/NNB
남성	남성/NNG
버스	버스/NNG
운전사는	운전사/NNG+는/JX
신종	신종/NNG
플루와	플루/NNG+와/JKB
무관한	무관하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌지만,	밝혀지/VV+었/EP+지만/EC+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
플루	플루/NNG
확진환자와	확진/NNG+환자/NNG+와/JKB
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
같은	같/VA+은/ETM
비행기를	비행기/NNG+를/JKO
탔던	타/VV+았/EP+던/ETM
한	한/MMN
여성이	여성/NNG+이/JKS
추정환자로	추정/NNG+환자/NNG+로/JKB
판정됐다.	판정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.147.2.3
이 신종 플루가 전파는 잘되지만, 독성은 평소 유행하는 인플루엔자보다 낮다는 분석이 나오는 것은 그나마 반가운 소식으로 보인다.

이	이/MMD
신종	신종/NNG
플루가	플루/NNG+가/JKS
전파는	전파/NNG+는/JX
잘되지만,	잘/MAG+되/XSV+지만/EC+,/SP
독성은	독성/NNG+은/JX
평소	평소/NNG
유행하는	유행/NNG+하/XSV+는/ETM
인플루엔자보다	인플루엔자/NNG+보다/JKB
낮다는	낮/VA+다는/ETM
분석이	분석/NNG+이/JKS
나오는	나오/VV+는/ETM
것은	것/NNB+은/JX
그나마	그나마/MAG
반가운	반갑/VA+ㄴ/ETM
소식으로	소식/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.147.2.4
■ 첫 확진환자 탄 여객기 감염 우려=이번에 추정환자로 진단된 60대 여성은 신종 플루에 감염된 것으로 확인된 여성(51)이 앉은 비행기 좌석에서 6줄 뒤에 앉은 것으로 확인됐다.

■	■/SW
첫	첫/MMN
확진환자	확진/NNG+환자/NNG
탄	타/VV+ㄴ/ETM
여객기	여객기/NNG
감염	감염/NNG
우려=이번에	우려/NNG+=/SW+이번/NNG+에/JKB
추정환자로	추정/NNG+환자/NNG+로/JKB
진단된	진단/NNG+되/XSV+ㄴ/ETM
60대	60/SN+대/NNB
여성은	여성/NNG+은/JX
신종	신종/NNG
플루에	플루/NNG+에/JKB
감염된	감염/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인된	확인/NNG+되/XSV+ㄴ/ETM
여성(51)이	여성/NNG+(/SS+51/SN+)/SS+이/JKS
앉은	앉/VV+은/ETM
비행기	비행기/NNG
좌석에서	좌석/NNG+에서/JKB
6줄	6/SN+줄/NNG
뒤에	뒤/NNG+에/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.147.2.5
이는 약 5~6m 떨어진 거리로, 반경 2m 이내에 있어 감염 가능성이 높은 ‘긴밀한 접촉자’가 아닌데도 추정환자 진단을 받은 셈이다.

이는	이/NP+는/JX
약	약/MMA
5~6m	5/SN+~/SO+6/SN+m/SW
떨어진	떨어지/VV+ㄴ/ETM
거리로,	거리/NNG+로/JKB+,/SP
반경	반경/NNG
2m	2/SN+m/SW
이내에	이내/NNG+에/JKB
있어	있/VA+어/EC
감염	감염/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
