# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.289
metadata : {}


# id : NWRW1800000040.289.1.1
서효원, 실력도 ‘짱’…코리아오픈 우승

서효원,	서효원/NNP+,/SP
실력도	실력/NNG+도/JX
‘짱’…코리아오픈	‘/SS+짱/NNG+’/SS+…/SE+코리아/NNP+오픈/NNG
우승	우승/NNG


# id : NWRW1800000040.289.2.1
여자단식 결승서 일본선수 꺾어

여자단식	여자/NNG+단식/NNG
결승서	결승/NNG+서/JKB
일본선수	일본/NNP+선수/NNG
꺾어	꺾/VV+어/EF


# id : NWRW1800000040.289.3.1
‘얼짱’으로 주목받은 서효원이지만 이제는 서효원의 탁구가 주목을 받게 됐다.

‘얼짱’으로	‘/SS+얼짱/NNG+’/SS+으로/JKB
주목받은	주목/NNG+받/XSV+은/ETM
서효원이지만	서효원/NNP+이/VCP+지만/EC
이제는	이제/NNG+는/JX
서효원의	서효원/NNP+의/JKG
탁구가	탁구/NNG+가/JKS
주목을	주목/NNG+을/JKO
받게	받/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.289.4.1
‘탁구 얼짱’ 서효원(26·세계랭킹 32위·한국마사회)이 7일 인천 송도글로벌대 체육관에서 열린 국제탁구연맹(ITTF) 월드투어 2013 대한항공 코리아오픈 여자단식 결승에서 일본의 이시카와 가스미(20·세계랭킹 9위)를 풀세트 접전 끝에 4-3(11-8 5-11 11-7 9-11 10-12 11-5 11-9)으로 꺾고 생애 첫 우승을 차지했다.

‘탁구	‘/SS+탁구/NNG
얼짱’	얼짱/NNG+’/SS
서효원(26·세계랭킹	서효원/NNP+(/SS+26/SN+·/SP+세계/NNG+랭킹/NNG
32위·한국마사회)이	32/SN+위/NNB+·/SP+한국마사회/NNP+)/SS+이/JKS
7일	7/SN+일/NNB
인천	인천/NNP
송도글로벌대	송도글로벌대/NNP
체육관에서	체육관/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
국제탁구연맹(ITTF)	국제탁구연맹/NNP+(/SS+ITTF/SL+)/SS
월드투어	월드/NNG+투어/NNG
2013	2013/SN
대한항공	대한항공/NNP
코리아오픈	코리아/NNP+오픈/NNG
여자단식	여자/NNG+단식/NNG
결승에서	결승/NNG+에서/JKB
일본의	일본/NNP+의/JKG
이시카와	이시카와/NNP
가스미(20·세계랭킹	가스미/NNP+(/SS+20/SN+·/SP+세계/NNG+랭킹/NNG
9위)를	9/SN+위/NNB+)/SS+를/JKO
풀세트	풀/NNG+세트/NNG
접전	접전/NNG
끝에	끝/NNG+에/JKB
4-3(11-8	4/SN+-/SO+3/SN+(/SS+11/SN+-/SO+8/SN
5-11	5/SN+-/SO+11/SN
11-7	11/SN+-/SO+7/SN
9-11	9/SN+-/SO+11/SN
10-12	10/SN+-/SO+12/SN
11-5	11/SN+-/SO+5/SN
11-9)으로	11/SN+-/SO+9/SN+)/SS+으로/JKB
꺾고	꺾/VV+고/EC
생애	생애/NNG
첫	첫/MMN
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.289.4.2
서효원은 “관중들의 응원이 이시카와를 급하게 만들고, 나에게는 힘이 됐다”며 팬들에게 공을 돌렸다.

서효원은	서효원/NNP+은/JX
“관중들의	“/SS+관중/NNG+들/XSN+의/JKG
응원이	응원/NNG+이/JKS
이시카와를	이시카와/NNP+를/JKO
급하게	급하/VA+게/EC
만들고,	만들/VV+고/EC+,/SP
나에게는	나/NP+에게/JKB+는/JX
힘이	힘/NNG+이/JKC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
팬들에게	팬/NNG+들/XSN+에게/JKB
공을	공/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.289.5.1
서효원은 수비형 선수임에도 과감한 공격으로 맞섰다.

서효원은	서효원/NNP+은/JX
수비형	수비/NNG+형/XSN
선수임에도	선수/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
과감한	과감하/VA+ㄴ/ETM
공격으로	공격/NNG+으로/JKB
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.289.5.2
그러나 마지막 7세트에서는 신중하게 수비에 집중했다.

그러나	그러나/MAJ
마지막	마지막/NNG
7세트에서는	7/SN+세트/NNG+에서/JKB+는/JX
신중하게	신중/NNG+하/XSA+게/EC
수비에	수비/NNG+에/JKB
집중했다.	집중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.289.5.3
특히 6-6 동점 상황에서 이시카와의 잇단 공격을 놀라운 집중력으로 모조리 막아내 관중의 탄성을 자아냈다.

특히	특히/MAG
6-6	6/SN+-/SO+6/SN
동점	동점/NNG
상황에서	상황/NNG+에서/JKB
이시카와의	이시카와/NNP+의/JKG
잇단	잇달/VV+ㄴ/ETM
공격을	공격/NNG+을/JKO
놀라운	놀랍/VA+ㄴ/ETM
집중력으로	집중력/NNG+으로/JKB
모조리	모조리/NNG
막아내	막/VV+아/EC+내/VX+어/EC
관중의	관중/NNG+의/JKG
탄성을	탄성/NNG+을/JKO
자아냈다.	자아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.289.5.4
결국 마지막 세트를 11-9로 따낸 서효원은 우승을 확정짓고 주먹을 불끈 쥐었다.

결국	결국/MAG
마지막	마지막/NNG
세트를	세트/NNG+를/JKO
11-9로	11/SN+-/SO+9/SN+로/JKB
따낸	따/VV+아/EC+내/VX+ㄴ/ETM
서효원은	서효원/NNP+은/JX
우승을	우승/NNG+을/JKO
확정짓고	확정/NNG+짓/VV+고/EC
주먹을	주먹/NNG+을/JKO
불끈	불끈/MAG
쥐었다.	쥐/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.289.6.1
서효원은 이번 대회를 통해 ‘공격하는 수비수’로 자신의 탁구 색깔을 분명히 드러냈다.

서효원은	서효원/NNP+은/JX
이번	이번/NNG
대회를	대회/NNG+를/JKO
통해	통하/VV+아/EC
‘공격하는	‘/SS+공격/NNG+하/XSV+는/ETM
수비수’로	수비수/NNG+’/SS+로/JKB
자신의	자신/NNG+의/JKG
탁구	탁구/NNG
색깔을	색깔/NNG+을/JKO
분명히	분명히/MAG
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.289.6.2
서효원은 상대의 공격을 부드럽게 받아내다가도 약간의 기회만 엿보이면 과감한 스매싱을 내리꽂으며 포인트를 따냈다.

서효원은	서효원/NNP+은/JX
상대의	상대/NNG+의/JKG
공격을	공격/NNG+을/JKO
부드럽게	부드럽/VA+게/EC
받아내다가도	받/VV+아/EC+내/VX+다가/EC+도/JX
약간의	약간/NNG+의/JKG
기회만	기회/NNG+만/JX
엿보이면	엿보이/VV+면/EC
과감한	과감하/VA+ㄴ/ETM
스매싱을	스매싱/NNG+을/JKO
내리꽂으며	내리꽂/VV+으며/EC
포인트를	포인트/NNG+를/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.289.6.3
서효원은 전날 16강전에서도 우승후보 펑톈웨이(4위·싱가포르)를 상대로 폭풍 같은 공격을 퍼부어 4-1 승리를 따냈다.

서효원은	서효원/NNP+은/JX
전날	전날/NNG
16강전에서도	16/SN+강전/NNB+에서/JKB+도/JX
우승후보	우승/NNG+후보/NNG
펑톈웨이(4위·싱가포르)를	펑톈웨이/NNP+(/SS+4/SN+위/NNB+·/SP+싱가포르/NNP+)/SS+를/JKO
상대로	상대/NNG+로/JKB
폭풍	폭풍/NNG
같은	같/VA+은/ETM
공격을	공격/NNG+을/JKO
퍼부어	퍼붓/VV+어/EC
4-1	4/SN+-/SO+1/SN
승리를	승리/NNG+를/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.289.6.4
서효원은 “아직 기술적으로 부족하다.

서효원은	서효원/NNP+은/JX
“아직	“/SS+아직/MAG
기술적으로	기술/NNG+적/XSN+으로/JKB
부족하다.	부족/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.289.6.5
내가 수비형이지만 공격적으로 나서야 나보다 잘하는 선수를 이길 수 있다”고 말했다.

내가	내/NP+가/JKS
수비형이지만	수비/NNG+형/XSN+이/VCP+지만/EC
공격적으로	공격/NNG+적/XSN+으로/JKB
나서야	나서/VV+어야/EC
나보다	나/NP+보다/JKB
잘하는	잘/MAG+하/XSV+는/ETM
선수를	선수/NNG+를/JKO
이길	이기/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.289.7.1
이시카와와의 인연도 각별하다.

