# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.14
metadata : {}


# id : NWRW1800000025.14.1.1
[리뷰]‘바냐 아저씨’

[리뷰]‘바냐	[/SS+리뷰/NNG+]/SS+‘/SS+바냐/NNP
아저씨’	아저씨/NNG+’/SS


# id : NWRW1800000025.14.2.1
러시아 극작가 안톤 체호프의 연극은 고도의 심리극이다.

러시아	러시아/NNP
극작가	극작가/NNG
안톤	안톤/NNP
체호프의	체호프/NNP+의/JKG
연극은	연극/NNG+은/JX
고도의	고도/NNG+의/JKG
심리극이다.	심리극/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.14.2.2
그의 연극 속 등장인물들은 서로 서로의 심리적 자장(磁場)에 얽혀 있다.

그의	그/NP+의/JKG
연극	연극/NNG
속	속/NNG
등장인물들은	등장인물/NNG+들/XSN+은/JX
서로	서로/MAG
서로의	서로/NNG+의/JKG
심리적	심리/NNG+적/XSN
자장(磁場)에	자장/NNG+(/SS+磁場/SH+)/SS+에/JKB
얽혀	얽히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.14.2.3
눈에 보이지 않는 그 자장을 섬세하게 읽어내지 못하면 자칫 지루하게 느껴지기 십상이다.

눈에	눈/NNG+에/JKB
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
그	그/MMD
자장을	자장/NNG+을/JKO
섬세하게	섬세하/VA+게/EC
읽어내지	읽/VV+어/EC+내/VX+지/EC
못하면	못하/VX+면/EC
자칫	자칫/MAG
지루하게	지루하/VA+게/EC
느껴지기	느끼/VV+어/EC+지/VX+기/ETN
십상이다.	십상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.14.3.1
심재찬 씨가 연출한 극단 전망의 ‘바냐 아저씨’는 이를 돌파하기 위해 그 자장을 시각화하는 데 주력한다.

심재찬	심재찬/NNP
씨가	씨/NNB+가/JKS
연출한	연출/NNG+하/XSV+ㄴ/ETM
극단	극단/NNG
전망의	전망/NNG+의/JKG
‘바냐	‘/SS+바냐/NNP
아저씨’는	아저씨/NNG+’/SS+는/JX
이를	이/NP+를/JKO
돌파하기	돌파/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
그	그/MMD
자장을	자장/NNG+을/JKO
시각화하는	시각/NNG+화/XSN+하/XSV+는/ETM
데	데/NNB
주력한다.	주력/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.14.3.2
무대 위에 8개의 독립된 목조공간이 객석을 마주보고 반원형으로 놓여 있다.

무대	무대/NNG
위에	위/NNG+에/JKB
8개의	8/SN+개/NNB+의/JKG
독립된	독립/NNG+되/XSV+ㄴ/ETM
목조공간이	목조/NNG+공간/NNG+이/JKS
객석을	객석/NNG+을/JKO
마주보고	마주/MAG+보/VV+고/EC
반원형으로	반원/NNG+형/XSN+으로/JKB
놓여	놓이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.14.3.3
8명의 등장인물은 각자 자신의 둥지와 같은 그 공간 속 의자에 앉아 있다가 무대 중앙으로 등장하고 퇴장한다.

8명의	8/SN+명/NNB+의/JKG
등장인물은	등장인물/NNG+은/JX
각자	각자/MAG
자신의	자신/NNG+의/JKG
둥지와	둥지/NNG+와/JKB
같은	같/VA+은/ETM
그	그/MMD
공간	공간/NNG
속	속/NNG
의자에	의자/NNG+에/JKB
앉아	앉/VV+아/EC
있다가	있/VX+다가/EC
무대	무대/NNG
중앙으로	중앙/NNG+으로/JKB
등장하고	등장/NNG+하/XSV+고/EC
퇴장한다.	퇴장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.14.4.1
반면 무대 중앙에는 2개의 긴 탁자와 3개의 의자, 사모바르(러시아 찻주전자)가 놓인 난로만 덩그러니 놓여 있다.

반면	반면/NNG
무대	무대/NNG
중앙에는	중앙/NNG+에/JKB+는/JX
2개의	2/SN+개/NNB+의/JKG
긴	길/VA+ㄴ/ETM
탁자와	탁자/NNG+와/JC
3개의	3/SN+개/NNB+의/JKG
의자,	의자/NNG+,/SP
사모바르(러시아	사모바르/NNG+(/SS+러시아/NNP
찻주전자)가	찻주전자/NNG+)/SS+가/JKS
놓인	놓이/VV+ㄴ/ETM
난로만	난로/NNG+만/JX
덩그러니	덩그렇/VA+니/EC
놓여	놓이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.14.4.2
배우들은 ‘둥지’를 지키고 있다가 무대 중앙으로 나서서 이들 탁자와 의자의 위치를 계속 바꿔가면서 서로의 심리적 거리와 농담을 시각화한다.

배우들은	배우/NNG+들/XSN+은/JX
‘둥지’를	‘/SS+둥지/NNG+’/SS+를/JKO
지키고	지키/VV+고/EC
있다가	있/VX+다가/EC
무대	무대/NNG
중앙으로	중앙/NNG+으로/JKB
나서서	나서/VV+어서/EC
이들	이/NP+들/XSN
탁자와	탁자/NNG+와/JC
의자의	의자/NNG+의/JKG
위치를	위치/NNG+를/JKO
계속	계속/MAG
바꿔가면서	바꾸/VV+어/EC+가/VX+면서/EC
서로의	서로/NNG+의/JKG
심리적	심리/NNG+적/XSN
거리와	거리/NNG+와/JC
농담을	농담/NNG+을/JKO
시각화한다.	시각/NNG+화/XSN+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.14.5.1
‘바냐 아저씨’는 욕망의 삼각도가 중첩된 작품이다.

‘바냐	‘/SS+바냐/NNP
아저씨’는	아저씨/NNG+’/SS+는/JX
욕망의	욕망/NNG+의/JKG
삼각도가	삼각도/NNG+가/JKS
중첩된	중첩/NNG+되/XSV+ㄴ/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.14.5.2
