# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.48
metadata : {}


# id : NWRW1800000044.48.1.1
‘액티브X’ 보안프로그램 설치의무 내년 사라져

‘액티브X’	‘/SS+액티브/NNG+X/SL+’/SS
보안프로그램	보안/NNG+프로그램/NNG
설치의무	설치/NNG+의무/NNG
내년	내년/NNG
사라져	사라지/VV+어/EF


# id : NWRW1800000044.48.2.1
[한겨레] 금융위, 거래인증 수단 자율로

[한겨레]	[/SS+한겨레/NNP+]/SS
금융위,	금융위/NNG+,/SP
거래인증	거래/NNG+인증/NNG
수단	수단/NNG
자율로	자율/NNG+로/JKB


# id : NWRW1800000044.48.3.1
전자금융거래 때 소비자들의 불편을 초래하면서 애물단지로 전락한 ‘액티브엑스’(Active-X) 보안프로그램 설치 의무가 내년 1월부터 사라진다.

전자금융거래	전자/NNG+금융/NNG+거래/NNG
때	때/NNG
소비자들의	소비자/NNG+들/XSN+의/JKG
불편을	불편/NNG+을/JKO
초래하면서	초래/NNG+하/XSV+면서/EC
애물단지로	애물단지/NNG+로/JKB
전락한	전락/NNG+하/XSV+ㄴ/ETM
‘액티브엑스’(Active-X)	‘/SS+액티브엑스/NNG+’/SS+(/SS+Active/SL+-/SO+X/SL+)/SS
보안프로그램	보안/NNG+프로그램/NNG
설치	설치/NNG
의무가	의무/NNG+가/JKS
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
사라진다.	사라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.48.4.1
금융위원회는 이런 내용을 포함한 전자금융감독규정 개정안을 마련해, 규제개혁위원회 심사와 금융위원회 의결을 거쳐 내년 1월부터 시행할 예정이라고 12일 밝혔다.

금융위원회는	금융/NNG+위원회/NNG+는/JX
이런	이런/MMD
내용을	내용/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전자금융감독규정	전자/NNG+금융/NNG+감독/NNG+규정/NNG
개정안을	개정안/NNG+을/JKO
마련해,	마련/NNG+하/XSV+아/EC+,/SP
규제개혁위원회	규제/NNG+개혁/NNG+위원회/NNG
심사와	심사/NNG+와/JC
금융위원회	금융/NNG+위원회/NNG
의결을	의결/NNG+을/JKO
거쳐	거치/VV+어/EC
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
시행할	시행/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.48.4.2
개정안에는 사실상 액티브엑스 사용을 강제하는 보안프로그램 설치 의무를 삭제하고 전자금융거래를 안정적으로 할 수 있는 수단을 자율적으로 마련하도록 하는 내용이 담겼다.

개정안에는	개정안/NNG+에/JKB+는/JX
사실상	사실/NNG+상/XSN
액티브엑스	액티브엑스/NNG
사용을	사용/NNG+을/JKO
강제하는	강제/NNG+하/XSV+는/ETM
보안프로그램	보안/NNG+프로그램/NNG
설치	설치/NNG
의무를	의무/NNG+를/JKO
삭제하고	삭제/NNG+하/XSV+고/EC
전자금융거래를	전자/NNG+금융/NNG+거래/NNG+를/JKO
안정적으로	안정/NNG+적/XSN+으로/JKB
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수단을	수단/NNG+을/JKO
자율적으로	자율/NNG+적/XSN+으로/JKB
마련하도록	마련/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
내용이	내용/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.48.5.1
그동안 전자금융거래를 할때는 공인인증서를 사용해야 했고 이를 위해서는 액티브엑스 보안프로그램을 깔아야 해 소비자들의 인터넷 접근을 어렵게 한다는 비판이 끊이지 않아왔다.

그동안	그동안/NNG
전자금융거래를	전자/NNG+금융/NNG+거래/NNG+를/JKO
할때는	하/VV+ㄹ/ETM+때/NNG+는/JX
공인인증서를	공인/NNG+인증서/NNG+를/JKO
사용해야	사용/NNG+하/XSV+아야/EC
했고	하/VX+았/EP+고/EC
이를	이/NP+를/JKO
위해서는	위하/VV+아서/EC+는/JX
액티브엑스	액티브엑스/NNG
보안프로그램을	보안/NNG+프로그램/NNG+을/JKO
깔아야	깔/VV+아야/EC
해	하/VX+아/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
인터넷	인터넷/NNG
접근을	접근/NNG+을/JKO
어렵게	어렵/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
비판이	비판/NNG+이/JKS
끊이지	끊이/VV+지/EC
않아왔다.	않/VX+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.48.5.2
외국인들이 국내 인터넷 쇼핑 사이트에서 30만원 이상 물품을 구매하려면 공인인증서와 액티브엑스를 필요로 하면서 촉발된 이른바 ‘천송이 코트’ 논란이 대표적이다.

외국인들이	외국인/NNG+들/XSN+이/JKS
국내	국내/NNG
인터넷	인터넷/NNG
쇼핑	쇼핑/NNG
사이트에서	사이트/NNG+에서/JKB
30만원	30/SN+만/NR+원/NNB
이상	이상/NNG
물품을	물품/NNG+을/JKO
구매하려면	구매/NNG+하/XSV+려면/EC
공인인증서와	공인/NNG+인증서/NNG+와/JC
액티브엑스를	액티브엑스/NNG+를/JKO
필요로	필요/NNG+로/JKB
하면서	하/VV+면서/EC
촉발된	촉발/NNG+되/XSV+ㄴ/ETM
이른바	이른바/MAG
‘천송이	‘/SS+천송이/NNP
