# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.236
metadata : {}


# id : NWRW1800000030.236.1.1
[대한민국 제1호] 양말공장

[대한민국	[/SS+대한민국/NNP
제1호]	제/XPN+1/SN+호/NNB+]/SS
양말공장	양말/NNG+공장/NNG


# id : NWRW1800000030.236.2.1
•소포로 부쳐주기도 한 10전짜리 양말

•소포로	•/SW+소포/NNG+로/JKB
부쳐주기도	부치/VV+어/EC+주/VX+기/ETN+도/JX
한	하/VX+ㄴ/ETM
10전짜리	10/SN+전/NNB+짜리/XSN
양말	양말/NNG


# id : NWRW1800000030.236.3.1
양말은 조선말 철종 때 서양 선교사들이 처음 선보인 것으로 알려졌다.

양말은	양말/NNG+은/JX
조선말	조선/NNP+말/NNB
철종	철종/NNP
때	때/NNG
서양	서양/NNG
선교사들이	선교사/NNG+들/XSN+이/JKS
처음	처음/NNG
선보인	선보이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.236.3.2
구한말에 수동식 양말 직조기계가 들어온 데 이어 1910년대에 자동식 양말기계가 들어왔다.

구한말에	구/XPN+한말/NNG+에/JKB
수동식	수동식/NNG
양말	양말/NNG
직조기계가	직조/NNG+기계/NNG+가/JKS
들어온	들어오/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
1910년대에	1910/SN+년대/NNB+에/JKB
자동식	자동식/NNG
양말기계가	양말/NNG+기계/NNG+가/JKS
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.236.4.1
최초의 양말공장은 1906년 김기호(金基浩)씨가 평양에 세운 양말공장으로 알려져있다.

최초의	최초/NNG+의/JKG
양말공장은	양말/NNG+공장/NNG+은/JX
1906년	1906/SN+년/NNB
김기호(金基浩)씨가	김기호/NNP+(/SS+金基浩/SH+)/SS+씨/NNB+가/JKS
평양에	평양/NNP+에/JKB
세운	세우/VV+ㄴ/ETM
양말공장으로	양말/NNG+공장/NNG+으로/JKB
알려져있다.	알려지/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000030.236.4.2
그러나 이 공장에 대해 전하는 기록은 없다.

그러나	그러나/MAJ
이	이/MMD
공장에	공장/NNG+에/JKB
대해	대하/VV+아/EC
전하는	전하/VV+는/ETM
기록은	기록/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.236.4.3
기록이 남아 있는 것은 1909년의 서울 서상팔의 양말제조판매소와 김덕창의 중곡염직공소, 평양 손창윤의 삼공(三共)양말공장이다.

기록이	기록/NNG+이/JKS
남아	남/VV+아/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
1909년의	1909/SN+년/NNB+의/JKG
서울	서울/NNP
서상팔의	서상팔/NNP+의/JKG
양말제조판매소와	양말제조판매소/NNP+와/JC
김덕창의	김덕창/NNP+의/JKG
중곡염직공소,	중곡염직공소/NNP+,/SP
평양	평양/NNP
손창윤의	손창윤/NNP+의/JKG
삼공(三共)양말공장이다.	삼공/NNP+(/SS+三共/SH+)/SS+양말/NNG+공장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.236.4.4
그러나 이 공장들은 같은 해에 등장했지만, 평양의 삼공양말공장은 일제 때 직공 850명을 둔 대규모 공장으로 컸다.

그러나	그러나/MAJ
이	이/MMD
공장들은	공장/NNG+들/XSN+은/JX
같은	같/VA+은/ETM
해에	해/NNG+에/JKB
등장했지만,	등장/NNG+하/XSV+았/EP+지만/EC+,/SP
평양의	평양/NNP+의/JKG
삼공양말공장은	삼공양말공장/NNP+은/JX
일제	일제/NNG
때	때/NNG
직공	직공/NNG
850명을	850/SN+명/NNB+을/JKO
둔	두/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
공장으로	공장/NNG+으로/JKB
컸다.	크/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.236.5.1
손창윤이 20세 때 평양 계리에 세운 삼공(三共)양말공장〈사진·원내는 손창윤〉은 창업 26년 만인 1935년에 자동식 양말 직조기계 110대, 수동식 기계 500대, 내의·장갑·타월·목도리를 짜는 기계 등을 갖췄다.

손창윤이	손창윤/NNP+이/JKS
20세	20/SN+세/NNB
때	때/NNG
평양	평양/NNP
계리에	계리/NNP+에/JKB
세운	세우/VV+ㄴ/ETM
삼공(三共)양말공장〈사진·원내는	삼공/NNP+(/SS+三共/SH+)/SS+양말/NNG+공장/NNG+〈/SS+사진/NNG+·/SP+원내/NNG+는/JX
손창윤〉은	손창윤/NNP+〉/SS+은/JX
창업	창업/NNG
26년	26/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
1935년에	1935/SN+년/NNB+에/JKB
자동식	자동식/NNG
양말	양말/NNG
직조기계	직조/NNG+기계/NNG
110대,	110/SN+대/NNB+,/SP
수동식	수동식/NNG
기계	기계/NNG
500대,	500/SN+대/NNB+,/SP
내의·장갑·타월·목도리를	내의/NNG+·/SP+장갑/NNG+·/SP+타월/NNG+·/SP+목도리/NNG+를/JKO
짜는	짜/VV+는/ETM
등을	등/NNB+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.236.5.2
평양 최대 양말공장으로 공장 옆에 직접 판매소를 두기도 했다.

평양	평양/NNP
최대	최대/NNG
양말공장으로	양말/NNG+공장/NNG+으로/JKB
공장	공장/NNG
옆에	옆/NNG+에/JKB
직접	직접/MAG
판매소를	판매소/NNG+를/JKO
두기도	두/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.236.5.3
삼공양말은 전국적인 인기를 모았고 만주 등에도 수출할 정도였다.

삼공양말은	삼공양말/NNP+은/JX
전국적인	전국/NNG+적/XSN+이/VCP+ㄴ/ETM
인기를	인기/NNG+를/JKO
모았고	모으/VV+았/EP+고/EC
만주	만주/NNP
등에도	등/NNB+에/JKB+도/JX
