# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.338
metadata : {}


# id : NWRW1800000026.338.1.1
美 FRB, 추가 '양적 완화' 초읽기;최대 1조달러 규모 내달 초 발표할 듯

美	美/SH
FRB,	FRB/SL+,/SP
추가	추가/NNG
'양적	'/SS+양/NNG+적/XSN
완화'	완화/NNG+'/SS
초읽기;최대	초읽기/NNG+;/SW+최대/NNG
1조달러	1/SN+조/NR+달러/NNB
규모	규모/NNG
내달	내달/NNG
초	초/NNB
발표할	발표/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000026.338.2.1
미국 연방준비제도이사회(FRB)가 조만간 경기 부양을 위한 2차 '양적 완화'에 나설 것이 확실시되고 있다.

미국	미국/NNP
연방준비제도이사회(FRB)가	연방준비제도이사회/NNP+(/SS+FRB/SL+)/SS+가/JKS
조만간	조만간/MAG
경기	경기/NNG
부양을	부양/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
2차	2/SN+차/NNB
'양적	'/SS+양/NNG+적/XSN
완화'에	완화/NNG+'/SS+에/JKB
나설	나서/VV+ㄹ/ETM
것이	것/NNB+이/JKS
확실시되고	확실시/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.338.2.2
양적 완화(Quantitative Easing)는 중앙은행이 국채 매입 등을 통해 시중에 유동성(流動性·자금)을 공급하는 것을 말한다.

양적	양/NNG+적/XSN
완화(Quantitative	완화/NNG+(/SS+Quantitative/SL
Easing)는	Easing/SL+)/SS+는/JX
중앙은행이	중앙은행/NNG+이/JKS
국채	국채/NNG
매입	매입/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
시중에	시중/NNG+에/JKB
유동성(流動性·자금)을	유동/NNG+성/XSN+(/SS+流動性/SH+·/SP+자금/NNG+)/SS+을/JKO
공급하는	공급/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.338.3.1
12일(현지시각) 미국 FRB가 공개한 9월 연방공개시장위원회(FOMC) 회의록에 따르면, 통화 정책을 결정하는 FOMC 위원들은 조만간 2차 양적 완화 조치에 나서기로 의견을 모은 것으로 확인됐다.

12일(현지시각)	12/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
미국	미국/NNP
FRB가	FRB/SL+가/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
9월	9/SN+월/NNB
연방공개시장위원회(FOMC)	연방공개시장위원회/NNP+(/SS+FOMC/SL+)/SS
회의록에	회의록/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
통화	통화/NNG
정책을	정책/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
FOMC	FOMC/SL
위원들은	위원/NNG+들/XSN+은/JX
조만간	조만간/MAG
2차	2/SN+차/NNB
양적	양/NNG+적/XSN
완화	완화/NNG
조치에	조치/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.338.4.1
상당수 FOMC 위원은 지난달 회의에서 "현재 미국 경제의 물가 상승률이 지나치게 낮고 실업률이 너무 높다"면서 "경기 회복을 위한 새로운 조치가 필요한 상황"이라고 말했다.

상당수	상당수/NNG
FOMC	FOMC/SL
위원은	위원/NNG+은/JX
지난달	지난달/NNG
회의에서	회의/NNG+에서/JKB
"현재	"/SS+현재/MAG
미국	미국/NNP
경제의	경제/NNG+의/JKG
물가	물가/NNG
상승률이	상승/NNG+률/XSN+이/JKS
지나치게	지나치/VA+게/EC
낮고	낮/VA+고/EC
실업률이	실업/NNG+률/XSN+이/JKS
너무	너무/MAG
높다"면서	높/VA+다/EF+"/SS+면서/EC
"경기	"/SS+경기/NNG
회복을	회복/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
조치가	조치/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
상황"이라고	상황/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.338.4.2
미국 월가(街)에선 FRB가 다음 달 2~3일 열리는 FOMC에서 최대 1조달러(약 1100조원) 규모의 양적 완화 조치를 발표할 가능성이 큰 것으로 보고 있다.

미국	미국/NNP
월가(街)에선	월가/NNP+(/SS+街/SH+)/SS+에서/JKB+ㄴ/JX
FRB가	FRB/SL+가/JKS
다음	다음/NNG
달	달/NNG
2~3일	2/SN+~/SO+3/SN+일/NNB
열리는	열리/VV+는/ETM
FOMC에서	FOMC/SL+에서/JKB
최대	최대/NNG
1조달러(약	1/SN+조/NR+달러/NNB+(/SS+약/MMA
1100조원)	1100/SN+조/NR+원/NNB+)/SS
규모의	규모/NNG+의/JKG
양적	양/NNG+적/XSN
완화	완화/NNG
조치를	조치/NNG+를/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.338.5.1
FRB가 이처럼 양적 완화에 나서는 것은 최근 미국 경제에 디플레이션(물가가 지속적으로 내리는 현상) 위험이 고조되고 있기 때문이다.

FRB가	FRB/SL+가/JKS
이처럼	이/NP+처럼/JKB
양적	양/NNG+적/XSN
완화에	완화/NNG+에/JKB
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
최근	최근/MAG
미국	미국/NNP
경제에	경제/NNG+에/JKB
디플레이션(물가가	디플레이션/NNG+(/SS+물가/NNG+가/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
내리는	내리/VV+는/ETM
현상)	현상/NNG+)/SS
위험이	위험/NNG+이/JKS
고조되고	고조/NNG+되/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.338.5.2
FRB가 정한 장기 인플레이션 관리 목표는 1.7~2%인데, 지난 8월 근원 소비자물가지수는 지난해 같은 달에 비해 1.4% 상승하는 데 그쳤다.

FRB가	FRB/SL+가/JKS
정한	정하/VV+ㄴ/ETM
장기	장기/NNG
인플레이션	인플레이션/NNG
관리	관리/NNG
목표는	목표/NNG+는/JX
1.7~2%인데,	1/SN+./SP+7/SN+~/SO+2/SN+%/SW+이/VCP+ㄴ데/EC+,/SP
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
근원	근원/NNG
소비자물가지수는	소비자/NNG+물가/NNG+지수/NNG+는/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
달에	달/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
1.4%	1/SN+./SP+4/SN+%/SW
상승하는	상승/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.338.5.3
미국 실업률도 9% 중반대에서 좀처럼 떨어지지 않는 상황이다.

미국	미국/NNP
실업률도	실업/NNG+률/XSN+도/JX
9%	9/SN+%/SW
중반대에서	중반/NNG+대/XSN+에서/JKB
좀처럼	좀처럼/MAG
떨어지지	떨어지/VV+지/EC
않는	않/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.338.6.1
이에 따라 FRB는 올 하반기와 내년 경제 성장률 전망치를 하향 조정했으며, 인플레를 유발할 특단의 대책도 검토하고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
FRB는	FRB/SL+는/JX
올	올/NNG
