# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.1
metadata : {}


# id : NWRW1800000045.1.1.1
현대-기아차, 전세계 누적 판매량 9000만대

현대-기아차,	현대/NNP+-/SO+기아차/NNP+,/SP
전세계	전/MMN+세계/NNG
누적	누적/NNG
판매량	판매량/NNG
9000만대	9000/SN+만/NR+대/NNB


# id : NWRW1800000045.1.2.1
2016년 1분기엔 1억대 돌파 예상

2016년	2016/SN+년/NNB
1분기엔	1/SN+분기/NNG+에/JKB+ㄴ/JX
1억대	1/SN+억/NR+대/XSN
돌파	돌파/NNG
예상	예상/NNG


# id : NWRW1800000045.1.3.1
현대·기아자동차가 창사 50여 년 만에 전 세계에서 판매한 차량이 9000만 대를 넘어섰다.

현대·기아자동차가	현대/NNP+·/SP+기아자동차/NNP+가/JKS
창사	창사/NNG
50여	50/SN+여/XSN
년	년/NNB
만에	만/NNB+에/JKB
전	전/MMN
세계에서	세계/NNG+에서/JKB
판매한	판매/NNG+하/XSV+ㄴ/ETM
차량이	차량/NNG+이/JKS
9000만	9000/SN+만/NR
대를	대/NNB+를/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.1.3.2
11일 현대·기아차에 따르면 설립 이래 지난해까지 국내외 누적 판매량은 8992만1153대다.

11일	11/SN+일/NNB
현대·기아차에	현대/NNP+·/SP+기아차/NNP+에/JKB
따르면	따르/VV+면/EC
설립	설립/NNG
이래	이래/NNB
지난해까지	지난해/NNG+까지/JX
국내외	국내외/NNG
누적	누적/NNG
판매량은	판매량/NNG+은/JX
8992만1153대다.	8992/SN+만/NR+1153/SN+대/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.1.3.3
지난해 현대·기아차의 전 세계 판매량이 매달 67만여 대였으므로 1주일에 16만7000여 대를 판다고 계산하면 지난주 이미 누적 판매량이 9000만 대를 넘어선 것이 확실하다.

지난해	지난해/NNG
현대·기아차의	현대/NNP+·/SP+기아차/NNP+의/JKG
전	전/MMN
세계	세계/NNG
판매량이	판매량/NNG+이/JKS
매달	매달/MAG
67만여	67/SN+만/NR+여/XSN
대였으므로	대/NNB+이/VCP+었/EP+으므로/EC
1주일에	1/SN+주일/NNB+에/JKB
16만7000여	16/SN+만/NR+7000/SN+여/XSN
대를	대/NNB+를/JKO
판다고	팔/VV+ㄴ다고/EC
계산하면	계산/NNG+하/XSV+면/EC
지난주	지난주/NNG
이미	이미/MAG
누적	누적/NNG
9000만	9000/SN+만/NR
넘어선	넘어서/VV+ㄴ/ETM
것이	것/NNB+이/JKS
확실하다.	확실하/VA+다/EF+./SF


# id : NWRW1800000045.1.3.4
현대·기아차는 월간 또는 연간 집계 외에 중간 집계액을 공식적으로 밝히진 않는다.

현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
월간	월간/NNG
또는	또는/MAG
연간	연간/NNG
집계	집계/NNG
외에	외/NNB+에/JKB
중간	중간/NNG
집계액을	집계액/NNG+을/JKO
공식적으로	공식/NNG+적/XSN+으로/JKB
밝히진	밝히/VV+지/EC+ㄴ/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000045.1.4.1
누적 판매량 9000만 대는 기아차가 1962년 경기 광명시 소하리공장에서 생산한 3륜 화물차 K-360을 67대 팔고 현대차가 창사 이듬해(1968년) 울산공장에서 조립한 코티나를 533대 판매하기 시작한 뒤 50여 년만의 기록이다.

누적	누적/NNG
판매량	판매량/NNG
9000만	9000/SN+만/NR
대는	대/NNB+는/JX
기아차가	기아차/NNP+가/JKS
1962년	1962/SN+년/NNB
경기	경기/NNP
광명시	광명시/NNP
소하리공장에서	소하리/NNP+공장/NNG+에서/JKB
생산한	생산/NNG+하/XSV+ㄴ/ETM
3륜	3/SN+륜/NNG
화물차	화물차/NNG
K-360을	K/SL+-/SO+360/SN+을/JKO
67대	67/SN+대/NNB
팔고	팔/VV+고/EC
현대차가	현대차/NNP+가/JKS
창사	창사/NNG
이듬해(1968년)	이듬해/NNG+(/SS+1968/SN+년/NNB+)/SS
울산공장에서	울산/NNP+공장/NNG+에서/JKB
조립한	조립/NNG+하/XSV+ㄴ/ETM
코티나를	코티나/NNP+를/JKO
533대	533/SN+대/NNG
판매하기	판매/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
50여	50/SN+여/XSN
년만의	년/NNB+만/NNB+의/JKG
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.1.5.1
현대차의 베스트셀링 모델 ‘아반떼’를 한 줄로 9000만 대를 세우면 지구를 10바퀴 돌 수 있다.

현대차의	현대차/NNP+의/JKG
베스트셀링	베스트/NNG+셀링/NNG
모델	모델/NNG
‘아반떼’를	‘/SS+아반떼/NNP+’/SS+를/JKO
한	한/MMN
줄로	줄/NNG+로/JKB
9000만	9000/SN+만/NR
대를	대/NNB+를/JKO
세우면	세우/VV+면/EC
지구를	지구/NNG+를/JKO
10바퀴	10/SN+바퀴/NNB
돌	돌/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.1.5.2
아반떼의 차량 길이가 4550mm이므로 총 40만9000km에 달하는 거리다.

아반떼의	아반떼/NNP+의/JKG
차량	차량/NNG
길이가	길이/NNG+가/JKS
4550mm이므로	4550/SN+mm/SW+이/VCP+므로/EC
총	총/MMA
40만9000km에	40/SN+만/NR+9000/SN+km/SW+에/JKB
달하는	달하/VV+는/ETM
거리다.	거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.1.6.1
현대·기아차는 2016년 1분기(1∼3월)에 누적 판매량 1억 대를 돌파할 것으로 예상된다.

현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
2016년	2016/SN+년/NNB
